,Valve,Ventricle,Atrium,Heart,Adipose,Adipocyte,Osteoblast,Stromal cell,Chondrocyte,Bone marrow,Intestinal epithelial cell,Hepatic stellate cell,Small intestine,Liver,Colon,Colon mucosa,Hepatocyte,Esophagus,Beta cell,Gastric epithelial cell,Alpha cell,Pancreatic islet,Macrophage,Dendritic cell,Kupffer cell,Microglia,Neutrophil,Thymocyte,Plasmacytoid dendritic cell,Granulocyte,Spleen,Thymus,Blymphocyte,Tlymphocyte,Plasma cell,Skin,Fibroblast,Hair follicle,Melanocyte,Basal cell,Keratinocyte,Airway smooth muscle,Skeletal muscle,Vascular smooth muscle,Myofibroblast,Myoblast,Spinal cord,Cerebellum,Medulla,Thalamus,Hypothalamus,Pons,Retina,Cerebral cortex,Sensory neuron,Astrocyte,Motor neuron,Neuron,Oligodendrocyte,Midbrain,Lung,Lung epithelial cell,Trachea,Renal cortex,Ovary,Kidney,Granulosa,Testis,Podocyte,Oocyte,Breast,Mammary gland
ACVRL1,9.92094,8.90936,8.13118,5.72615,9.85639,7.44713,6.26748,5.4302,4.65403,3.1737,8.1753,7.63309,6.52893,5.95167,5.3649,4.79364,3.83218,3.56825,2.41968,2.36872,0.113644,0.113644,6.9754,5.81111,5.77221,4.96278,4.47438,3.83218,3.76961,3.56825,3.48123,3.1737,3.1737,2.41968,0.113644,7.49889,7.12679,6.67293,5.4302,3.05618,2.16272,8.98773,8.53721,7.69006,7.35999,6.17424,5.5514,4.59911,4.33251,4.16691,4.16691,4.11061,3.05618,2.99037,2.92457,2.61696,2.61696,2.41968,2.41968,2.16272,4.31312,3.11494,2.92457,7.67629,5.45333,4.56034,4.05534,3.52474,3.48123,3.05618,2.41968,2.41968
ADGRL4,7.20754,9.16523,8.20718,8.29015,10.2373,7.61504,7.87468,7.29945,3.39116,0.113644,0.113644,7.84657,5.5331,6.71195,2.61696,4.05534,3.05618,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,6.85051,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,6.35023,6.62962,5.34024,4.38682,1.20968,0.113644,6.38743,8.25328,8.9635,6.21406,6.92548,4.51527,3.28517,6.72045,3.9543,3.9543,0.113644,3.70787,1.81287,1.20968,3.56825,0.113644,1.20968,1.81287,0.113644,0.113644,0.113644,0.113644,6.57163,2.92457,0.113644,0.113644,5.06359,7.40438,0.113644,0.113644,0.113644
ANPEP,10.5739,5.90239,6.88087,5.28658,8.02354,10.0564,11.5456,10.1536,9.25734,5.96743,12.0682,10.6134,9.29666,12.0567,7.20762,5.83833,12.4823,5.5514,2.61696,2.88501,0.113644,0.113644,12.5816,12.6933,11.8662,3.48123,12.1256,1.20968,6.79623,11.0158,3.48123,4.28551,1.20968,2.41968,0.113644,9.67365,10.6416,9.50818,6.27464,4.99416,7.04658,11.561,5.28658,10.2608,10.967,9.81244,2.92457,1.20968,3.83272,3.05618,3.05618,7.7319,1.20968,1.9878,1.81287,3.28517,0.113644,1.20968,0.113644,0.113644,7.03818,6.42307,4.77752,13.5658,6.47378,5.484,4.02961,3.28517,6.90917,3.1737,3.39116,3.64478
ANXA5,12.554,11.4699,11.1932,12.1761,12.3603,13.4388,13.3561,13.5598,13.0756,9.72339,10.4862,13.9282,11.3106,11.5996,11.3461,11.7749,12.589,11.9709,11.5871,12.3726,11.755,12.3882,13.3226,12.9405,12.9818,11.9298,11.0437,8.33578,10.9896,10.4759,10.5612,8.62478,10.6149,9.87578,11.2486,12.4166,13.6565,11.1714,13.8124,12.0601,11.9215,13.8181,10.186,13.2933,13.5074,13.7084,11.0973,8.02123,11.2534,10.9115,11.639,11.1775,10.9437,9.89094,11.2563,12.0226,10.242,10.4452,11.5034,10.0928,12.2073,12.2796,11.9402,11.0446,11.0068,11.5357,11.0005,10.3765,13.0156,9.47718,11.5918,11.3149
ARHGAP31,9.9554,9.98743,10.1034,8.37004,10.4398,9.89332,9.73299,9.06493,8.96601,5.84343,5.27315,9.66533,6.03426,7.0628,6.9657,6.94598,6.24863,5.51459,3.97909,6.65175,4.05534,0.113644,10.6637,10.9689,8.38997,8.22586,8.02584,8.26448,10.6531,5.51459,8.15151,8.29483,7.65386,7.49163,6.67736,9.16713,8.83322,9.89908,9.5156,6.92122,6.68963,7.7649,8.24738,9.02623,9.50662,8.48608,10.0643,8.91634,7.65605,8.48608,7.95029,8.04272,6.16779,7.36039,6.54968,9.2492,3.83218,5.3649,8.32484,5.38652,7.10033,5.89404,5.8662,9.37674,7.10985,6.93041,7.01,5.89233,9.38776,4.43111,6.03426,6.27464
ARMCX1,9.06808,9.148,8.65969,8.36605,8.25667,8.75978,8.6917,8.58913,8.90936,5.15699,2.85026,8.48608,7.89087,5.12981,4.80976,7.75933,5.4302,1.81287,8.33904,6.80292,8.50708,7.19727,7.78223,6.91696,7.33247,7.66804,4.05534,5.95167,6.38187,1.81287,3.28517,5.5514,0.113644,2.92457,0.113644,7.68261,8.5809,8.23321,9.48428,6.85317,7.59665,9.63074,8.82966,8.59651,8.37546,9.35745,7.24729,7.13892,6.7908,8.34337,8.59837,4.87314,7.93315,8.96893,9.75847,7.86771,9.11166,8.51018,7.94077,8.5441,4.93037,2.61696,6.49365,6.28103,6.51095,4.51527,7.20417,3.56825,7.45868,2.92457,6.47324,6.85035
BGN,14.8916,10.8649,11.7398,11.1648,8.24342,10.0235,13.3908,10.9006,14.3981,0.113644,0.661663,12.675,8.35972,10.1651,5.15699,5.9455,5.34282,7.74633,2.41968,5.24161,1.20968,1.81287,0.113644,0.113644,8.43605,3.39116,0.113644,0.113644,0.113644,0.113644,1.20968,1.20968,0.113644,0.113644,0.113644,9.97435,10.5793,12.0822,4.36936,2.61696,4.51527,13.01,7.85883,12.9001,12.6606,5.74381,8.41459,5.07842,7.69975,8.4413,8.84753,1.20968,3.70787,6.40852,3.64478,6.09783,2.61696,3.28517,3.28517,3.56825,2.77595,0.113644,3.05618,9.90764,9.111,3.05618,5.51161,5.76863,3.48123,3.76961,2.41968,1.81287
C11orf96,9.3242,7.31657,6.7824,7.31657,8.48608,6.36501,6.02565,4.87314,6.75903,0.113644,0.661663,5.47412,7.57242,6.01703,3.28517,3.47971,3.56825,1.81287,0.113644,3.94986,0.113644,0.113644,3.39116,2.16272,4.71323,1.20968,1.20968,4.11061,1.20968,1.20968,2.61696,2.99037,1.81287,2.41968,0.113644,4.77752,4.89983,5.99799,8.21526,1.20968,1.81287,5.28658,5.5514,5.45333,5.30108,1.20968,7.34266,3.83218,6.61407,6.95675,7.20421,1.20968,2.41968,6.32563,8.27953,3.70787,2.77595,4.16691,3.1737,4.33251,2.41968,0.113644,3.64478,8.52956,4.97646,4.67269,7.96493,4.94657,2.61696,3.48123,1.81287,2.16272
C1QC,11.3042,8.56004,8.97248,0.113644,4.51527,0.113644,0.113644,0.113644,0.113644,0.113644,2.77595,0.113644,7.90088,9.04527,0.113644,0.113644,2.77595,0.113644,0.113644,0.113644,0.113644,0.113644,11.3703,11.4421,6.40562,12.4071,2.92457,0.113644,2.41968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,5.81111,0.113644,0.113644,0.113644,10.8588,4.26947,0.113644,6.70196,6.70196,2.77595,0.113644,1.9878,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,7.22146,4.51527,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
C1QTNF1,12.3053,10.2136,11.3073,6.41035,8.9349,9.67269,6.60143,7.13593,7.72192,1.20968,3.28517,9.05898,6.14657,8.24738,6.01703,6.04982,5.38652,3.05618,3.05618,4.47438,1.20968,0.113644,3.89584,3.1737,6.5441,2.99037,2.16272,4.16691,1.81287,2.41968,2.77595,3.47971,2.41968,3.05618,0.113644,7.29945,6.90917,6.60267,7.9619,5.00836,7.46426,8.72108,7.57981,9.59657,8.92255,5.59303,5.67402,4.96278,5.80482,6.87137,7.03085,2.61696,3.76961,3.80089,5.51459,5.15699,3.56825,3.48123,2.61696,2.16272,6.03426,6.85776,5.07842,6.11439,7.31132,4.84279,8.69754,3.48123,7.82186,7.45868,3.28517,3.39116
