,Valve,Ventricle,Heart,Atrium,Adipose,Adipocyte,Osteoblast,Bone marrow,Stromal cell,Chondrocyte,Intestinal epithelial cell,Liver,Small intestine,Hepatic stellate cell,Colon,Hepatocyte,Esophagus,Beta cell,Colon mucosa,Gastric epithelial cell,Alpha cell,Pancreatic islet,Plasmacytoid dendritic cell,Neutrophil,Granulocyte,Microglia,Dendritic cell,Macrophage,Spleen,Thymus,Tlymphocyte,Blymphocyte,Thymocyte,Kupffer cell,Plasma cell,Basal cell,Keratinocyte,Skin,Hair follicle,Fibroblast,Melanocyte,Skeletal muscle,Myoblast,Airway smooth muscle,Vascular smooth muscle,Myofibroblast,Pons,Spinal cord,Sensory neuron,Hypothalamus,Retina,Medulla,Thalamus,Cerebral cortex,Cerebellum,Astrocyte,Oligodendrocyte,Neuron,Midbrain,Motor neuron,Lung,Trachea,Lung epithelial cell,Podocyte,Granulosa,Ovary,Renal cortex,Kidney,Testis,Breast,Oocyte,Mammary gland
ALOX5AP,8.03149,6.18093,4.77752,4.41314,6.27464,3.05618,2.61696,2.61696,2.16272,1.20968,7.15855,4.84279,4.43111,3.56825,3.05618,2.92457,1.81287,1.20968,1.20968,0.963256,0.113644,0.113644,12.5116,11.6836,11.0548,10.4706,9.94145,9.80126,9.37661,8.91475,8.87813,8.84516,8.71416,4.19266,1.81287,3.48123,2.77595,2.77595,0.113644,0.113644,0.113644,4.11061,3.39116,2.92457,2.61696,1.20968,7.45868,6.53965,2.92457,2.92457,2.77595,2.41968,1.81287,1.6862,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,2.92457,2.41968,1.81287,5.02256,4.40897,4.13876,3.28517,1.81287,1.81287,1.20968,0.113644,0.113644
ARHGAP30,8.79847,6.41035,3.76961,6.27387,8.20847,3.9543,3.1737,8.77115,2.92457,3.1737,6.70373,6.81484,5.63312,3.28517,5.02256,3.9543,4.63537,3.48123,3.73874,4.87179,0.113644,0.113644,11.985,12.7328,12.2633,8.38671,11.5386,11.3582,11.6375,11.4421,11.5871,11.4912,11.4183,5.77349,9.42157,5.37559,4.67269,4.77752,4.65561,2.92457,3.39116,5.34282,3.70787,2.61696,3.56825,3.05618,9.42341,7.557,5.07842,4.3519,4.26947,4.65403,4.21911,3.05618,3.83218,3.56825,4.43111,3.56825,3.1737,2.61696,4.47438,5.69219,4.05534,4.00388,3.73874,5.79561,4.6908,4.38682,4.11061,5.15699,3.89584,4.89983
BATF,5.24758,2.61696,0.113644,1.20968,2.41968,0.113644,0.113644,1.20968,0.113644,3.56825,0.661663,3.28517,1.81287,0.113644,1.81287,3.56825,0.113644,0.113644,0.113644,3.25606,0.113644,0.113644,5.24758,8.05706,7.85523,0.113644,7.44713,7.42671,7.84148,5.45333,8.06575,7.07,4.89983,3.56825,0.113644,3.1737,0.113644,0.113644,0.113644,0.113644,4.31312,0.113644,0.113644,0.113644,0.113644,0.113644,4.96278,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.21911,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,5.67402,0.113644,4.71212
BCL2A1,2.41968,2.92457,0.113644,1.51127,4.77752,2.16272,1.20968,3.05618,0.113644,2.85026,4.94699,4.05534,2.41968,2.92457,1.81287,2.61696,0.113644,0.113644,1.51127,1.81287,0.113644,0.113644,6.80406,10.6209,11.4485,2.16272,9.19016,11.0999,8.06575,4.80976,7.72768,6.92548,4.31312,5.52067,0.113644,3.64478,1.20968,1.81287,0.113644,0.113644,8.56078,1.20968,0.113644,3.56825,2.41968,1.20968,6.50485,2.92457,1.20968,1.20968,0.113644,1.51127,1.20968,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.76961,4.56034,4.11061,3.39116,0.113644,1.81287,1.20968,0.113644,0.113644,1.20968,0.113644,0.113644
BIN2,6.00011,5.02256,2.61696,4.29129,6.74966,1.81287,1.81287,9.54065,0.661663,1.20968,5.67402,6.39847,4.26947,1.20968,4.31312,2.16272,1.20968,1.20968,1.20968,0.661663,0.113644,0.113644,10.8224,12.1557,11.9674,9.30498,9.87578,10.1734,10.5864,10.5481,10.3035,7.64908,10.5945,3.90543,9.22023,2.61696,1.20968,3.05618,2.41968,1.20968,1.20968,4.16691,0.113644,1.20968,1.20968,0.113644,8.99956,5.57065,0.113644,3.1737,1.81287,3.05618,1.81287,1.81287,2.41968,1.20968,1.20968,1.20968,0.113644,0.113644,2.41968,1.81287,2.41968,1.20968,1.81287,3.89584,3.33816,1.81287,5.63312,1.81287,2.41968,2.16272
CCL3,4.67374,2.41968,0.113644,1.81287,3.28517,0.113644,0.113644,0.113644,0.113644,0.113644,3.64478,4.63537,2.92457,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,5.95075,6.35023,5.59303,5.19622,10.453,11.739,6.79623,2.41968,6.63774,5.51459,0.113644,6.12754,8.67553,0.113644,0.113644,0.113644,0.113644,0.113644,3.97559,0.113644,0.113644,0.113644,0.113644,0.113644,4.00388,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,1.51127,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,3.28517,0.113644,1.20968,0.113644,0.113644,0.113644
CCL3L3,2.61696,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,2.16272,1.20968,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.76094,6.72289,6.74514,2.16272,6.9462,8.7545,3.64478,1.51127,4.26947,6.32801,0.113644,3.93194,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,1.20968,2.77595,1.20968,0.113644,0.113644,1.20968,2.2912,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644
CCL4,4.31312,3.05618,0.113644,2.2912,2.61696,0.113644,0.113644,0.113644,0.113644,0.113644,5.6035,5.07842,3.39116,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.99416,8.45606,7.16203,4.11061,9.08301,11.1775,7.33897,3.28517,7.16288,6.23752,1.81287,3.62197,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.31312,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.28517,0.113644,1.20968,0.113644,0.113644,0.113644
CCL4L2,2.69645,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.67632,2.16272,2.41968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.13723,7.21103,6.55013,2.77595,7.58896,9.33926,4.00388,1.20968,5.57065,6.83811,0.113644,3.67502,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.9878,0.113644,0.113644,0.113644,0.113644,0.113644
CD48,4.21819,4.00388,0.113644,2.2912,4.80976,0.113644,0.113644,5.7177,0.113644,0.113644,5.95948,5.38652,3.89584,0.113644,1.81287,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,10.404,11.6343,9.76155,1.81287,10.0643,10.899,10.8656,10.5641,11.808,10.6239,10.483,4.08988,11.1403,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,2.92457,0.113644,0.113644,0.113644,0.113644,7.93315,2.92457,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,2.2912,0.113644,0.113644,0.113644,0.113644,0.113644
