,Heart,Valve,Ventricle,Atrium,Osteoblast,Adipocyte,Stromal cell,Chondrocyte,Bone marrow,Adipose,Colon mucosa,Gastric epithelial cell,Hepatic stellate cell,Hepatocyte,Alpha cell,Colon,Esophagus,Beta cell,Liver,Intestinal epithelial cell,Pancreatic islet,Small intestine,Tlymphocyte,Plasma cell,Blymphocyte,Spleen,Kupffer cell,Dendritic cell,Plasmacytoid dendritic cell,Macrophage,Thymus,Neutrophil,Microglia,Thymocyte,Granulocyte,Melanocyte,Fibroblast,Keratinocyte,Skin,Basal cell,Hair follicle,Vascular smooth muscle,Myofibroblast,Myoblast,Airway smooth muscle,Skeletal muscle,Oligodendrocyte,Astrocyte,Neuron,Medulla,Pons,Motor neuron,Sensory neuron,Midbrain,Hypothalamus,Cerebral cortex,Thalamus,Retina,Spinal cord,Cerebellum,Lung epithelial cell,Lung,Trachea,Podocyte,Granulosa,Oocyte,Kidney,Mammary gland,Ovary,Breast,Testis,Renal cortex
AEN,8.68407,8.23252,6.58321,6.20796,9.20018,8.81909,8.81909,8.5654,7.87338,5.5331,9.73619,9.6334,9.52562,9.13826,8.8032,8.65534,8.29015,8.26103,8.24342,8.09038,7.58896,7.48062,9.49929,9.46474,9.44594,8.88232,8.84868,8.31686,8.03109,7.98143,7.79166,7.78223,7.78223,6.85317,6.69416,10.0973,9.40669,9.04527,8.74681,8.19063,6.59716,9.43595,9.23523,9.20348,8.93702,6.39847,9.26011,8.93279,8.55681,8.0954,7.95551,7.82916,7.69494,7.19727,6.89949,6.79158,6.78736,6.64699,6.24863,3.64478,10.3029,8.85597,8.14304,9.7887,9.54156,9.48117,8.83547,8.82966,8.61401,8.54663,7.93237,7.01423
APEX1,10.6375,10.8457,9.89804,10.1365,10.5589,10.2226,10.5993,10.0119,10.8704,9.33823,10.4335,10.8522,10.7986,10.3774,9.7665,10.6303,10.8981,10.3761,10.4466,9.90627,9.74973,9.72488,10.9171,9.98645,11.1609,10.1475,10.1231,9.99244,11.3518,9.98841,10.6399,9.71621,10.4165,10.4225,7.70513,10.7496,10.628,10.6567,10.5322,10.1176,10.3953,10.7709,10.4389,10.9053,10.2807,10.0042,10.3064,10.6691,10.7008,9.52063,10.2534,11.0957,10.7486,10.2515,10.2897,11.5332,10.2047,10.4851,8.75269,7.66804,11.199,10.6291,10.4259,10.9129,10.8826,10.5113,10.6348,10.686,10.8583,10.9934,8.78278,8.85799
APEX2,7.86771,7.64019,7.20421,6.9608,7.75317,7.49163,7.62734,7.32343,7.60281,7.7752,7.71839,8.69824,7.88609,8.19063,7.11933,8.23044,8.33012,7.16279,7.87338,7.91639,6.89949,7.50607,8.42795,7.31657,9.0084,8.27173,7.53603,8.49652,8.26811,8.39705,7.67532,8.09635,7.10033,7.90918,7.67133,8.26064,7.65305,8.81617,7.89585,8.02846,7.63911,7.75317,7.98821,7.53683,7.28786,6.23741,5.74381,7.17515,6.16133,6.88092,7.80811,6.2249,7.09227,5.45333,6.42264,5.55187,6.39847,6.13094,5.39744,3.76961,9.392,8.25667,8.29646,8.45606,8.06141,8.86664,8.01158,8.44789,7.83104,8.80701,6.34193,6.74061
APRT,9.78515,9.12256,7.54534,7.46673,9.05067,9.26347,9.45232,9.1264,9.78113,9.75599,9.25917,9.88789,9.53922,9.75599,9.30245,9.9103,10.1213,8.21516,9.41232,8.77671,9.51726,8.78698,10.0895,10.2198,10.1767,10.1192,9.41728,9.5661,10.278,9.45919,9.24322,9.27797,8.59732,9.1216,7.81089,9.62859,9.34377,9.8704,9.6486,8.95954,8.47402,9.40484,9.32964,9.42566,9.4937,8.17773,6.33362,8.13855,7.48062,8.62629,9.69473,8.26064,7.89087,6.27464,7.68261,6.30682,7.75317,7.00491,6.53965,4.26947,10.6156,9.82698,9.70267,9.1614,9.52856,8.18352,9.8038,9.91577,9.50768,10.1192,8.1064,8.22167
ASF1B,2.92457,3.83218,2.92457,2.41968,6.86236,4.80976,5.28658,5.4736,5.72615,2.61696,7.3574,7.2262,6.38743,4.05534,0.113644,8.12544,8.90451,3.67632,4.47438,4.94577,0.113644,4.56034,7.67462,4.26947,9.44685,6.56004,3.90584,5.40837,4.67269,6.66685,7.65987,7.84148,4.89983,8.21748,8.90973,7.50055,6.47324,7.48062,5.59303,5.59303,4.47358,5.25971,7.17628,5.79561,4.05534,1.81287,5.69219,6.56004,4.84279,5.96484,5.76006,3.05618,2.16272,1.20968,2.61696,5.22302,2.41968,3.28517,1.81287,1.20968,8.80989,7.19032,5.23546,9.19687,7.80966,8.98109,8.24342,8.60063,7.28315,8.62241,8.35465,2.16272
AURKB,3.1737,3.1737,2.16272,2.77595,6.6958,3.39116,5.72615,4.9151,6.85317,2.16272,8.15277,5.99678,5.95167,3.76961,1.20968,7.94538,8.91634,3.80089,4.16691,6.25074,0.113644,4.31312,7.21826,5.96743,9.42737,5.61397,2.85026,4.21911,3.05618,5.34282,7.86274,5.12981,6.16133,8.18352,6.53843,7.4436,6.81895,7.9278,5.99799,6.42264,4.88658,5.67402,6.79179,6.77744,3.9543,3.28517,6.68963,6.49365,6.13094,5.11544,4.67269,6.21406,1.20968,1.81287,3.1737,5.94431,2.41968,3.97909,1.81287,1.81287,9.67475,7.60901,5.82639,8.65434,7.64271,9.41232,8.5892,8.34822,7.49691,8.31069,4.63537,1.51127
BAX,7.62734,8.42864,6.82687,6.51665,9.78657,8.69269,9.18212,8.42041,8.6722,5.98306,9.19924,10.3591,10.2226,9.30467,8.46109,9.27156,8.00002,8.36809,8.47114,8.6722,8.21284,8.37004,9.5734,8.37948,9.57223,9.07876,9.62868,9.31551,9.65198,9.7299,8.71775,9.75847,8.38436,7.48062,9.30229,10.6179,9.56147,9.61398,8.47114,7.91354,7.42442,9.88733,10.0828,8.90075,10.049,6.58321,7.99022,9.17908,8.05706,8.04421,8.93279,7.74633,7.68261,7.50252,7.82186,7.74852,7.82186,7.37623,6.91696,5.12981,9.49303,9.08301,9.31551,10.1594,7.9861,7.04658,8.98109,8.59297,8.45606,8.93702,5.75821,7.05469
BCL2L12,6.14657,6.08859,5.25971,4.80976,6.90917,5.96743,6.61407,6.49365,4.71212,4.59911,6.82005,7.78039,6.9657,6.74061,0.113644,7.38969,7.91821,2.92457,6.48238,6.48501,0.113644,4.11061,7.35149,0.113644,8.45365,7.01742,6.20187,6.90917,7.63021,6.92548,6.73175,7.37048,4.93037,6.90917,7.47993,7.10199,6.76675,7.53071,6.18762,6.93534,6.18845,6.33362,7.00978,6.11658,6.36501,6.90917,4.84279,6.06605,4.56034,4.63537,6.39847,3.76961,2.92457,3.05618,4.05534,3.62542,3.89584,4.11061,2.77595,0.113644,8.12214,7.08465,6.48238,7.78223,8.22153,8.65434,7.50974,7.41554,7.12986,7.53683,5.41928,3.43619
BIRC5,6.24863,4.53781,2.77595,5.22838,8.64651,5.31558,7.72151,7.48745,8.77715,6.49925,9.16065,8.22039,7.47443,4.93037,3.83218,8.9349,9.5376,6.80964,5.25971,7.69168,4.26947,6.64674,8.19468,8.08888,10.2813,6.68963,4.16486,4.00388,3.1737,6.05008,8.51468,4.80976,7.85429,9.95727,5.12832,8.62913,8.87207,8.76373,7.73525,7.85656,6.70473,7.33029,8.79562,8.98109,5.31558,2.61696,8.64333,8.40872,8.01158,7.81806,5.45333,7.96365,2.41968,5.60199,3.39116,7.63911,3.28517,5.97524,2.16272,2.41968,11.2637,9.13826,7.03818,9.29283,8.78718,9.05898,9.56053,9.71032,8.80141,10.0971,9.3815,2.16272
BUB1,4.96278,4.11061,3.48123,2.77595,7.99738,4.99416,6.35762,6.05008,7.06978,2.61696,9.05713,7.93949,6.65623,4.63537,0.113644,8.70389,8.70389,3.64478,4.11061,5.97623,0.113644,5.31558,7.9278,7.60281,10.558,6.51705,4.81015,5.91845,6.97799,6.17424,8.52927,4.84279,6.88558,9.38776,5.00836,7.65305,8.05127,8.66501,6.51705,7.40226,5.97524,7.28076,8.21935,7.23871,5.07842,2.16272,8.26448,8.08164,7.15725,6.38471,5.34282,6.18762,3.76961,2.16272,2.41968,7.74954,2.16272,4.26947,1.81287,0.113644,10.0719,8.37004,6.74966,9.31882,9.22757,10.034,8.78364,9.45232,8.53392,9.57078,9.48089,1.81287
