,Heart,Valve,Ventricle,Atrium,Adipose,Osteoblast,Stromal cell,Bone marrow,Adipocyte,Chondrocyte,Gastric epithelial cell,Esophagus,Colon,Hepatocyte,Intestinal epithelial cell,Hepatic stellate cell,Liver,Colon mucosa,Small intestine,Beta cell,Alpha cell,Pancreatic islet,Blymphocyte,Dendritic cell,Tlymphocyte,Macrophage,Spleen,Plasmacytoid dendritic cell,Neutrophil,Thymocyte,Thymus,Granulocyte,Kupffer cell,Plasma cell,Microglia,Keratinocyte,Melanocyte,Basal cell,Skin,Fibroblast,Hair follicle,Myofibroblast,Vascular smooth muscle,Myoblast,Airway smooth muscle,Skeletal muscle,Pons,Astrocyte,Sensory neuron,Medulla,Hypothalamus,Thalamus,Motor neuron,Neuron,Retina,Oligodendrocyte,Cerebral cortex,Midbrain,Spinal cord,Cerebellum,Lung epithelial cell,Trachea,Lung,Oocyte,Breast,Podocyte,Mammary gland,Granulosa,Kidney,Ovary,Renal cortex,Testis
APEX2,7.86771,7.64019,7.20421,6.9608,7.7752,7.75317,7.62734,7.60281,7.49163,7.32343,8.69824,8.33012,8.23044,8.19063,7.91639,7.88609,7.87338,7.71839,7.50607,7.16279,7.11933,6.89949,9.0084,8.49652,8.42795,8.39705,8.27173,8.26811,8.09635,7.90918,7.67532,7.67133,7.53603,7.31657,7.10033,8.81617,8.26064,8.02846,7.89585,7.65305,7.63911,7.98821,7.75317,7.53683,7.28786,6.23741,7.80811,7.17515,7.09227,6.88092,6.42264,6.39847,6.2249,6.16133,6.13094,5.74381,5.55187,5.45333,5.39744,3.76961,9.392,8.29646,8.25667,8.86664,8.80701,8.45606,8.44789,8.06141,8.01158,7.83104,6.74061,6.34193
ASF1B,2.92457,3.83218,2.92457,2.41968,2.61696,6.86236,5.28658,5.72615,4.80976,5.4736,7.2262,8.90451,8.12544,4.05534,4.94577,6.38743,4.47438,7.3574,4.56034,3.67632,0.113644,0.113644,9.44685,5.40837,7.67462,6.66685,6.56004,4.67269,7.84148,8.21748,7.65987,8.90973,3.90584,4.26947,4.89983,7.48062,7.50055,5.59303,5.59303,6.47324,4.47358,7.17628,5.25971,5.79561,4.05534,1.81287,5.76006,6.56004,2.16272,5.96484,2.61696,2.41968,3.05618,4.84279,3.28517,5.69219,5.22302,1.20968,1.81287,1.20968,8.80989,5.23546,7.19032,8.98109,8.62241,9.19687,8.60063,7.80966,8.24342,7.28315,2.16272,8.35465
AURKB,3.1737,3.1737,2.16272,2.77595,2.16272,6.6958,5.72615,6.85317,3.39116,4.9151,5.99678,8.91634,7.94538,3.76961,6.25074,5.95167,4.16691,8.15277,4.31312,3.80089,1.20968,0.113644,9.42737,4.21911,7.21826,5.34282,5.61397,3.05618,5.12981,8.18352,7.86274,6.53843,2.85026,5.96743,6.16133,7.9278,7.4436,6.42264,5.99799,6.81895,4.88658,6.79179,5.67402,6.77744,3.9543,3.28517,4.67269,6.49365,1.20968,5.11544,3.1737,2.41968,6.21406,6.13094,3.97909,6.68963,5.94431,1.81287,1.81287,1.81287,9.67475,5.82639,7.60901,9.41232,8.31069,8.65434,8.34822,7.64271,8.5892,7.49691,1.51127,4.63537
BCL2L12,6.14657,6.08859,5.25971,4.80976,4.59911,6.90917,6.61407,4.71212,5.96743,6.49365,7.78039,7.91821,7.38969,6.74061,6.48501,6.9657,6.48238,6.82005,4.11061,2.92457,0.113644,0.113644,8.45365,6.90917,7.35149,6.92548,7.01742,7.63021,7.37048,6.90917,6.73175,7.47993,6.20187,0.113644,4.93037,7.53071,7.10199,6.93534,6.18762,6.76675,6.18845,7.00978,6.33362,6.11658,6.36501,6.90917,6.39847,6.06605,2.92457,4.63537,4.05534,3.89584,3.76961,4.56034,4.11061,4.84279,3.62542,3.05618,2.77595,0.113644,8.12214,6.48238,7.08465,8.65434,7.53683,7.78223,7.41554,8.22153,7.50974,7.12986,3.43619,5.41928
CDK2,7.20421,7.85098,6.95675,6.33362,7.0628,8.71028,8.13855,8.28634,7.39734,7.97682,9.49168,8.84983,8.72848,7.9722,7.67862,8.37323,8.08888,8.89544,7.20421,6.64224,1.81287,0.113644,9.8008,7.7752,9.3222,7.70435,8.44788,8.80141,7.78955,9.57078,8.91465,7.80521,7.40785,6.53965,8.83322,9.0884,12.4042,8.75066,8.65633,8.48608,8.36021,8.54385,7.94538,7.63309,7.71533,6.77744,7.88005,8.67553,2.92457,8.2841,6.09783,5.59303,6.41035,7.44713,7.96365,8.16697,7.74878,4.89983,4.89983,3.05618,9.85522,8.08164,8.8032,6.99029,9.56796,9.75323,9.59034,7.61247,9.01157,8.0918,7.84183,6.68963
FBL,8.87813,10.2429,8.85604,8.49778,8.47702,9.54674,9.28129,10.1606,8.51653,9.92517,10.3349,10.4202,10.5512,8.9972,8.47389,10.0208,9.67365,10.2098,9.36558,9.31886,7.88005,8.7669,11.5401,8.79963,11.3755,8.78132,10.1704,10.6271,9.77664,10.0991,9.97506,7.47794,8.2174,9.9955,8.24247,10.5397,9.76557,10.3815,9.92517,9.58366,9.14807,9.78048,9.85859,8.97262,9.60747,9.04961,9.86848,9.18625,7.89585,9.30575,9.33719,9.28508,8.97048,8.98773,9.44685,9.04138,9.97843,8.24099,7.60901,6.49365,11.561,9.59131,10.2262,10.2673,10.3098,10.1555,10.4349,10.6996,10.4652,10.9388,7.8248,10.0468
GSG2,1.81287,2.61696,1.81287,1.20968,1.20968,5.50423,4.45275,0.113644,3.83218,4.08298,5.61835,4.77752,5.25971,3.48123,2.85026,5.20789,2.41968,5.67118,1.81287,1.20968,0.113644,0.113644,7.28786,4.59911,6.49365,4.56034,5.10633,4.43111,3.1737,6.4358,6.62761,2.41968,3.33816,0.113644,3.1737,6.31418,5.81875,4.19301,3.76961,5.18213,3.28517,5.54345,4.99416,4.99416,3.9543,3.05618,3.1737,4.89983,3.05618,2.77595,1.81287,1.81287,1.81287,3.64478,1.81287,4.51527,4.64639,0.113644,1.20968,0.113644,7.79302,3.9543,5.10633,6.21406,6.46517,6.67736,6.83068,3.56825,5.61397,4.61724,1.20968,6.0727
MCM5,6.9754,8.26983,6.79623,6.77744,7.98143,8.93705,7.42671,9.5765,7.23213,7.94077,9.51096,9.42566,9.62546,7.38969,7.23277,8.115,8.02123,8.98139,7.82916,5.98271,0.113644,0.113644,11.3765,9.58035,10.3945,9.04138,10.0936,10.8265,9.51301,10.7434,10.1789,9.40325,7.44343,8.59651,8.91807,9.34848,9.57629,8.37372,8.73712,8.65434,8.0954,8.86095,7.31085,7.90918,7.00978,7.54934,9.11944,8.55681,6.13094,7.94314,7.37647,7.37647,6.18762,7.51341,6.98284,8.38486,8.38855,4.76187,7.59665,6.11658,10.7264,7.56194,9.31882,10.3098,9.86149,10.7008,9.48728,10.1494,9.7717,10.1618,6.53429,9.13358
MYBL2,2.16272,3.67632,2.16272,1.81287,2.77595,8.01128,5.73498,6.27464,4.63537,5.44124,8.96129,8.33012,8.81003,4.56034,3.82433,7.21826,4.16691,8.51088,3.70787,3.05618,0.113644,0.113644,10.4631,4.67269,8.06116,6.54968,7.72768,10.6373,6.23741,8.93702,8.2917,3.9543,3.31221,8.03713,6.28784,9.00084,7.55196,6.99142,6.36501,7.36331,5.7177,6.64851,6.37631,5.3649,3.64478,0.113644,5.45333,7.84657,1.81287,4.73908,2.92457,1.81287,5.28658,6.58321,2.77595,7.81395,7.7523,1.20968,0.113644,0.113644,8.76878,5.8662,8.17773,9.93827,10.1989,10.1884,10.013,9.6621,9.148,9.9211,1.20968,8.01641
NCAPD2,8.52491,8.97686,8.05127,7.81195,7.88005,9.9586,9.1614,9.30467,8.77715,9.18514,10.5002,10.3227,10.2451,8.35972,8.6458,9.98229,8.24342,10.0004,8.79565,8.39493,7.84148,7.62734,11.5027,9.07601,10.1719,8.87207,9.80965,9.99247,9.43203,10.7072,10.5297,9.19757,8.52373,8.90685,9.26796,10.2399,9.87214,9.4388,9.41232,9.78366,9.34202,9.94667,9.66533,9.28798,9.68003,8.30029,9.37935,9.83133,8.41643,9.19461,8.70774,8.64543,8.77292,9.18625,9.21084,9.73355,9.39699,7.70672,9.04138,7.47443,11.0478,8.99301,9.96866,8.5809,10.3136,10.7377,10.6835,8.58499,10.2799,9.70392,8.15524,9.52799
PFN1,11.1544,12.3882,11.0258,10.7347,10.5864,13.2541,12.5238,12.1595,11.9806,12.0025,13.1009,13.4987,13.1578,12.589,12.0829,13.3599,12.3272,12.7549,11.9948,10.3315,10.2838,10.4005,13.2369,13.2437,13.4226,13.2647,13.286,13.3522,13.6465,12.3212,12.6138,12.9228,12.5056,10.2564,12.431,13.4144,12.8779,12.0215,12.4622,12.8608,12.2491,13.3908,12.8852,12.3913,12.3977,10.5967,12.3603,11.9011,11.7657,11.7396,11.9709,11.9235,10.7809,10.8999,10.3975,10.5247,10.5427,10.8608,10.3677,7.73975,13.8009,12.6628,12.983,11.4912,12.8902,13.8181,12.5668,11.8847,12.5099,12.1062,11.1909,10.5796
