id,min,q1,median,q3,max
System.Cardiovascular System.Heart.VALVE,8.5699,9.55033,9.92094,10.3445,10.8987
System.Connective Tissue.Adipose tissue.ADIPOSE,5.77746,8.97677,9.85639,11.2891,11.8353
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,6.91569,8.32484,8.98773,9.42566,10.2089
System.Cardiovascular System.Heart.VENTRICLE,7.23792,8.41274,8.90936,9.38984,9.985
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,7.85492,8.53721,8.91634,9.9368
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,1.20968,3.1737,8.1753,9.65802,10.4488
System.Cardiovascular System.Heart.ATRIUM,6.06471,7.15133,8.13118,9.48724,10.3024
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.56825,6.16133,7.69006,8.55124,9.7248
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,4.63079,6.86641,7.67629,8.33458,8.85099
System.Digestive System.Liver.HEPATIC STELLATE CELL,4.87097,6.53965,7.63309,8.84482,9.93703
System.Integumentary System.Skin.SKIN,0.113644,4.71212,7.49889,8.81277,10.1684
System.Connective Tissue.Adipose tissue.ADIPOCYTE,2.77595,5.63312,7.44713,9.11166,10.286
System.Muscular System.Smooth muscle.MYOFIBROBLAST,4.00388,4.56034,7.35999,9.04756,9.57425
System.Integumentary System.Skin.FIBROBLAST,0.113644,4.21911,7.12679,8.63303,9.99958
System.Immune System.Myeloid.MACROPHAGE,2.41968,5.5331,6.9754,7.99022,9.54936
System.Integumentary System.Skin.HAIR FOLLICLE,3.05618,4.13774,6.67293,7.70048,9.97401
System.Digestive System.Intestine.SMALL INTESTINE,1.81287,4.93037,6.52893,7.67474,9.4201
System.Connective Tissue.Bone.OSTEOBLAST,3.28517,4.88745,6.26748,7.89037,10.2197
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,3.05618,6.17424,7.72192,9.42379
System.Digestive System.Liver.LIVER,1.20968,3.64478,5.95167,6.9657,8.49852
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,4.16691,5.81111,7.39352,9.2519
System.Immune System.Myeloid.KUPFFER CELL,4.32995,4.79388,5.77221,6.86461,7.19583
System.Cardiovascular System.Heart.HEART,0.113644,3.70787,5.72615,8.47114,9.9792
System.Nervous System.CNS.SPINAL CORD,3.05618,4.43111,5.5514,7.12679,8.89082
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,3.78525,5.45333,7.53673,10.1246
System.Connective Tissue.Bone.STROMAL CELL,0.113644,2.61696,5.4302,6.89502,9.5752
System.Integumentary System.Skin.MELANOCYTE,1.81287,4.00388,5.4302,6.53702,8.45004
System.Digestive System.Intestine.COLON,0.113644,2.92457,5.3649,9.83248,11.515
System.Immune System.Myeloid.MICROGLIA,1.20968,3.05618,4.96278,7.04877,8.59728
System.Digestive System.Intestine.COLON MUCOSA,1.66207,3.79218,4.79364,8.87548,11.1671
System.Connective Tissue.Bone marrow.CHONDROCYTE,1.81287,3.28517,4.65403,6.61686,7.65841
System.Nervous System.CNS.CEREBELLUM,3.39116,4.00388,4.59911,5.57065,7.61874
System.Urogenital/Reproductive System.Kidney.KIDNEY,1.81287,3.28517,4.56034,7.14836,9.14802
System.Immune System.Granulocytic.NEUTROPHIL,2.16272,3.64478,4.47438,5.19501,6.48351
System.Nervous System.CNS.MEDULLA,1.20968,2.16272,4.33251,6.70637,8.08886
System.Respiratory System.Lung.LUNG,0.113644,2.41968,4.31312,7.60281,10.6652
System.Nervous System.CNS.THALAMUS,1.81287,2.99037,4.16691,6.15095,8.35844
System.Nervous System.CNS.HYPOTHALAMUS,1.88284,3.05618,4.16691,5.95167,8.84626
System.Nervous System.CNS.PONS,0.113644,2.16272,4.11061,6.35023,9.73205
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,2.41968,4.05534,6.26709,8.28981
System.Digestive System.Liver.HEPATOCYTE,1.20968,2.77595,3.83218,5.12981,7.58713
System.Immune System.Thymus.THYMOCYTE,1.81287,2.61696,3.83218,5.07842,6.82292
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,1.9703,2.92457,3.76961,4.7697,6.84388
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,3.56825,6.85383,9.2641
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,2.61696,3.56825,4.93037,7.4978
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,1.81287,3.52474,5.5514,8.6552
System.Immune System.Spleen.SPLEEN,0.113644,2.61696,3.48123,4.93037,9.27797
System.Urogenital/Reproductive System.Kidney.PODOCYTE,1.20968,2.61696,3.48123,4.26612,5.35156
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,3.1737,5.63312,8.91448
System.Immune System.Thymus.THYMUS,1.20968,2.41968,3.1737,4.05534,6.91054
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,2.16272,3.1737,4.56034,5.99646
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,2.22696,3.11494,4.05534,5.4241
System.Integumentary System.Skin.BASAL CELL,1.20968,2.41968,3.05618,5.12981,7.86974
System.Nervous System.Eye.RETINA,0.113644,1.81287,3.05618,4.05534,8.90021
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,1.20968,3.05618,5.30108,7.88841
System.Nervous System.CNS.CEREBRAL CORTEX,1.78271,2.56764,2.99037,5.51921,6.40803
System.Respiratory System.Trachea.TRACHEA,0.113644,1.81287,2.92457,4.16691,7.84746
System.Nervous System.PNS.SENSORY NEURON,0.661663,2.2912,2.92457,3.52474,4.91003
System.Nervous System.CNS.ASTROCYTE,0.113644,2.16272,2.61696,4.63537,8.46109
System.Nervous System.PNS.MOTOR NEURON,0.113644,1.20968,2.61696,4.38682,7.46951
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,2.41968,3.39116,7.68859
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,1.81287,2.41968,2.92457,4.02447
System.Nervous System.CNS.NEURON,0.113644,1.81287,2.41968,3.56825,7.33897
System.Nervous System.CNS.OLIGODENDROCYTE,1.81287,2.16272,2.41968,2.61696,4.65328
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,1.20968,2.41968,3.64478,8.29119
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,1.81287,2.41968,3.28517,6.57296
