id,min,q1,median,q3,max
System.Connective Tissue.Adipose tissue.ADIPOSE,5.25365,9.29223,10.2373,10.732,11.5461
System.Cardiovascular System.Heart.VENTRICLE,6.4395,8.62564,9.16523,9.66533,10.2728
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.95964,6.03426,8.9635,10.1773,10.941
System.Cardiovascular System.Heart.HEART,0.113644,5.18213,8.29015,9.24615,10.724
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,7.37347,8.25328,8.87657,10.348
System.Cardiovascular System.Heart.ATRIUM,2.16272,3.56825,8.20718,9.00611,9.52921
System.Connective Tissue.Bone.OSTEOBLAST,5.53402,6.76942,7.87468,8.96988,10.3247
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,7.11933,7.84657,8.42438,9.52153
System.Connective Tissue.Adipose tissue.ADIPOCYTE,2.97721,5.99799,7.61504,9.20348,10.8431
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,6.47843,7.40438,8.22164,9.08879
System.Connective Tissue.Bone.STROMAL CELL,0.113644,5.02256,7.29945,8.8169,10.7663
System.Cardiovascular System.Heart.VALVE,3.93598,5.8119,7.20754,12.1877,12.7006
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,1.20968,6.92548,8.59534,10.2554
System.Immune System.Myeloid.KUPFFER CELL,3.39116,4.54907,6.85051,8.64348,9.1056
System.Nervous System.CNS.MEDULLA,0.113644,1.90033,6.72045,9.39051,10.6506
System.Digestive System.Liver.LIVER,0.113644,1.20968,6.71195,8.30882,10.2431
System.Integumentary System.Skin.FIBROBLAST,0.113644,3.05618,6.62962,8.27173,9.96545
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,2.61696,5.6494,6.57163,7.37785,8.08595
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,5.38652,5.93591,6.38743,6.93534,7.8454
System.Integumentary System.Skin.SKIN,0.113644,2.77595,6.35023,7.90088,9.80914
System.Muscular System.Smooth muscle.MYOFIBROBLAST,4.12786,4.77752,6.21406,9.69135,10.8384
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.81287,5.5331,7.16833,8.3913
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,1.20968,5.34024,6.73774,8.05923
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,1.20968,5.06359,7.45837,8.86007
System.Nervous System.CNS.SPINAL CORD,2.41968,3.64478,4.51527,5.49388,7.03325
System.Integumentary System.Skin.MELANOCYTE,0.113644,3.08556,4.38682,5.72615,8.82853
System.Digestive System.Intestine.COLON MUCOSA,0.113644,2.07526,4.05534,5.64202,8.4163
System.Nervous System.CNS.THALAMUS,1.81287,2.99037,3.9543,4.76156,6.49638
System.Nervous System.CNS.HYPOTHALAMUS,1.81287,2.92457,3.9543,4.96278,6.30065
System.Nervous System.Eye.RETINA,0.113644,0.113644,3.70787,5.8662,10.3216
System.Nervous System.CNS.ASTROCYTE,0.113644,1.20968,3.56825,8.03109,9.8983
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,1.20968,3.39116,5.04141,7.9384
System.Nervous System.CNS.CEREBELLUM,0.113644,2.41968,3.28517,4.11061,6.43448
System.Digestive System.Liver.HEPATOCYTE,0.113644,1.20968,3.05618,4.89983,8.23214
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,2.92457,5.2738,8.95683
System.Digestive System.Intestine.COLON,0.113644,0.113644,2.61696,5.5331,8.42417
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,1.20968,1.81287,5.65408,6.57759
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,1.20968,1.81287,3.60651,5.57329
System.Nervous System.CNS.NEURON,0.113644,0.113644,1.20968,2.61696,6.05008
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,1.20968,2.16272,4.16241
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,1.20968,3.28517,7.78174
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,0.113644,1.20968,9.51502
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,8.88303
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,0.113644,5.11807,8.13861
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.113644,2.61696,6.04452
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,0.113644,1.81287,6.92432
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,2.16272
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,3.60786
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,1.20968
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,1.20968
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,0.113644,0.113644,5.59303
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,0.113644,5.07842,6.74061
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,1.20968,8.73712
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,0.113644,2.17768
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,0.113644,5.16876
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,1.20968,7.31583
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,7.91721
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,1.20968,8.71085
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,0.113644,0.387653,1.60175
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,0.113644,6.41162
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,0.113644,0.113644,1.20968
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,0.113644,5.4097
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,0.113644,3.39116,8.14626
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,0.113644,6.66182,9.55053
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,0.113644,3.77587
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,1.20968,8.12393
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,2.41968,6.08538
System.Respiratory System.Lung.LUNG,0.113644,0.113644,0.113644,5.93591,9.13475
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,0.113644,1.81287,4.26587
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,1.20968
System.Nervous System.CNS.PONS,0.113644,0.113644,0.113644,2.16272,8.52548
