id,min,q1,median,q3,max
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,5.83509,10.4868,13.5658,14.388,14.8427
System.Immune System.Myeloid.DENDRITIC CELL,2.66466,10.5646,12.6933,13.588,14.392
System.Immune System.Myeloid.MACROPHAGE,3.48123,10.9651,12.5816,13.6362,14.5294
System.Digestive System.Liver.HEPATOCYTE,8.24989,11.2209,12.4823,13.2031,13.8632
System.Immune System.Granulocytic.NEUTROPHIL,7.40818,11.436,12.1256,12.6729,13.5598
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,7.34353,9.2846,12.0682,15.7616,16.0053
System.Digestive System.Liver.LIVER,1.20968,9.28775,12.0567,12.7814,13.383
System.Immune System.Myeloid.KUPFFER CELL,9.60827,10.249,11.8662,13.2234,13.2676
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,10.3896,11.0659,11.561,11.9256,12.8552
System.Connective Tissue.Bone.OSTEOBLAST,8.40968,10.5647,11.5456,12.6418,13.6165
System.Immune System.Granulocytic.GRANULOCYTE,3.5639,9.58047,11.0158,12.9523,13.5814
System.Muscular System.Smooth muscle.MYOFIBROBLAST,3.83218,10.3436,10.967,11.9416,12.772
System.Integumentary System.Skin.FIBROBLAST,0.113644,7.87338,10.6416,12.463,14.0973
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.13514,9.89648,10.6134,11.7478,13.214
System.Cardiovascular System.Heart.VALVE,7.01363,9.66062,10.5739,11.2689,12.3623
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,2.77595,6.27464,10.2608,11.9215,12.9608
System.Connective Tissue.Bone.STROMAL CELL,0.113644,8.18885,10.1536,11.7204,13.516
System.Connective Tissue.Adipose tissue.ADIPOCYTE,4.02447,7.43403,10.0564,11.8862,13.4468
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,7.00873,9.81244,11.47,13.3196
System.Integumentary System.Skin.SKIN,1.20968,7.27416,9.67365,11.4633,13.7297
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,4.75237,9.50818,12.4137,13.9499
System.Digestive System.Intestine.SMALL INTESTINE,3.74948,5.78479,9.29666,12.3773,15.2096
System.Connective Tissue.Bone marrow.CHONDROCYTE,1.81287,5.22084,9.25734,12.1761,13.4965
System.Connective Tissue.Adipose tissue.ADIPOSE,2.77595,4.31312,8.02354,9.45428,12.6439
System.Nervous System.CNS.PONS,0.113644,1.20968,7.7319,10.9905,12.4742
System.Digestive System.Intestine.COLON,0.113644,2.77595,7.20762,11.5016,14.8264
System.Integumentary System.Skin.KERATINOCYTE,1.20968,4.93037,7.04658,9.255,11.0894
System.Respiratory System.Lung.LUNG,0.113644,3.05618,7.03818,9.75599,12.0901
System.Urogenital/Reproductive System.Kidney.PODOCYTE,1.81287,4.34997,6.90917,7.72151,12.6629
System.Cardiovascular System.Heart.ATRIUM,1.93532,4.3519,6.88087,8.19525,9.35701
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,1.90033,6.79623,8.30256,9.9017
