id,min,q1,median,q3,max
System.Digestive System.Liver.HEPATIC STELLATE CELL,13.0246,13.516,13.9282,14.1936,14.7082
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,13.3599,13.6263,13.8181,14.1602,14.766
System.Integumentary System.Skin.MELANOCYTE,10.1212,12.5025,13.8124,14.0973,14.5988
System.Muscular System.Skeletal muscle.MYOBLAST,11.1087,13.1867,13.7084,14.1936,15.1641
System.Integumentary System.Skin.FIBROBLAST,10.5408,12.6791,13.6565,14.2278,14.9608
System.Connective Tissue.Bone.STROMAL CELL,11.7021,13.0597,13.5598,14.1286,15.0797
System.Muscular System.Smooth muscle.MYOFIBROBLAST,12.5316,12.9884,13.5074,13.8038,14.2119
System.Connective Tissue.Adipose tissue.ADIPOCYTE,11.8264,12.9405,13.4388,13.7839,14.3189
System.Connective Tissue.Bone.OSTEOBLAST,12.4187,12.9776,13.3561,13.677,13.9941
System.Immune System.Myeloid.MACROPHAGE,10.8842,12.3452,13.3226,13.8536,14.3981
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,12.0109,12.8088,13.2933,13.5976,14.979
System.Connective Tissue.Bone marrow.CHONDROCYTE,11.1517,12.6012,13.0756,13.4367,13.7896
System.Urogenital/Reproductive System.Kidney.PODOCYTE,10.6728,12.3044,13.0156,13.3752,13.7546
System.Immune System.Myeloid.KUPFFER CELL,11.9841,12.1387,12.9818,14.2863,14.5459
System.Immune System.Myeloid.DENDRITIC CELL,10.0582,12.0226,12.9405,13.3523,13.8067
System.Digestive System.Liver.HEPATOCYTE,10.1312,11.7434,12.589,13.01,13.6852
System.Cardiovascular System.Heart.VALVE,11.3991,12.2642,12.554,12.8767,13.331
System.Integumentary System.Skin.SKIN,9.8152,11.5535,12.4166,13.8181,14.766
System.Digestive System.Pancreas.PANCREATIC ISLET,9.20616,11.254,12.3882,13.23,14.47
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,12.0583,12.0806,12.3726,12.5406,12.7486
System.Connective Tissue.Adipose tissue.ADIPOSE,10.238,11.4962,12.3603,13.5598,14.1936
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,10.7361,11.7132,12.2796,12.5676,12.9509
System.Respiratory System.Lung.LUNG,9.6271,11.4749,12.2073,12.9304,14.3189
System.Cardiovascular System.Heart.HEART,10.11,11.2934,12.1761,13.9413,14.6025
System.Integumentary System.Skin.BASAL CELL,8.2995,11.4059,12.0601,12.5631,12.9418
System.Nervous System.CNS.ASTROCYTE,6.35023,10.8146,12.0226,13.2369,13.7952
System.Digestive System.Esophagus.ESOPHAGUS,9.48366,11.152,11.9709,12.7221,13.6947
System.Respiratory System.Trachea.TRACHEA,10.174,11.2675,11.9402,12.3331,13.2465
System.Immune System.Myeloid.MICROGLIA,9.04733,11.0985,11.9298,12.3603,13.5061
System.Integumentary System.Skin.KERATINOCYTE,10.6241,11.4103,11.9215,12.3331,12.7905
System.Digestive System.Intestine.COLON MUCOSA,9.95373,11.4816,11.7749,13.3227,14.584
System.Digestive System.Pancreas.ALPHA CELL,9.87426,10.7839,11.755,12.5099,13.8478
System.Nervous System.CNS.HYPOTHALAMUS,9.84024,10.6394,11.639,12.0248,12.9406
System.Digestive System.Liver.LIVER,9.51726,10.8327,11.5996,12.4892,13.6515
System.Urogenital/Reproductive System.Breast.BREAST,1.20968,10.8833,11.5918,12.3788,13.6263
System.Digestive System.Pancreas.BETA CELL,10.3461,11.1126,11.5871,12.2166,13.3729
System.Urogenital/Reproductive System.Kidney.KIDNEY,8.81756,10.9407,11.5357,12.1014,13.1515
System.Nervous System.CNS.OLIGODENDROCYTE,10.0882,10.8911,11.5034,11.996,12.791
System.Cardiovascular System.Heart.VENTRICLE,10.6722,11.1528,11.4699,11.7381,12.8685
System.Digestive System.Intestine.COLON,8.97289,10.4991,11.3461,12.0395,13.3748
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,10.19,10.845,11.3149,12.1794,13.2711
System.Digestive System.Intestine.SMALL INTESTINE,8.37923,10.6194,11.3106,11.7341,12.48
System.Nervous System.PNS.SENSORY NEURON,9.64559,10.8871,11.2563,11.8561,12.2368
System.Nervous System.CNS.MEDULLA,8.65691,10.3397,11.2534,12.2531,13.588
System.Immune System.Lymphoid.PLASMA CELL,0.113644,10.3895,11.2486,11.9986,13.1272
System.Cardiovascular System.Heart.ATRIUM,7.76929,9.71043,11.1932,11.5054,12.4653
System.Nervous System.CNS.PONS,7.64829,10.4202,11.1775,12.059,13.6484
System.Integumentary System.Skin.HAIR FOLLICLE,9.00758,10.0128,11.1714,12.9089,13.4536
System.Nervous System.CNS.SPINAL CORD,9.2442,10.6119,11.0973,11.4824,12.2409
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.32126,10.479,11.0446,11.4232,11.795
System.Immune System.Granulocytic.NEUTROPHIL,9.53989,10.5978,11.0437,11.4463,12.0968
System.Urogenital/Reproductive System.Ovary.OVARY,6.54639,9.18457,11.0068,11.85,12.8167
System.Urogenital/Reproductive System.Ovary.GRANULOSA,5.56199,8.55807,11.0005,12.3843,13.8834
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,9.32656,10.1697,10.9896,11.694,12.2465
System.Nervous System.Eye.RETINA,8.20466,10.3275,10.9437,12.368,13.3599
System.Nervous System.CNS.THALAMUS,8.78542,10.3144,10.9115,11.9736,12.9279
System.Immune System.Lymphoid.BLYMPHOCYTE,8.16754,9.56888,10.6149,11.0327,12.1732
System.Immune System.Spleen.SPLEEN,3.39116,9.21541,10.5612,11.4984,12.4199
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,9.13878,10.1066,10.4862,11.6251,13.6215
System.Immune System.Granulocytic.GRANULOCYTE,8.98388,9.76105,10.4759,11.4054,12.6016
System.Nervous System.CNS.NEURON,5.3649,8.83547,10.4452,11.6239,12.9051
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,8.15351,10.3765,11.5918,12.5658
System.Nervous System.PNS.MOTOR NEURON,5.74473,8.65847,10.242,11.699,12.8784
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,9.19016,9.82698,10.186,12.245,14.4463
System.Nervous System.CNS.MIDBRAIN,6.99912,8.2873,10.0928,11.8192,13.4528
System.Nervous System.CNS.CEREBRAL CORTEX,6.61959,8.8101,9.89094,11.2647,12.6667
System.Immune System.Lymphoid.TLYMPHOCYTE,7.78719,9.21541,9.87578,10.8424,12.0894
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,6.41035,9.72339,11.3442,13.7729
System.Urogenital/Reproductive System.Ovary.OOCYTE,5.74112,8.1156,9.47718,11.2673,13.0002
System.Immune System.Thymus.THYMUS,5.40185,7.39316,8.62478,9.94819,10.9886
System.Immune System.Thymus.THYMOCYTE,5.6457,7.41835,8.33578,8.87813,9.49063
System.Nervous System.CNS.CEREBELLUM,4.53837,7.12306,8.02123,8.79593,10.325
