id,min,q1,median,q3,max
System.Immune System.Myeloid.DENDRITIC CELL,8.69806,10.3426,10.9689,11.8522,12.6779
System.Immune System.Myeloid.MACROPHAGE,6.76077,9.33926,10.6637,11.3205,12.065
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,8.4313,10.1147,10.6531,10.9364,11.2252
System.Connective Tissue.Adipose tissue.ADIPOSE,6.86911,9.68278,10.4398,10.8533,11.301
System.Cardiovascular System.Heart.ATRIUM,9.15996,9.65994,10.1034,10.4714,10.8466
System.Nervous System.CNS.SPINAL CORD,5.69564,9.67794,10.0643,10.361,10.8117
System.Cardiovascular System.Heart.VENTRICLE,8.43377,9.52429,9.98743,10.3779,10.9157
System.Cardiovascular System.Heart.VALVE,9.17987,9.51604,9.9554,10.7887,11.4863
System.Integumentary System.Skin.HAIR FOLLICLE,5.24457,7.29945,9.89908,10.6368,11.2762
System.Connective Tissue.Adipose tissue.ADIPOCYTE,6.64251,9.03811,9.89332,10.3452,10.9296
System.Connective Tissue.Bone.OSTEOBLAST,7.79408,9.21143,9.73299,10.3391,10.9795
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.78118,9.06946,9.66533,10.0073,10.8887
System.Integumentary System.Skin.MELANOCYTE,6.75235,8.55409,9.5156,10.2268,10.6917
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.27137,8.69875,9.50662,9.85726,10.3671
System.Urogenital/Reproductive System.Kidney.PODOCYTE,5.42146,8.75987,9.38776,9.77548,10.4688
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,5.59867,8.88536,9.37674,9.6709,10.025
System.Nervous System.CNS.ASTROCYTE,4.59911,7.70909,9.2492,10.3327,11.5461
System.Integumentary System.Skin.SKIN,4.74622,7.67462,9.16713,9.87999,10.8343
System.Connective Tissue.Bone.STROMAL CELL,0.113644,7.57669,9.06493,9.99791,10.8188
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,7.79455,8.47702,9.02623,9.60441,10.2831
System.Connective Tissue.Bone marrow.CHONDROCYTE,7.30529,8.3671,8.96601,9.56296,10.9361
System.Nervous System.CNS.CEREBELLUM,5.90574,8.27563,8.91634,9.32847,10.5576
System.Integumentary System.Skin.FIBROBLAST,0.113644,7.36869,8.83322,9.60747,10.5272
System.Nervous System.CNS.THALAMUS,6.74316,7.54934,8.48608,9.79704,11.8463
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,7.17515,8.48608,9.2492,10.1268
System.Immune System.Myeloid.KUPFFER CELL,6.74061,6.93288,8.38997,9.2907,9.5668
System.Cardiovascular System.Heart.HEART,4.16691,6.75783,8.37004,9.93459,10.9533
System.Nervous System.CNS.OLIGODENDROCYTE,6.18363,7.53436,8.32484,9.54624,10.3605
System.Immune System.Thymus.THYMUS,4.81168,7.00003,8.29483,9.07664,10.2083
System.Immune System.Thymus.THYMOCYTE,5.51459,6.07935,8.26448,9.38938,9.74064
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,7.70984,8.24738,8.85952,10.7851
System.Immune System.Myeloid.MICROGLIA,4.39347,7.44385,8.22586,9.52761,10.958
System.Immune System.Spleen.SPLEEN,0.113644,7.03818,8.15151,9.02623,10.2399
System.Nervous System.CNS.PONS,0.113644,5.84343,8.04272,9.14581,10.4662
System.Immune System.Granulocytic.NEUTROPHIL,4.59523,7.13293,8.02584,8.71085,9.91994
System.Nervous System.CNS.HYPOTHALAMUS,6.57294,7.38198,7.95029,9.54182,10.7352
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,7.00948,7.4111,7.7649,8.27173,8.88308
System.Nervous System.CNS.MEDULLA,2.81311,5.20789,7.65605,8.75949,10.3444
System.Immune System.Lymphoid.BLYMPHOCYTE,3.29047,5.29383,7.65386,9.72754,10.314
System.Immune System.Lymphoid.TLYMPHOCYTE,5.17665,6.30103,7.49163,8.66501,9.91709
System.Nervous System.CNS.CEREBRAL CORTEX,4.50516,7.01064,7.36039,8.00165,8.71748
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,5.35375,7.10985,8.52925,10.0726
System.Respiratory System.Lung.LUNG,0.113644,5.51459,7.10033,8.96857,10.8357
System.Digestive System.Liver.LIVER,1.20968,5.41928,7.0628,7.94783,9.77539
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,3.39116,7.01,8.71313,10.6363
System.Digestive System.Intestine.COLON,2.78338,5.5331,6.9657,8.21284,9.84478
System.Digestive System.Intestine.COLON MUCOSA,3.87992,6.25146,6.94598,8.76835,9.72404
