id,min,q1,median,q3,max
System.Nervous System.PNS.SENSORY NEURON,8.45616,9.15326,9.75847,10.0683,10.3217
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.97319,9.42566,9.63074,9.77515,10.0193
System.Integumentary System.Skin.MELANOCYTE,0.168446,8.3124,9.48428,9.81724,10.3024
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,8.15985,9.35745,10.035,10.6686
System.Cardiovascular System.Heart.VENTRICLE,8.06629,8.83444,9.148,9.41696,9.74333
System.Nervous System.PNS.MOTOR NEURON,0.113644,7.68261,9.11166,9.90091,10.8254
System.Cardiovascular System.Heart.VALVE,7.9213,8.29435,9.06808,9.43255,9.68116
System.Nervous System.CNS.CEREBRAL CORTEX,5.45952,8.54659,8.96893,9.77126,9.94497
System.Connective Tissue.Bone marrow.CHONDROCYTE,6.27213,8.13967,8.90936,9.46896,9.91936
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,8.23252,8.82966,9.24548,9.80494
System.Connective Tissue.Adipose tissue.ADIPOCYTE,7.65305,8.43178,8.75978,9.18212,9.72591
System.Connective Tissue.Bone.OSTEOBLAST,6.74339,8.21748,8.6917,9.14392,9.75533
System.Cardiovascular System.Heart.ATRIUM,2.54437,4.6263,8.65969,9.02981,9.45088
System.Nervous System.CNS.HYPOTHALAMUS,5.60973,8.04956,8.59837,9.03285,9.66068
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,7.34106,7.9278,8.59651,8.91634,9.3646
System.Connective Tissue.Bone.STROMAL CELL,0.113644,7.60746,8.58913,9.05014,9.80204
System.Integumentary System.Skin.FIBROBLAST,0.113644,7.7752,8.5809,9.16713,10.0638
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,8.5441,9.64619,10.5952
System.Nervous System.CNS.NEURON,0.113644,7.13293,8.51018,9.37935,10.6019
System.Digestive System.Pancreas.ALPHA CELL,0.113644,6.77744,8.50708,9.68909,10.7415
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.68459,8.15151,8.48608,8.9198,9.62337
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.26476,7.80785,8.37546,9.46372,10.1238
System.Cardiovascular System.Heart.HEART,3.56825,7.50607,8.36605,9.05621,9.68046
System.Nervous System.CNS.THALAMUS,6.06626,7.20435,8.34337,8.90758,9.60686
System.Digestive System.Pancreas.BETA CELL,0.113644,7.66725,8.33904,9.25003,10.6543
System.Connective Tissue.Adipose tissue.ADIPOSE,6.52596,7.69838,8.25667,8.69555,9.30381
System.Integumentary System.Skin.HAIR FOLLICLE,3.87356,6.67021,8.23321,8.78518,9.31958
System.Nervous System.CNS.OLIGODENDROCYTE,6.62761,7.52741,7.94077,8.434,9.06059
System.Nervous System.Eye.RETINA,0.113644,7.31085,7.93315,8.68976,9.87999
System.Digestive System.Intestine.SMALL INTESTINE,1.20968,6.00875,7.89087,8.64884,9.34665
System.Nervous System.CNS.ASTROCYTE,1.20968,6.38743,7.86771,8.44788,9.05898
System.Immune System.Myeloid.MACROPHAGE,0.113644,6.70196,7.78223,8.60695,9.68003
System.Digestive System.Intestine.COLON MUCOSA,0.113644,5.89821,7.75933,9.03624,9.66772
System.Integumentary System.Skin.SKIN,0.113644,6.57131,7.68261,8.6904,9.83286
System.Immune System.Myeloid.MICROGLIA,0.113644,4.96278,7.66804,9.20833,9.62546
System.Integumentary System.Skin.KERATINOCYTE,5.31558,7.08465,7.59665,8.05706,8.99148
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,6.77703,7.45868,7.82176,8.48666
System.Immune System.Myeloid.KUPFFER CELL,4.9442,5.58775,7.33247,9.05442,9.44004
System.Nervous System.CNS.SPINAL CORD,6.06206,6.79401,7.24729,7.7752,9.42348
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,2.07526,7.20417,8.19292,8.97712
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,7.19727,9.16516,10.9692
System.Nervous System.CNS.CEREBELLUM,5.23546,6.27464,7.13892,7.76936,8.74617
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,6.01703,6.91696,7.94115,9.14492
