id,min,q1,median,q3,max
System.Cardiovascular System.Heart.VALVE,11.9755,13.1437,14.8916,15.3615,16.0295
System.Connective Tissue.Bone marrow.CHONDROCYTE,10.5492,13.4141,14.3981,15.2096,15.9328
System.Connective Tissue.Bone.OSTEOBLAST,10.1802,11.8033,13.3908,14.1208,14.6792
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,11.4143,12.3452,13.01,13.5785,14.3698
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,7.91821,9.85085,12.9001,14.1936,14.9256
System.Digestive System.Liver.HEPATIC STELLATE CELL,5.73027,10.6322,12.675,13.719,14.9833
System.Muscular System.Smooth muscle.MYOFIBROBLAST,5.72471,10.6627,12.6606,13.54,14.6045
System.Integumentary System.Skin.HAIR FOLLICLE,8.82149,11.0329,12.0822,13.5518,14.283
System.Cardiovascular System.Heart.ATRIUM,8.49875,10.6755,11.7398,12.0361,12.6585
System.Cardiovascular System.Heart.HEART,0.113644,9.01157,11.1648,11.8862,14.766
System.Connective Tissue.Bone.STROMAL CELL,5.03192,9.92937,10.9006,12.5649,14.736
System.Cardiovascular System.Heart.VENTRICLE,8.32653,9.84788,10.8649,11.744,13.4692
System.Integumentary System.Skin.FIBROBLAST,0.113644,7.99022,10.5793,12.5202,14.2105
System.Digestive System.Liver.LIVER,0.113644,3.92507,10.1651,11.5618,13.0726
System.Connective Tissue.Adipose tissue.ADIPOCYTE,3.28517,6.50485,10.0235,12.0248,13.7363
System.Integumentary System.Skin.SKIN,0.113644,7.22876,9.97435,11.6263,13.7513
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,5.79265,9.13125,9.90764,10.8148,11.5265
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,5.35921,9.111,11.5532,13.2346
System.Nervous System.CNS.HYPOTHALAMUS,6.36226,7.25523,8.84753,10.8185,14.2753
System.Nervous System.CNS.THALAMUS,6.26897,7.39603,8.4413,10.0032,13.9682
System.Immune System.Myeloid.KUPFFER CELL,0.27805,1.81287,8.43605,12.6499,14.2457
System.Nervous System.CNS.SPINAL CORD,5.57804,7.23044,8.41459,9.28358,10.2972
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,3.22943,8.35972,11.7284,13.0873
System.Connective Tissue.Adipose tissue.ADIPOSE,5.01546,7.13892,8.24342,9.41021,12.677
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,5.78326,7.85883,9.00979,11.4164
