id,min,q1,median,q3,max
System.Cardiovascular System.Heart.VALVE,2.16272,4.16124,9.3242,10.1038,12.0184
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,3.8011,6.1432,8.52956,9.43156,10.4734
System.Connective Tissue.Adipose tissue.ADIPOSE,3.28517,5.12981,8.48608,10.296,11.1816
System.Nervous System.PNS.SENSORY NEURON,0.113644,5.50989,8.27953,8.91545,9.69833
System.Integumentary System.Skin.MELANOCYTE,2.18544,6.66152,8.21526,9.0999,10.7898
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,2.88741,7.96493,11.1656,13.0174
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,3.60651,7.57242,9.09554,11.0339
System.Nervous System.CNS.SPINAL CORD,3.81654,5.72615,7.34266,8.99893,10.8013
System.Cardiovascular System.Heart.VENTRICLE,4.59911,6.17424,7.31657,8.46882,10.1041
System.Cardiovascular System.Heart.HEART,0.113644,4.67269,7.31657,9.04961,10.2809
System.Nervous System.CNS.HYPOTHALAMUS,5.27659,6.53965,7.20421,8.42438,10.9869
System.Nervous System.CNS.THALAMUS,3.28517,6.1604,6.95675,8.12196,10.4446
System.Cardiovascular System.Heart.ATRIUM,1.93532,4.31312,6.7824,8.42645,10.1368
System.Connective Tissue.Bone marrow.CHONDROCYTE,2.41968,4.3979,6.75903,12.0676,13.6489
System.Nervous System.CNS.MEDULLA,1.81287,4.59911,6.61407,8.00666,10.1417
System.Connective Tissue.Adipose tissue.ADIPOCYTE,2.77595,4.77752,6.36501,8.51653,10.963
System.Nervous System.CNS.CEREBRAL CORTEX,4.4749,5.79428,6.32563,7.31481,8.3085
System.Connective Tissue.Bone.OSTEOBLAST,3.56825,5.28658,6.02565,6.9754,8.60981
System.Digestive System.Liver.LIVER,0.113644,2.41968,6.01703,8.6112,10.9758
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,2.65671,5.99799,8.84511,11.2146
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,3.76961,5.5514,7.0136,9.93954
System.Digestive System.Liver.HEPATIC STELLATE CELL,2.92457,4.56034,5.47412,6.38743,9.98842
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,3.64478,5.45333,7.26685,9.01119
System.Muscular System.Smooth muscle.MYOFIBROBLAST,2.16272,4.28038,5.30108,6.37398,10.0084
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,2.97721,4.21911,5.28658,6.31418,7.69924
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,2.41968,4.97646,9.71272,12.4861
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,2.16272,4.94657,7.7649,11.0621
System.Integumentary System.Skin.FIBROBLAST,0.113644,2.16272,4.89983,7.13293,9.87797
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,4.87314,7.30373,9.96623
System.Integumentary System.Skin.SKIN,0.113644,2.41968,4.77752,6.8903,9.49231
System.Immune System.Myeloid.KUPFFER CELL,2.44927,2.92457,4.71323,6.19397,7.75979
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,2.77595,4.67269,6.23428,9.5203
System.Nervous System.CNS.MIDBRAIN,0.113644,1.20968,4.33251,5.93154,10.8555
System.Nervous System.CNS.NEURON,0.113644,1.81287,4.16691,6.42264,9.30467
System.Immune System.Thymus.THYMOCYTE,0.113644,2.92457,4.11061,5.72615,7.59977
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,2.02525,3.47905,3.94986,5.0776,7.75384
System.Nervous System.CNS.CEREBELLUM,1.20968,3.1737,3.83218,5.06359,7.56121
System.Nervous System.CNS.ASTROCYTE,0.113644,1.81287,3.70787,5.65482,8.01669
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,3.64478,4.74622,8.4097
System.Digestive System.Liver.HEPATOCYTE,0.113644,1.81287,3.56825,5.70924,8.88813
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,3.48123,9.89666,12.1087
System.Digestive System.Intestine.COLON MUCOSA,0.113644,1.81287,3.47971,6.37062,8.06421
