id,min,q1,median,q3,max
System.Immune System.Myeloid.MICROGLIA,0.113644,5.72615,12.4071,13.7839,14.736
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,5.4302,11.4421,12.6831,13.9641
System.Immune System.Myeloid.MACROPHAGE,0.113644,7.90918,11.3703,13.0785,14.1286
System.Cardiovascular System.Heart.VALVE,0.113644,0.113644,11.3042,12.831,13.4478
System.Nervous System.CNS.SPINAL CORD,0.113644,9.48833,10.8588,11.7197,12.6587
System.Digestive System.Liver.LIVER,0.113644,1.81287,9.04527,10.7948,11.9235
System.Cardiovascular System.Heart.ATRIUM,1.93532,7.29695,8.97248,9.90533,10.5964
System.Cardiovascular System.Heart.VENTRICLE,3.72948,7.56599,8.56004,9.37177,10.8862
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,0.113644,7.90088,9.22955,10.8181
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,4.77549,7.22146,8.52946,9.65624
System.Nervous System.CNS.HYPOTHALAMUS,0.113644,0.113644,6.70196,10.2371,11.5554
System.Nervous System.CNS.THALAMUS,0.113644,0.113644,6.70196,9.83098,11.7385
System.Immune System.Myeloid.KUPFFER CELL,0.113644,4.17817,6.40562,8.56105,9.01004
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,0.113644,5.81111,6.90433,9.32433
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,2.77595,4.51527,9.07983,11.0213
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,4.51527,9.81609,11.9988
System.Nervous System.CNS.CEREBELLUM,0.113644,2.61696,4.26947,6.00751,8.10288
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,2.92457,6.11296,10.1485
System.Nervous System.CNS.PONS,0.113644,0.113644,2.77595,6.80572,10.9287
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,2.77595,6.76675,11.0778
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,2.77595,4.71196,8.64944
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,2.41968,6.25492,8.28486
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.935672,1.9878,4.61464,5.97514
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,1.20968,4.72847,8.83261
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,1.20968,7.46426
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,0.113644,0.113644,5.49675
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,0.113644,5.12981,9.85386
System.Digestive System.Intestine.COLON,0.113644,0.113644,0.113644,9.62492,11.9357
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,1.21814
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,0.113644,11.1895
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,0.113644,1.81287,6.67114
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,2.41968
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,1.81287,9.30448
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,0.113644,2.4627
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,4.3519,11.4707
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,2.16272
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,1.20968,9.44611
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,1.20968
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,0.113644,5.4903
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,0.113644,2.16272
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,0.113644,0.113644,3.86758
System.Nervous System.CNS.NEURON,0.113644,0.113644,0.113644,0.113644,1.20968
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.113644,0.113644,5.99829
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,0.113644,2.77595,7.62426
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,0.113644,0.113644,3.1737
System.Integumentary System.Skin.SKIN,0.113644,0.113644,0.113644,7.12306,10.4326
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,0.113644,0.113644,0.113644
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,0.113644,0.113644,6.26032
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,0.113644,0.113644,0.826068
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,0.113644,9.39711
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,0.113644,7.82799
