id,min,q1,median,q3,max
System.Cardiovascular System.Heart.VALVE,7.92955,9.3306,12.3053,12.5703,12.9992
System.Cardiovascular System.Heart.ATRIUM,7.19024,9.36485,11.3073,12.2656,12.9334
System.Cardiovascular System.Heart.VENTRICLE,8.03534,9.33092,10.2136,10.8511,12.4655
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.5796,8.53362,9.67269,10.6776,11.8702
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.28517,5.28658,9.59657,11.3311,12.1817
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.13632,8.08543,9.05898,9.9708,11.9307
System.Connective Tissue.Adipose tissue.ADIPOSE,5.60874,7.93181,8.9349,10.6835,11.8693
System.Muscular System.Smooth muscle.MYOFIBROBLAST,6.65716,7.57655,8.92255,9.59841,11.4984
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,6.25331,7.72192,8.72108,9.36288,10.2778
System.Urogenital/Reproductive System.Ovary.GRANULOSA,4.14158,7.00119,8.69754,10.0328,11.9773
System.Digestive System.Liver.LIVER,1.20968,4.31312,8.24738,9.56937,10.7724
System.Integumentary System.Skin.MELANOCYTE,2.92457,6.19423,7.9619,9.01678,11.5324
System.Urogenital/Reproductive System.Kidney.PODOCYTE,2.87408,6.99259,7.82186,9.19156,11.0942
System.Connective Tissue.Bone marrow.CHONDROCYTE,2.98685,6.46243,7.72192,8.72341,11.6209
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,6.24863,7.57981,8.52925,10.0815
System.Integumentary System.Skin.KERATINOCYTE,3.26287,5.70924,7.46426,8.61253,9.80641
System.Urogenital/Reproductive System.Ovary.OOCYTE,1.10008,5.86439,7.45868,8.97644,11.752
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,4.77752,7.31132,9.1299,10.8275
System.Integumentary System.Skin.SKIN,0.113644,4.99416,7.29945,9.02325,10.6934
System.Connective Tissue.Bone.STROMAL CELL,0.113644,5.16318,7.13593,8.76016,10.8697
System.Nervous System.CNS.HYPOTHALAMUS,3.30636,4.05534,7.03085,7.90088,9.74624
System.Integumentary System.Skin.FIBROBLAST,0.113644,4.16691,6.90917,8.62962,10.6554
System.Nervous System.CNS.THALAMUS,0.88087,3.92507,6.87137,7.88207,9.74063
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,3.1737,6.10611,6.85776,8.22648,9.50192
System.Integumentary System.Skin.HAIR FOLLICLE,2.74786,5.19546,6.60267,7.604,8.54733
System.Connective Tissue.Bone.OSTEOBLAST,4.63723,5.70924,6.60143,8.92795,10.9983
System.Immune System.Myeloid.KUPFFER CELL,2.20127,3.14432,6.5441,11.9479,12.3081
System.Cardiovascular System.Heart.HEART,0.113644,4.00388,6.41035,9.55219,12.2068
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,4.7251,6.14657,6.94077,9.72198
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,3.14432,3.87992,6.11439,7.26783,8.19918
System.Digestive System.Intestine.COLON MUCOSA,1.81287,3.22792,6.04982,7.49524,8.7433
System.Respiratory System.Lung.LUNG,0.113644,2.77595,6.03426,7.89585,9.88229
System.Digestive System.Intestine.COLON,0.113644,4.3519,6.01703,7.23213,8.90912
System.Nervous System.CNS.MEDULLA,2.41968,4.33154,5.80482,6.89349,8.63045
System.Nervous System.CNS.SPINAL CORD,2.92457,4.43111,5.67402,6.9657,8.03814
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,5.59303,6.87161,8.80914
System.Nervous System.PNS.SENSORY NEURON,2.69645,5.07618,5.51459,6.34371,7.56194
System.Digestive System.Liver.HEPATOCYTE,2.16272,4.05534,5.38652,7.31657,9.58848
System.Nervous System.CNS.ASTROCYTE,1.81287,3.05618,5.15699,7.0628,9.06713
System.Respiratory System.Trachea.TRACHEA,1.81287,2.77595,5.07842,6.77744,9.60228
System.Integumentary System.Skin.BASAL CELL,2.77595,3.83218,5.00836,7.66968,9.91573
System.Nervous System.CNS.CEREBELLUM,3.76961,4.38682,4.96278,6.00751,9.4316
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.387653,3.56825,4.84279,6.18762,8.75258
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,3.75808,4.29158,4.47438,4.88072,5.4818
System.Immune System.Thymus.THYMOCYTE,0.70215,3.56825,4.16691,5.07842,6.24042
