id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,11.5827,14.0818,14.5779,14.8264,15.0775
System.Cardiovascular System.Heart.VALVE,4.10232,7.51609,13.8967,14.3189,14.8312
System.Immune System.Myeloid.KUPFFER CELL,12.5029,12.8613,13.7352,13.9581,14.0499
System.Digestive System.Liver.LIVER,4.11061,9.12689,13.6565,14.1602,14.4187
System.Muscular System.Smooth muscle.MYOFIBROBLAST,9.42121,12.0306,12.7591,13.4597,14.4335
System.Connective Tissue.Adipose tissue.ADIPOSE,9.30242,11.7982,12.5947,13.0858,13.6978
System.Connective Tissue.Bone marrow.CHONDROCYTE,6.11371,10.6377,12.3977,13.2825,14.4506
System.Digestive System.Liver.HEPATIC STELLATE CELL,10.1469,11.2904,12.1431,13.0496,14.3304
System.Digestive System.Liver.HEPATOCYTE,6.96196,10.1517,12.1406,13.7084,14.3579
System.Connective Tissue.Adipose tissue.ADIPOCYTE,7.30009,10.5612,11.8448,12.8852,13.9759
System.Cardiovascular System.Heart.ATRIUM,8.10682,10.5964,11.8057,12.396,13.1342
System.Cardiovascular System.Heart.VENTRICLE,9.36765,10.7872,11.3512,11.884,13.1515
System.Cardiovascular System.Heart.HEART,4.16691,8.27579,11.233,11.9656,12.9776
System.Connective Tissue.Bone.OSTEOBLAST,5.3887,8.66274,10.9725,12.5337,14.2816
System.Integumentary System.Skin.SKIN,4.59911,8.15372,10.8284,12.4857,13.719
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,4.36032,7.03085,10.7651,12.6871,13.9953
System.Connective Tissue.Bone.STROMAL CELL,0.113644,8.38195,10.5448,11.8882,13.473
System.Integumentary System.Skin.FIBROBLAST,3.76961,8.13855,10.5308,12.2368,13.911
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,8.70161,10.2819,11.555,13.045
System.Digestive System.Intestine.SMALL INTESTINE,4.34802,7.41458,10.1594,11.5114,13.0579
System.Digestive System.Esophagus.ESOPHAGUS,5.21576,8.3912,10.1192,11.2675,13.2611
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.16467,9.17379,10.0405,11.2382,12.2779
System.Urogenital/Reproductive System.Ovary.OVARY,2.41968,6.65889,9.96153,11.8256,13.3351
System.Nervous System.CNS.SPINAL CORD,4.21911,8.75846,9.77522,10.4062,11.265
System.Integumentary System.Skin.HAIR FOLLICLE,6.48971,7.96309,9.29243,11.5235,12.949
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,5.02256,8.53144,9.23137,10.1247,11.8184
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,6.13851,7.8301,8.85427,9.93412,11.6451
System.Urogenital/Reproductive System.Ovary.GRANULOSA,1.04822,4.20606,8.73776,10.664,12.7636
System.Nervous System.CNS.HYPOTHALAMUS,6.25802,7.27416,8.62905,9.92517,11.1074
System.Respiratory System.Lung.LUNG,1.20968,6.09783,8.25328,10.7132,13.0213
System.Respiratory System.Trachea.TRACHEA,4.49844,6.11658,8.21748,10.186,12.7672
System.Nervous System.CNS.MEDULLA,3.97956,6.56459,7.96649,9.63238,11.9792
System.Urogenital/Reproductive System.Kidney.PODOCYTE,4.8531,6.59003,7.82526,8.9811,10.2766
System.Nervous System.CNS.THALAMUS,5.60502,6.72501,7.67462,9.16869,10.8662
System.Nervous System.Eye.RETINA,0.113644,6.37909,7.66095,9.19756,13.5151
System.Nervous System.CNS.ASTROCYTE,3.70787,5.63312,7.58896,9.10398,11.4855
System.Integumentary System.Skin.MELANOCYTE,4.48243,6.57131,7.15725,8.32767,11.6893
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,4.77752,7.1528,9.14044,11.8571
System.Immune System.Granulocytic.GRANULOCYTE,4.66901,6.04182,7.11459,8.00291,8.48192
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,6.95675,8.69555,11.0799
System.Digestive System.Intestine.COLON,3.1737,5.12981,6.88558,10.8568,12.9051
System.Digestive System.Intestine.COLON MUCOSA,3.36466,4.96936,6.77152,11.3163,13.9767
System.Integumentary System.Skin.KERATINOCYTE,4.59911,5.90239,6.68963,8.60695,11.9399
System.Urogenital/Reproductive System.Kidney.KIDNEY,4.16691,5.23546,6.49365,8.9635,11.8111
System.Integumentary System.Skin.BASAL CELL,4.13032,5.3649,6.3224,9.99446,13.1159
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,5.50112,5.7783,6.27298,6.61377,6.62962
System.Nervous System.CNS.PONS,0.113644,4.77752,6.14657,8.88232,12.2238
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,6.06605,8.02123,9.81792
System.Immune System.Myeloid.MICROGLIA,3.28517,4.84279,6.05806,7.5149,9.07614
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,5.99799,8.08164,10.8055
System.Immune System.Granulocytic.NEUTROPHIL,4.26947,5.18213,5.84343,7.10509,8.30731
System.Nervous System.CNS.CEREBRAL CORTEX,3.03421,4.97058,5.83986,6.9045,8.4673
System.Immune System.Myeloid.MACROPHAGE,2.41968,4.21911,5.79561,7.35721,9.81318
System.Nervous System.CNS.CEREBELLUM,3.90168,4.96278,5.76006,6.73635,8.84763
System.Immune System.Spleen.SPLEEN,0.113644,4.3519,5.59303,6.51705,10.6119
System.Urogenital/Reproductive System.Breast.BREAST,1.20968,4.05534,5.57065,7.92145,12.0506
System.Immune System.Lymphoid.TLYMPHOCYTE,3.56825,4.63537,5.49388,6.21406,7.20434
System.Immune System.Lymphoid.BLYMPHOCYTE,2.41968,4.17996,5.484,6.31089,7.03049
System.Nervous System.CNS.MIDBRAIN,0.113644,3.05618,5.45333,8.70894,13.2277
System.Nervous System.CNS.OLIGODENDROCYTE,3.56825,4.45275,5.4302,6.97799,9.03342
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,3.05618,3.89584,5.25971,7.39499,11.5214
System.Immune System.Thymus.THYMOCYTE,3.42658,4.47438,5.07842,6.06605,7.64678
System.Immune System.Thymus.THYMUS,2.90228,4.28038,5.00836,6.19173,10.2701
System.Nervous System.CNS.NEURON,0.113644,3.56825,4.93037,6.65623,9.55031
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,3.05618,4.87314,9.38869,12.0732
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,4.77752,7.07337,8.45796
System.Nervous System.PNS.MOTOR NEURON,0.113644,3.56825,4.59911,6.37631,9.0182
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,1.96457,3.60316,4.53781,6.51689,7.79136
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,3.56825,4.43111,5.56102,7.55437
System.Digestive System.Pancreas.BETA CELL,0.113644,3.56825,4.40897,6.24021,8.28958
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,2.61696,3.39116,3.89584,4.61661,8.09461
System.Nervous System.PNS.SENSORY NEURON,2.41968,2.92457,3.39116,4.26947,6.1656
