id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,12.1968,14.3002,14.736,15.0775,15.611
System.Immune System.Myeloid.KUPFFER CELL,13.1543,13.516,14.388,14.5054,14.9188
System.Digestive System.Liver.LIVER,4.59911,9.70715,14.0973,14.5054,15.3615
System.Cardiovascular System.Heart.VALVE,5.51148,7.31476,13.308,13.8038,14.6317
System.Digestive System.Liver.HEPATOCYTE,7.58164,10.7099,13.0961,14.2636,14.8584
System.Connective Tissue.Bone marrow.CHONDROCYTE,5.02911,11.2802,12.5203,13.0199,13.8068
System.Digestive System.Liver.HEPATIC STELLATE CELL,8.80132,11.348,12.1406,13.0213,14.39
System.Connective Tissue.Adipose tissue.ADIPOCYTE,7.60431,11.0188,12.0728,13.0496,13.8608
System.Muscular System.Smooth muscle.MYOFIBROBLAST,10.3904,11.281,12.0324,13.2683,14.9035
System.Connective Tissue.Adipose tissue.ADIPOSE,9.82698,11.0518,11.7257,12.9203,13.677
System.Cardiovascular System.Heart.VENTRICLE,9.53091,10.8614,11.3833,11.8171,12.9437
System.Cardiovascular System.Heart.ATRIUM,8.36915,9.8378,11.1624,12.0719,12.798
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,7.54966,9.56017,11.1414,12.9405,14.4744
System.Connective Tissue.Bone.STROMAL CELL,5.52359,9.28508,11.1395,12.2867,13.4843
System.Integumentary System.Skin.SKIN,4.47438,8.29163,10.9328,12.5029,13.6565
System.Connective Tissue.Bone.OSTEOBLAST,5.21682,9.04093,10.9124,12.2873,14.3569
System.Integumentary System.Skin.FIBROBLAST,4.71212,8.18352,10.8062,12.4102,13.8779
System.Nervous System.CNS.SPINAL CORD,5.3649,9.53175,10.5097,11.0634,11.9407
System.Digestive System.Intestine.SMALL INTESTINE,3.88947,7.69825,10.2979,11.8674,13.232
System.Cardiovascular System.Heart.HEART,4.30439,8.29646,10.1686,11.0634,12.7769
System.Digestive System.Esophagus.ESOPHAGUS,5.1595,7.66227,10.1576,11.6331,13.5576
System.Urogenital/Reproductive System.Ovary.OVARY,4.11061,7.06978,9.79464,11.6348,13.3351
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,5.37177,9.24262,9.75925,10.2142,12.3104
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.08012,8.87022,9.58305,10.4868,11.7525
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,6.28751,7.85294,9.33881,10.4064,11.7423
System.Integumentary System.Skin.HAIR FOLLICLE,7.09644,8.26537,9.24072,11.0157,12.1807
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,7.87166,9.13927,10.1845,11.8564
System.Urogenital/Reproductive System.Ovary.GRANULOSA,4.03218,7.52293,9.11938,11.0361,12.7305
System.Respiratory System.Lung.LUNG,3.48123,6.16133,8.68093,10.9374,13.2031
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,6.57131,8.27173,9.47929,12.1894
