id,min,q1,median,q3,max
System.Immune System.Myeloid.MACROPHAGE,0.113644,2.16272,6.95675,9.27156,11.9348
System.Immune System.Myeloid.KUPFFER CELL,3.0738,4.51527,5.15711,6.07493,8.82841
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,2.84601,4.83868,7.73863,8.71471
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,3.05618,4.31312,5.31558,8.66187
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,3.89584,7.12986,12.1178
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,2.41968,3.64478,4.43111,6.41277
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,1.20968,2.41968,3.64478,7.65838
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,2.41968,4.3449,9.17491
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,0.113644,2.16272,3.76961,7.3097
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,0.113644,1.20968,2.77595,5.36904
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,1.20968,3.56825,7.84827
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,1.20968
System.Digestive System.Intestine.COLON,0.113644,0.113644,0.113644,1.20968,3.48123
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,0.113644,0.113644,1.81287
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,0.113644,2.61696,5.61602
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,4.05534
System.Digestive System.Liver.LIVER,0.113644,0.113644,0.113644,0.113644,3.1737
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,0.113644,1.20968,4.11061
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,0.113644,0.113644,0.113644,1.20968
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,6.20196
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,0.113644,1.23984
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,0.113644,1.20968,5.6939
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,0.113644,4.02447
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,0.113644,1.81287
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,0.113644,1.20968
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,0.113644,0.113644,3.41261
