id,min,q1,median,q3,max
System.Integumentary System.Skin.MELANOCYTE,10.5253,13.6098,14.4612,14.766,15.308
System.Muscular System.Skeletal muscle.MYOBLAST,12.0448,13.2199,13.7839,14.1936,14.895
System.Immune System.Myeloid.MACROPHAGE,11.251,12.7814,13.6165,14.0818,14.5779
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,13.0148,13.3446,13.5785,13.8067,14.0642
System.Digestive System.Pancreas.PANCREATIC ISLET,11.0427,12.6628,13.4388,14.0818,14.8584
System.Connective Tissue.Adipose tissue.ADIPOSE,11.0318,12.7535,13.3752,15.4168,15.8438
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,12.031,12.9304,13.2369,13.5785,14.0088
System.Integumentary System.Skin.FIBROBLAST,10.5664,12.4589,13.2031,13.677,14.4325
System.Digestive System.Liver.HEPATIC STELLATE CELL,12.6791,12.8902,13.1706,13.5598,13.9759
System.Connective Tissue.Adipose tissue.ADIPOCYTE,11.82,12.6709,13.1515,13.4987,14.0088
System.Connective Tissue.Bone.STROMAL CELL,11.4275,12.502,13.1204,13.588,14.4623
System.Cardiovascular System.Heart.VALVE,11.5182,12.2304,13.0582,13.3226,13.5909
System.Connective Tissue.Bone.OSTEOBLAST,12.2277,12.7034,13.0553,13.5139,13.9407
System.Connective Tissue.Bone marrow.CHONDROCYTE,11.0688,12.6507,12.9992,13.3373,13.7594
System.Muscular System.Smooth muscle.MYOFIBROBLAST,11.1166,11.853,12.983,13.6118,14.0625
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,11.7524,12.4332,12.9664,13.3503,13.4527
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,11.2288,11.4421,12.9005,13.5139,13.7513
System.Urogenital/Reproductive System.Ovary.GRANULOSA,3.21172,7.43425,12.8393,13.588,14.0957
System.Digestive System.Liver.HEPATOCYTE,11.4738,12.1812,12.7414,13.19,13.7817
System.Immune System.Myeloid.DENDRITIC CELL,9.73358,11.356,12.7117,13.19,13.9507
System.Respiratory System.Trachea.TRACHEA,10.5515,12.1331,12.6668,13.2031,13.8205
System.Cardiovascular System.Heart.ATRIUM,9.06572,11.5073,12.6378,13.2267,13.5905
System.Cardiovascular System.Heart.HEART,10.2243,11.9183,12.6194,12.9668,13.4259
System.Immune System.Myeloid.KUPFFER CELL,12.3531,12.4589,12.568,13.2928,13.5585
System.Immune System.Myeloid.MICROGLIA,9.80477,11.8389,12.5307,12.9992,14.2278
System.Integumentary System.Skin.SKIN,9.83017,11.4654,12.4456,13.3299,14.1126
System.Digestive System.Intestine.COLON MUCOSA,11.1744,11.8558,12.4375,13.3244,13.9448
System.Digestive System.Pancreas.ALPHA CELL,10.948,11.8411,12.3696,13.464,14.3778
System.Urogenital/Reproductive System.Kidney.PODOCYTE,10.5708,11.9153,12.3696,12.7278,13.3271
System.Respiratory System.Lung.LUNG,10.0971,11.5401,12.3125,13.0961,14.0232
System.Nervous System.CNS.THALAMUS,9.06809,11.2987,12.3039,12.5689,13.0919
System.Nervous System.CNS.HYPOTHALAMUS,9.84102,11.2904,12.2754,12.5413,12.9321
System.Cardiovascular System.Heart.VENTRICLE,11.2902,11.9147,12.2382,12.7381,13.2527
System.Digestive System.Intestine.SMALL INTESTINE,10.6078,11.9235,12.2286,12.6003,13.4383
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,10.7455,11.8916,12.1981,12.4713,12.887
System.Digestive System.Intestine.COLON,9.99092,11.3149,12.1722,12.9355,13.8295
System.Urogenital/Reproductive System.Breast.BREAST,10.0663,11.4278,12.1074,12.7546,14.0818
System.Nervous System.CNS.ASTROCYTE,3.48123,10.3468,11.9785,12.7414,13.6165
System.Digestive System.Esophagus.ESOPHAGUS,10.1369,11.4581,11.9361,12.4071,13.3093
System.Urogenital/Reproductive System.Ovary.OVARY,5.28754,10.4616,11.9194,12.9355,13.846
System.Integumentary System.Skin.BASAL CELL,10.4416,11.254,11.8867,12.4039,15.0775
System.Digestive System.Pancreas.BETA CELL,8.49428,11.1425,11.8787,12.7943,14.1348
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,10.3804,11.3032,11.8713,12.4521,12.9663
System.Digestive System.Liver.LIVER,1.20968,11.2226,11.8653,12.4925,13.4226
System.Nervous System.CNS.MEDULLA,9.79309,10.9456,11.823,12.5186,13.1646
System.Immune System.Lymphoid.PLASMA CELL,9.89736,11.0432,11.7301,12.5449,13.4396
System.Integumentary System.Skin.KERATINOCYTE,10.3966,11.2423,11.6537,11.9871,12.7117
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,10.1591,11.2194,11.5687,12.2981,13.999
System.Nervous System.Eye.RETINA,9.71906,10.9477,11.529,12.737,13.7839
System.Integumentary System.Skin.HAIR FOLLICLE,8.60322,9.80822,11.5173,13.0668,13.3226
System.Immune System.Granulocytic.GRANULOCYTE,9.51053,10.507,11.5059,12.1168,13.7359
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,10.4744,11.1858,11.4837,11.8437,12.1507
System.Urogenital/Reproductive System.Kidney.KIDNEY,8.67804,10.5849,11.4411,12.3324,13.6337
System.Nervous System.PNS.SENSORY NEURON,10.5203,11.047,11.4251,11.791,12.2172
System.Nervous System.CNS.MIDBRAIN,9.99381,10.4037,11.4073,13.1189,14.2648
System.Nervous System.PNS.MOTOR NEURON,9.42727,10.4245,11.3254,11.9381,12.9711
System.Nervous System.CNS.PONS,7.79648,10.2707,11.3002,12.2259,13.4034
