id,min,q1,median,q3,max
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,1.20968,6.56004,8.67657,10.6857
System.Cardiovascular System.Heart.VALVE,2.16272,4.11061,5.38651,6.47324,7.65748
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,2.41968,5.28658,6.75783,8.76316
System.Nervous System.CNS.SPINAL CORD,0.113644,3.1737,4.77752,6.58321,8.27131
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,1.20968,3.28517,4.3519,5.28658,6.1252
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,2.77595,4.21911,5.78326,8.38684
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,2.92457,4.05534,5.18213,7.01059
System.Muscular System.Smooth muscle.MYOFIBROBLAST,1.20968,3.33418,4.05534,5.03378,6.57547
System.Nervous System.CNS.HYPOTHALAMUS,2.25357,3.05618,3.76961,4.47438,7.29757
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,2.16272,3.70787,5.20789,6.80524
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,0.113644,3.64478,4.85797,7.68538
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,3.56825,7.54934,9.93989
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,0.113644,3.39116,4.71212,6.1252
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,3.1737,5.95167,8.79308
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,3.11494,4.83453,9.34391
System.Nervous System.CNS.THALAMUS,0.113644,2.2912,3.05618,4.11061,6.74306
System.Cardiovascular System.Heart.VENTRICLE,0.113644,2.16272,3.05618,4.16691,6.35023
System.Integumentary System.Skin.SKIN,0.113644,0.113644,2.92457,5.20789,8.08006
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,2.92457,5.59826,8.66182
System.Digestive System.Intestine.COLON MUCOSA,0.113644,1.20968,2.85026,4.72064,6.76141
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,2.77595,5.99799,9.26347
System.Nervous System.PNS.SENSORY NEURON,0.113644,1.20968,2.77595,4.59398,5.46204
System.Immune System.Myeloid.KUPFFER CELL,0.113644,1.81287,2.51832,3.05618,3.67388
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,2.41968,4.46357,10.891
