id,min,q1,median,q3,max
System.Nervous System.PNS.SENSORY NEURON,7.79493,9.75275,10.0954,10.4781,10.7381
System.Nervous System.CNS.MIDBRAIN,0.113644,7.71698,9.6345,10.0003,11.7523
System.Cardiovascular System.Heart.VALVE,8.53037,9.13216,9.48728,9.82357,10.2223
System.Connective Tissue.Bone marrow.CHONDROCYTE,8.10325,8.64265,9.25345,9.66125,10.0459
System.Nervous System.CNS.CEREBELLUM,8.17653,8.98432,9.24017,9.42566,10.498
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,5.849,8.96603,10.4217,11.9659
System.Nervous System.CNS.HYPOTHALAMUS,7.17352,8.03109,8.94437,9.65486,10.619
System.Nervous System.CNS.THALAMUS,7.23642,7.75523,8.8032,9.60456,10.6115
System.Connective Tissue.Bone.OSTEOBLAST,7.30982,8.24868,8.78839,9.12813,9.61045
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.80262,8.38694,8.78718,9.94406,10.2645
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.25623,8.50053,8.7545,8.97262,9.21989
System.Nervous System.Eye.RETINA,0.113644,6.65889,8.65534,10.2095,10.6198
System.Connective Tissue.Bone.STROMAL CELL,0.113644,7.65106,8.57321,9.15186,9.93694
System.Integumentary System.Skin.FIBROBLAST,0.113644,7.18101,8.51328,9.11166,10.0406
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.29374,7.98143,8.50395,8.79963,9.09074
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,8.30694,9.35542,10.383
System.Nervous System.CNS.NEURON,0.113644,6.88087,8.29015,9.27797,10.5641
System.Connective Tissue.Adipose tissue.ADIPOSE,5.25971,7.17515,8.22586,8.99406,9.73751
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.874,7.33029,8.21748,8.70389,9.44981
System.Integumentary System.Skin.MELANOCYTE,4.90298,7.78191,8.1891,8.6793,9.32594
System.Nervous System.CNS.CEREBRAL CORTEX,6.92139,7.53914,8.09102,8.48429,10.8286
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,5.95127,8.0026,10.3487,12.217
System.Nervous System.CNS.SPINAL CORD,7.07696,7.67462,7.99248,8.29173,8.99811
System.Cardiovascular System.Heart.HEART,0.113644,6.45202,7.9722,8.81909,9.47111
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,6.1013,7.00978,7.95551,8.72108,9.29973
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,6.1222,7.90918,8.72803,10.4142
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,3.52211,7.70311,8.42706,9.33541
System.Nervous System.CNS.ASTROCYTE,1.20968,6.21406,7.32318,8.11086,9.67781
System.Nervous System.CNS.OLIGODENDROCYTE,5.34024,6.42922,7.26685,8.11891,9.01802
System.Cardiovascular System.Heart.VENTRICLE,6.20993,6.88087,7.2636,7.73975,8.77856
System.Immune System.Myeloid.MICROGLIA,0.113644,6.23428,7.17515,8.42119,9.81168
System.Integumentary System.Skin.SKIN,0.113644,4.84279,7.00978,8.8275,9.81883
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,6.61965,7.00978,7.66383,9.24155
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,6.9462,8.24394,9.89197
System.Immune System.Myeloid.MACROPHAGE,0.113644,4.56034,6.93534,8.31686,9.43038
System.Cardiovascular System.Heart.ATRIUM,3.68847,5.33601,6.74922,7.41087,8.26243
System.Urogenital/Reproductive System.Kidney.PODOCYTE,3.1737,5.27552,6.67736,7.7248,8.41311
System.Digestive System.Pancreas.BETA CELL,0.113644,3.39116,6.33632,8.12908,10.025
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,4.38682,6.09783,6.86236,8.42795
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,2.61696,6.01703,8.66864,11.0009
System.Immune System.Myeloid.KUPFFER CELL,2.16272,3.07426,5.95125,8.31111,8.50473
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,2.61696,5.25971,6.66685,8.30076
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.9878,5.23546,6.24886,8.54329
System.Digestive System.Liver.LIVER,0.113644,2.16272,5.15699,6.11658,8.35051
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,3.14432,3.89584,4.82627,6.00831,7.21631
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,4.49014,9.15064,9.52061
System.Digestive System.Intestine.COLON MUCOSA,0.113644,2.79834,4.45612,8.06364,9.0301
System.Respiratory System.Lung.LUNG,0.113644,0.113644,4.21911,7.23871,8.89763
System.Nervous System.CNS.MEDULLA,0.113644,2.41968,4.13876,5.53702,7.09037
System.Digestive System.Intestine.COLON,0.113644,0.113644,3.83218,5.90239,9.15018
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,2.61696,3.83218,5.02256,7.89068
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,1.81287,3.1737,5.27868,10.7063
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,2.92457,6.81872,8.72673
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,2.77595,7.90918,10.9787
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,2.61696,4.31312,6.98731
System.Integumentary System.Skin.BASAL CELL,0.113644,1.20968,2.61696,4.01675,7.52775
System.Nervous System.CNS.PONS,0.113644,0.113644,2.41968,4.89983,8.92739
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,1.81287,2.41968,3.28517,4.51527
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,1.20968,2.41968,3.14432,4.93037
System.Immune System.Thymus.THYMUS,0.113644,0.113644,1.81287,3.28517,6.26472
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,1.81287,3.56825,6.81484
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,1.20968,5.80574,8.47779
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,1.20968,2.61696,6.71195
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,0.113644,7.09351,9.08244
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,3.56825
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,2.16272,5.9807
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,3.05618,6.63183
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,7.82526,10.5326
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,1.20968,4.16415
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,2.61696,7.31889
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,1.90033,6.3869
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,0.113644,3.28517,8.03433
