id,min,q1,median,q3,max
System.Cardiovascular System.Heart.VALVE,3.39116,6.87546,9.93873,10.5669,10.9787
System.Connective Tissue.Bone marrow.CHONDROCYTE,4.9898,8.9923,9.78743,10.7091,12.6955
System.Integumentary System.Skin.HAIR FOLLICLE,2.30257,7.23918,9.383,10.8314,12.6887
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,6.67889,7.67462,8.48608,9.03285,10.0697
System.Nervous System.CNS.SPINAL CORD,2.16272,6.97853,8.10195,8.74681,9.5095
System.Connective Tissue.Bone.OSTEOBLAST,4.0274,5.84343,8.0003,10.1957,11.514
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,3.05618,5.5514,7.73736,8.30256,8.76117
System.Immune System.Myeloid.MACROPHAGE,0.113644,5.3649,7.38969,9.18863,11.7998
System.Nervous System.CNS.CEREBELLUM,2.77595,6.24886,7.00978,7.57242,8.54533
System.Integumentary System.Skin.SKIN,0.113644,4.05534,6.93534,8.46109,10.1964
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,5.20789,6.74061,8.0758,9.35327
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.8201,5.90239,6.68963,7.57981,9.19659
System.Connective Tissue.Bone.STROMAL CELL,0.113644,3.5465,6.57844,8.8995,11.2516
System.Connective Tissue.Adipose tissue.ADIPOCYTE,2.8354,4.63537,6.54968,8.06575,11.1691
System.Connective Tissue.Adipose tissue.ADIPOSE,2.56764,5.31558,6.45202,7.53683,8.64386
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,3.05618,6.27464,7.83337,9.76619
System.Digestive System.Liver.HEPATIC STELLATE CELL,3.73257,5.34282,6.27464,7.70435,9.38231
System.Integumentary System.Skin.FIBROBLAST,0.113644,3.28517,5.96743,8.35972,10.3627
System.Immune System.Myeloid.MICROGLIA,0.113644,3.39116,5.91042,8.90747,10.7743
System.Muscular System.Smooth muscle.MYOFIBROBLAST,3.20502,5.24714,5.811,7.31093,9.22543
