id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,9.83656,10.2941,10.8533,11.1998,11.8903
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.91352,10.0057,10.6552,11.0251,11.7561
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,6.17792,10.6512,12.3301,14.1033
System.Immune System.Myeloid.MACROPHAGE,0.113644,8.16377,10.3423,11.7657,13.8301
System.Cardiovascular System.Heart.VALVE,8.87328,9.68669,10.2605,10.6353,10.894
System.Nervous System.CNS.SPINAL CORD,4.05534,9.57204,10.1061,10.4517,10.9467
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.46275,8.66501,9.99958,11.0931,12.2678
System.Connective Tissue.Adipose tissue.ADIPOCYTE,7.99121,9.08301,9.7965,10.5956,11.9639
System.Connective Tissue.Bone.OSTEOBLAST,7.4245,8.70142,9.67904,11.3239,12.6772
System.Urogenital/Reproductive System.Kidney.PODOCYTE,7.23919,8.80332,9.59322,10.4612,12.1112
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,6.8872,8.54244,9.41696,10.4599,11.7978
System.Connective Tissue.Bone marrow.CHONDROCYTE,6.00003,7.43237,9.32627,11.38,13.5556
System.Immune System.Myeloid.KUPFFER CELL,8.76637,8.91043,9.21043,10.0038,10.3077
System.Integumentary System.Skin.FIBROBLAST,0.113644,6.8453,9.06331,10.4343,11.8614
System.Connective Tissue.Adipose tissue.ADIPOSE,3.9543,5.45333,9.04138,10.1642,11.5774
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,7.41473,8.83547,10.0719,11.6713
System.Nervous System.CNS.ASTROCYTE,2.92457,7.42671,8.79224,9.7299,11.4912
System.Immune System.Granulocytic.GRANULOCYTE,3.16782,6.71716,8.72582,9.54245,10.3604
System.Nervous System.CNS.HYPOTHALAMUS,6.59261,7.27416,8.71085,9.61843,10.1617
System.Digestive System.Liver.HEPATOCYTE,6.16391,7.69953,8.69269,9.90455,11.3252
System.Immune System.Granulocytic.NEUTROPHIL,4.59523,7.45576,8.64078,10.0269,11.8242
System.Connective Tissue.Bone.STROMAL CELL,0.113644,6.65386,8.57341,9.95087,11.2532
System.Respiratory System.Lung.LUNG,0.113644,6.03426,8.3629,9.66947,11.3724
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,6.48543,7.92805,8.35092,9.03541,11.1878
System.Cardiovascular System.Heart.ATRIUM,3.92963,6.65505,8.32741,9.16385,9.7535
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,5.93591,7.0735,8.25696,9.27077,11.1411
System.Integumentary System.Skin.SKIN,0.113644,6.38743,8.22132,9.65078,11.665
System.Cardiovascular System.Heart.VENTRICLE,6.88417,7.72768,8.17413,8.67553,9.80229
System.Nervous System.CNS.THALAMUS,6.17061,7.06257,8.0758,9.58288,10.1181
System.Integumentary System.Skin.HAIR FOLLICLE,1.81287,4.92341,8.0262,10.7974,11.3162
System.Digestive System.Liver.LIVER,1.20968,6.83068,7.98584,8.78561,10.3708
System.Immune System.Spleen.SPLEEN,0.113644,5.02256,7.92253,9.7182,12.2726
System.Integumentary System.Skin.MELANOCYTE,4.93037,7.1955,7.90503,9.04195,11.0954
System.Immune System.Myeloid.MICROGLIA,0.113644,6.09783,7.82916,8.75978,10.6738
System.Nervous System.CNS.CEREBRAL CORTEX,2.40683,5.1962,7.81963,8.55779,10.3658
System.Cardiovascular System.Heart.HEART,2.09275,5.99799,7.69953,9.03811,10.5512
System.Nervous System.CNS.OLIGODENDROCYTE,5.72864,6.78149,7.65305,8.50244,9.83494
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,5.27594,6.60445,7.62683,8.87187,9.69794
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,5.3292,7.60901,8.49968,9.56789
System.Immune System.Lymphoid.TLYMPHOCYTE,3.34876,6.41035,7.59665,8.70389,11.018
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,6.72749,7.47443,8.33578,10.2582
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,4.87982,7.29984,9.33177,11.1201
System.Nervous System.CNS.MEDULLA,2.22696,4.6989,7.06177,9.75531,11.2494
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,4.71212,6.88558,9.78366,11.7693
System.Urogenital/Reproductive System.Kidney.KIDNEY,3.89584,5.84343,6.85317,8.24232,10.3594
System.Nervous System.CNS.PONS,0.113644,4.96278,6.83068,8.02123,10.271
System.Digestive System.Intestine.COLON,1.20968,5.23546,6.71195,8.70275,10.4199
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,1.9878,6.46517,8.06935,10.6005
System.Integumentary System.Skin.KERATINOCYTE,3.89584,5.28658,6.18762,7.43403,9.00395
System.Nervous System.CNS.CEREBELLUM,4.63537,5.47412,6.16133,7.0278,9.23958
System.Integumentary System.Skin.BASAL CELL,3.59504,5.33601,6.09783,7.46262,9.65791
System.Digestive System.Intestine.COLON MUCOSA,3.79218,5.04141,6.09336,8.81129,11.5388
System.Respiratory System.Trachea.TRACHEA,1.20968,4.3519,6.07935,7.84657,10.0292
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,2.77595,4.21911,5.7324,8.55547,11.7264
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,5.37571,8.45072,10.1524
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,1.20968,5.27315,7.50428,9.01214
System.Nervous System.CNS.NEURON,0.113644,2.41968,5.15699,7.16288,9.40484
