id,min,q1,median,q3,max
System.Immune System.Myeloid.MACROPHAGE,11.5535,13.6465,16.2471,17.1051,17.8606
System.Immune System.Myeloid.DENDRITIC CELL,11.0507,13.6925,15.5435,16.5074,18.6464
System.Integumentary System.Skin.MELANOCYTE,10.0154,13.4105,14.2458,14.4612,15.2504
System.Immune System.Myeloid.KUPFFER CELL,13.2107,13.3336,14.0809,14.5415,14.9873
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,13.1913,13.6666,13.8901,14.1286,14.5198
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,10.1088,12.7296,13.7084,14.1205,14.8264
System.Connective Tissue.Bone.OSTEOBLAST,11.9187,13.0368,13.6769,14.3579,15.6852
System.Immune System.Myeloid.MICROGLIA,10.6842,11.8282,13.6165,14.9982,16.4869
System.Digestive System.Liver.HEPATOCYTE,11.83,13.1578,13.588,14.0973,15.0695
System.Digestive System.Liver.HEPATIC STELLATE CELL,11.9934,13.3299,13.5598,13.9811,14.3579
System.Cardiovascular System.Heart.VALVE,12.5201,12.8622,13.4987,14.0632,14.654
System.Integumentary System.Skin.FIBROBLAST,9.40741,12.2497,13.4468,14.2458,15.0373
System.Respiratory System.Trachea.TRACHEA,11.4616,12.3153,13.3373,14.2458,15.611
System.Muscular System.Smooth muscle.MYOFIBROBLAST,12.3436,12.8477,13.2438,13.654,14.281
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,10.9617,11.8862,13.2437,13.719,14.2141
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,10.637,11.4365,13.2113,13.9413,14.2574
System.Digestive System.Liver.LIVER,1.20968,12.1876,13.2031,13.588,14.3002
System.Connective Tissue.Adipose tissue.ADIPOCYTE,11.172,12.1134,13.1266,13.8067,14.7082
System.Connective Tissue.Bone.STROMAL CELL,10.6007,12.0567,13.1021,13.8566,14.6819
System.Integumentary System.Skin.HAIR FOLLICLE,9.56363,10.7651,13.0617,13.9581,14.3849
System.Connective Tissue.Adipose tissue.ADIPOSE,11.1355,12.5731,13.0184,13.5512,14.654
System.Cardiovascular System.Heart.VENTRICLE,11.8951,12.6933,12.9937,13.3299,13.9367
System.Cardiovascular System.Heart.ATRIUM,10.8866,11.8879,12.9668,13.5716,13.8259
System.Integumentary System.Skin.SKIN,10.0784,12.0601,12.956,13.9547,14.8584
System.Nervous System.CNS.SPINAL CORD,10.1573,12.2511,12.9203,13.3637,13.9026
System.Connective Tissue.Bone marrow.CHONDROCYTE,10.4806,11.5111,12.8134,13.7327,14.8428
System.Muscular System.Skeletal muscle.MYOBLAST,9.84636,11.8459,12.6588,13.4065,14.2636
System.Integumentary System.Skin.BASAL CELL,11.1276,12.0906,12.6349,13.2097,14.0818
System.Integumentary System.Skin.KERATINOCYTE,10.5522,12.0636,12.5558,13.2369,14.4229
System.Nervous System.CNS.HYPOTHALAMUS,11.7179,12.0763,12.5273,12.72,13.254
System.Nervous System.CNS.THALAMUS,11.1234,11.9948,12.4655,12.7285,13.6837
System.Urogenital/Reproductive System.Kidney.PODOCYTE,10.8157,12.0068,12.4391,13.2599,13.6883
System.Digestive System.Intestine.COLON,9.37425,11.1507,12.4246,13.23,14.2816
System.Urogenital/Reproductive System.Ovary.GRANULOSA,10.8599,11.6878,12.385,12.9406,13.4843
System.Urogenital/Reproductive System.Ovary.OVARY,9.99735,11.3301,12.3168,13.1266,14.2699
System.Nervous System.PNS.SENSORY NEURON,9.89087,11.5543,12.3067,12.6588,13.1333
System.Digestive System.Intestine.COLON MUCOSA,9.51297,11.2448,12.2996,13.3024,13.837
System.Respiratory System.Lung.LUNG,9.64377,11.1403,12.2233,13.4144,14.6805
System.Digestive System.Intestine.SMALL INTESTINE,10.5863,11.4704,12.21,12.7997,13.7621
System.Immune System.Granulocytic.NEUTROPHIL,9.90816,10.9519,12.1207,12.5238,13.2867
System.Nervous System.CNS.PONS,8.63613,10.9143,12.1158,13.1021,14.1126
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,11.4577,11.916,12.0705,12.4656,13.9224
System.Digestive System.Pancreas.ALPHA CELL,9.80114,11.0347,12.0498,13.2334,14.1582
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,11.1943,11.6222,12.0136,12.3125,13.0659
System.Nervous System.CNS.ASTROCYTE,9.72661,10.8783,12.0091,12.9051,13.7297
System.Digestive System.Esophagus.ESOPHAGUS,10.1654,11.2007,11.9915,12.8877,13.7138
System.Cardiovascular System.Heart.HEART,10.3508,11.4539,11.9613,12.7546,13.6666
System.Nervous System.CNS.MEDULLA,9.24158,10.9811,11.8986,13.9662,15.1982
System.Digestive System.Pancreas.PANCREATIC ISLET,9.25307,10.7124,11.8517,13.139,14.4399
System.Urogenital/Reproductive System.Breast.BREAST,9.29754,10.6141,11.782,12.6467,14.2881
System.Urogenital/Reproductive System.Ovary.OOCYTE,8.8272,10.5317,11.6921,12.5703,13.3986
System.Nervous System.Eye.RETINA,9.45118,10.7182,11.502,12.6099,13.9674
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,9.58023,10.5014,11.3477,12.2966,13.5246
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,9.90306,11.0409,11.3229,11.815,13.6565
System.Urogenital/Reproductive System.Kidney.KIDNEY,8.92875,9.8513,11.3186,13.0725,14.7082
System.Nervous System.CNS.MIDBRAIN,10.0884,10.8473,11.2661,12.607,13.7336
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,10.6511,10.8926,11.2474,11.8144,12.4172
System.Immune System.Spleen.SPLEEN,9.31175,10.2165,11.0036,11.8305,13.7084
System.Nervous System.CNS.OLIGODENDROCYTE,9.96185,10.3965,10.9973,11.724,12.5291
System.Nervous System.PNS.MOTOR NEURON,8.17773,9.91218,10.923,11.7319,12.7672
System.Nervous System.CNS.NEURON,9.00801,10.2198,10.8621,11.7075,12.9456
System.Immune System.Granulocytic.GRANULOCYTE,9.51656,10.1077,10.7373,11.2586,15.7657
System.Digestive System.Pancreas.BETA CELL,8.89937,9.81192,10.7357,11.8108,13.4144
System.Nervous System.CNS.CEREBELLUM,9.84597,10.4025,10.6322,11.0138,12.776
System.Connective Tissue.Bone marrow.BONE MARROW,8.50567,9.69695,10.5548,11.8353,13.719
System.Immune System.Lymphoid.TLYMPHOCYTE,6.82269,9.4696,10.5272,11.2694,12.4147
System.Nervous System.CNS.CEREBRAL CORTEX,9.27686,9.69535,10.4282,10.8841,11.8473
System.Immune System.Lymphoid.PLASMA CELL,7.65929,9.38776,10.362,11.4973,15.9425
System.Immune System.Thymus.THYMUS,8.47737,9.55604,10.062,11.1026,12.8563
System.Immune System.Thymus.THYMOCYTE,8.75614,9.50789,10.049,10.3136,10.6082
System.Urogenital/Reproductive System.Testis.TESTIS,7.99228,8.96043,9.9103,10.8299,12.9317
System.Immune System.Lymphoid.BLYMPHOCYTE,7.86833,8.58595,9.56537,10.5141,13.1847
