id,min,q1,median,q3,max
System.Immune System.Myeloid.MACROPHAGE,7.56909,11.2038,13.2369,14.1602,15.2096
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,11.1176,11.4574,11.7249,12.0705,12.6282
System.Immune System.Myeloid.KUPFFER CELL,11.0526,11.4921,11.7145,11.8964,12.0763
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,8.81988,10.979,11.6569,12.4094,13.5026
System.Connective Tissue.Bone marrow.CHONDROCYTE,8.00044,10.9012,11.4136,12.0659,13.57
System.Digestive System.Liver.LIVER,7.47164,10.1809,11.3081,11.8165,12.4909
System.Cardiovascular System.Heart.VALVE,9.33549,10.5717,11.2996,12.027,12.7088
System.Digestive System.Liver.HEPATIC STELLATE CELL,9.56017,10.4005,11.2736,11.7145,12.7503
System.Integumentary System.Skin.MELANOCYTE,7.61196,10.6889,11.2581,11.777,13.1902
System.Immune System.Myeloid.DENDRITIC CELL,1.39064,7.97223,11.2209,13.3006,14.5779
System.Connective Tissue.Adipose tissue.ADIPOCYTE,9.63472,10.7284,11.2146,11.9298,12.8706
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,9.73076,10.3265,11.1648,11.9091,13.0213
System.Digestive System.Liver.HEPATOCYTE,9.74909,10.6913,11.1157,11.5268,12.2811
System.Connective Tissue.Adipose tissue.ADIPOSE,8.82175,10.4921,11.0292,11.4957,12.6588
System.Integumentary System.Skin.FIBROBLAST,7.69953,9.8752,11.008,11.8108,12.9337
System.Muscular System.Smooth muscle.MYOFIBROBLAST,9.06666,9.8574,10.9353,12.0915,13.1986
System.Cardiovascular System.Heart.VENTRICLE,9.84504,10.5849,10.929,11.2243,11.5849
System.Connective Tissue.Bone.STROMAL CELL,8.75067,10.1133,10.8401,11.4937,12.8803
System.Connective Tissue.Bone.OSTEOBLAST,9.48127,10.2502,10.815,11.362,12.212
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,9.84671,10.813,11.6438,12.9717
System.Cardiovascular System.Heart.HEART,6.92445,9.8983,10.5798,10.8949,11.6867
System.Cardiovascular System.Heart.ATRIUM,5.71026,8.27565,10.5534,11.153,11.4495
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.23298,9.90806,10.423,10.7528,11.5129
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,8.81909,10.4095,11.3632,12.6507
System.Integumentary System.Skin.SKIN,6.66685,9.05067,10.3905,11.4319,12.7414
System.Respiratory System.Lung.LUNG,1.20968,9.03285,10.3327,11.4526,13.2506
System.Urogenital/Reproductive System.Ovary.OVARY,6.88355,9.34276,10.2311,10.8947,12.1419
System.Immune System.Myeloid.MICROGLIA,6.47798,9.64486,10.2273,11.1208,13.2901
System.Urogenital/Reproductive System.Ovary.GRANULOSA,6.28921,9.04633,10.0155,10.5463,12.2571
System.Digestive System.Pancreas.BETA CELL,7.64621,9.02043,9.92306,10.4783,11.5509
System.Digestive System.Pancreas.ALPHA CELL,7.36556,9.04138,9.86149,10.9089,11.8184
System.Integumentary System.Skin.KERATINOCYTE,8.1123,9.2492,9.84363,10.3227,10.8282
System.Urogenital/Reproductive System.Kidney.PODOCYTE,8.55306,9.04169,9.80126,10.2541,11.3793
System.Digestive System.Esophagus.ESOPHAGUS,5.43301,8.56645,9.74625,10.6436,11.81
System.Urogenital/Reproductive System.Ovary.OOCYTE,6.9335,8.87857,9.68221,10.5743,12.7471
System.Nervous System.CNS.HYPOTHALAMUS,7.61286,9.01157,9.65078,10.3142,10.8656
System.Urogenital/Reproductive System.Breast.BREAST,5.96191,8.56328,9.6281,10.5761,12.7034
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,7.71995,9.15573,9.54344,9.89634,11.4443
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,8.44211,9.53912,10.4699,11.4971
System.Urogenital/Reproductive System.Kidney.KIDNEY,6.31418,8.58174,9.48566,10.4893,11.7657
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,5.859,8.14939,9.47327,10.4042,11.2343
System.Nervous System.CNS.THALAMUS,7.39676,8.98602,9.42157,10.227,11.0165
System.Respiratory System.Trachea.TRACHEA,7.51391,8.53721,9.3222,10.183,11.7168
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,7.8913,8.1279,9.29857,10.4322,10.5038
System.Integumentary System.Skin.BASAL CELL,7.65,8.90936,9.27797,9.93512,11.8796
System.Nervous System.Eye.RETINA,0.113644,8.64386,9.15856,10.0303,11.4855
System.Digestive System.Intestine.COLON MUCOSA,7.22685,8.0887,9.15257,11.0791,11.8574
System.Nervous System.CNS.ASTROCYTE,3.48123,7.50607,9.14581,10.0155,11.3461
System.Digestive System.Intestine.SMALL INTESTINE,5.14913,7.79062,9.01157,9.65317,11.0022
System.Nervous System.CNS.SPINAL CORD,7.3094,8.31532,8.99533,9.48322,10.2912
System.Digestive System.Intestine.COLON,2.61696,8.05298,8.97262,9.94494,11.911
System.Nervous System.CNS.MEDULLA,4.06916,7.83768,8.9081,10.1171,11.1942
System.Nervous System.PNS.SENSORY NEURON,7.60119,8.39298,8.75087,9.24438,9.58722
System.Nervous System.CNS.MIDBRAIN,0.113644,8.1285,8.64657,10.0171,11.7139
System.Nervous System.CNS.NEURON,3.1737,7.49163,8.32484,9.19016,10.7507
System.Nervous System.PNS.MOTOR NEURON,0.113644,7.4111,8.29646,8.94132,10.1328
System.Integumentary System.Skin.HAIR FOLLICLE,3.8544,6.81758,8.28801,10.2,11.1068
System.Nervous System.CNS.PONS,0.113644,6.51705,8.25667,10.1245,12.0847
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,5.16971,7.3666,7.88845,9.09113,10.9562
System.Nervous System.CNS.OLIGODENDROCYTE,5.75193,6.43776,7.79648,8.6207,9.54413
System.Nervous System.CNS.CEREBRAL CORTEX,6.63171,7.20412,7.5475,7.97798,8.31257
System.Immune System.Granulocytic.NEUTROPHIL,2.16272,6.19474,7.26034,9.21686,11.5452
System.Nervous System.CNS.CEREBELLUM,5.25971,6.45859,7.11933,7.70672,9.26099
System.Immune System.Spleen.SPLEEN,0.113644,1.81287,5.12981,8.66757,11.6121
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,1.20968,4.99416,7.9278,9.97274
System.Immune System.Thymus.THYMUS,0.113644,2.61696,4.89983,8.13211,10.3305
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,1.81287,4.74482,6.22161,8.46799
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,4.00388,8.35385,11.3975
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,3.9543,7.48062,9.9179
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,2.16272,3.83272,6.62308,11.7609
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,1.20968,2.41968,10.044
