id,min,q1,median,q3,max
System.Immune System.Myeloid.MACROPHAGE,0.113644,6.06605,8.84983,11.008,13.5692
System.Muscular System.Smooth muscle.MYOFIBROBLAST,1.81287,3.86271,6.67734,7.95183,8.82795
System.Respiratory System.Trachea.TRACHEA,3.18332,5.47412,6.65623,9.16516,11.4606
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,4.05534,5.25971,6.20084,7.55207,10.2232
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,3.11494,6.05008,9.70548,13.3277
System.Integumentary System.Skin.BASAL CELL,0.113644,3.76961,5.96743,7.09429,11.0119
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,1.81287,5.67402,8.23044,11.4318
System.Urogenital/Reproductive System.Kidney.PODOCYTE,2.29868,4.87131,5.49388,6.7824,8.69175
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,3.89584,5.2338,7.56644,8.95268
System.Respiratory System.Lung.LUNG,0.113644,2.41968,5.07842,7.62734,10.7349
System.Integumentary System.Skin.KERATINOCYTE,0.113644,3.70787,5.02256,6.09783,8.05581
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.552059,3.39116,4.84279,5.81111,8.08598
System.Immune System.Thymus.THYMOCYTE,0.332852,3.76961,4.80976,6.28742,7.22316
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.708372,1.81287,4.80849,8.33936,11.1373
System.Digestive System.Intestine.COLON,0.113644,2.92457,4.63537,6.92548,10.1299
System.Immune System.Myeloid.KUPFFER CELL,3.65424,3.99148,4.40897,5.87525,7.75187
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,2.41968,4.40897,5.70133,7.20911
System.Integumentary System.Skin.MELANOCYTE,0.113644,3.48123,4.26947,5.31293,7.02199
System.Connective Tissue.Bone.OSTEOBLAST,1.81287,3.1737,4.05534,5.21584,8.24298
System.Digestive System.Intestine.COLON MUCOSA,0.935672,3.2573,4.05534,6.34445,9.26719
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,2.61696,3.76961,6.24863,11.014
System.Digestive System.Liver.HEPATOCYTE,0.113644,2.41968,3.70787,5.28658,8.82663
System.Cardiovascular System.Heart.VALVE,1.20968,2.77595,3.60651,4.59911,6.38262
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,2.16272,3.48123,7.86549,9.79064
System.Digestive System.Liver.LIVER,0.113644,1.20968,3.28517,5.15699,10.1508
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,3.1737,4.77752,8.59013
System.Immune System.Thymus.THYMUS,0.113644,1.81287,3.11494,5.46704,6.88366
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,1.20968,3.05618,5.05736,11.2442
System.Cardiovascular System.Heart.VENTRICLE,0.113644,2.41968,2.92457,3.48123,4.99416
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,2.92457,4.87314,8.87813
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,2.92457,5.25971,8.44826
System.Nervous System.CNS.MEDULLA,0.113644,0.387653,2.85026,5.64336,9.75753
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,1.20968,2.77595,3.83218,9.19239
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,1.20968,2.61696,3.76961,7.27728
System.Cardiovascular System.Heart.ATRIUM,0.113644,1.20968,2.41968,3.48123,5.8608
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.20968,2.41968,6.06681,9.15108
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,1.20968,2.41968,3.70787,5.07282
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,2.41968,5.81111,10.483
System.Nervous System.CNS.ASTROCYTE,0.113644,1.20968,2.41968,3.64478,6.9657
System.Nervous System.CNS.HYPOTHALAMUS,0.332852,1.81287,2.41968,2.92457,3.7947
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,2.2912,3.76961,5.56199
System.Integumentary System.Skin.SKIN,0.113644,0.113644,2.16272,4.56034,8.71879
System.Cardiovascular System.Heart.HEART,0.113644,0.113644,2.16272,4.21911,8.82941
System.Nervous System.CNS.PONS,0.113644,0.113644,2.16272,4.00388,9.50371
System.Nervous System.CNS.THALAMUS,0.113644,1.20968,2.16272,2.61696,3.701
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,1.9878,3.9543,9.18453
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,1.81287,4.72784,8.79963
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,1.81287,4.17996,7.41597
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,1.81287,3.28517,6.61623
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,1.20968,1.81287,2.61696,3.97559
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,0.113644,1.81287,4.67429,8.19514
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.113644,1.51127,2.16272,3.6198
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,0.113644,1.20968,2.85026,6.0037
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,1.20968,3.9543,7.36222
System.Nervous System.CNS.NEURON,0.113644,0.113644,1.20968,2.41968,4.26947
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,1.20968,4.38682,9.3222
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,1.20968,1.81287,2.77595
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,1.20968,2.65671,6.42937
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,1.20968,4.38682,6.76286
System.Nervous System.Eye.RETINA,0.113644,0.113644,1.20968,3.1737,6.52772
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,1.20968,2.77595,12.3106
System.Nervous System.CNS.SPINAL CORD,0.113644,0.113644,1.20968,1.20968,2.61696
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,5.81111,9.63615
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,1.20968,6.45967
System.Nervous System.CNS.CEREBELLUM,0.113644,0.113644,0.113644,0.113644,1.81287
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,0.113644,3.02327,8.45292
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,1.20968,5.29972
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,1.20968,9.39643
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,4.97137
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,0.113644,3.1737,8.43008
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,1.20968,4.73258
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,3.48123,6.45852
