id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,11.7409,12.2259,12.5099,12.795,13.0843
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.30586,11.7016,12.3911,12.9127,13.4858
System.Cardiovascular System.Heart.VALVE,8.4362,11.6232,11.986,12.2067,12.4688
System.Connective Tissue.Bone.OSTEOBLAST,10.5344,11.4714,11.9497,12.1812,12.6116
System.Muscular System.Smooth muscle.MYOFIBROBLAST,10.9445,11.4088,11.9137,12.2314,12.9883
System.Digestive System.Liver.HEPATIC STELLATE CELL,9.98142,11.3405,11.8136,12.2726,13.0242
System.Connective Tissue.Bone.STROMAL CELL,8.5326,10.9721,11.795,12.4015,13.4409
System.Integumentary System.Skin.FIBROBLAST,4.56034,10.3869,11.7145,12.4823,13.3373
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,10.0907,11.0463,11.6153,12.2642,13.0938
System.Integumentary System.Skin.MELANOCYTE,7.83856,9.72287,11.5997,12.3527,12.5884
System.Connective Tissue.Bone marrow.CHONDROCYTE,8.89276,10.759,11.3611,11.9677,12.919
System.Immune System.Myeloid.MACROPHAGE,6.57131,9.0947,11.3273,12.3512,13.5476
System.Connective Tissue.Adipose tissue.ADIPOSE,9.32689,10.7564,11.2252,11.6903,12.6272
System.Connective Tissue.Adipose tissue.ADIPOCYTE,8.4345,10.0171,11.0824,12.1493,12.8697
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,6.51435,9.34519,11.0539,11.739,12.2634
System.Muscular System.Skeletal muscle.MYOBLAST,8.88999,10.2784,10.9827,11.6438,12.5365
System.Immune System.Myeloid.DENDRITIC CELL,6.55974,9.12601,10.845,11.9016,12.9275
System.Cardiovascular System.Heart.HEART,4.19741,8.99067,10.6186,11.9508,12.4489
System.Integumentary System.Skin.SKIN,4.99416,8.80141,10.5533,11.9256,13.0156
System.Immune System.Myeloid.MICROGLIA,4.87715,7.17515,10.2549,11.4129,13.7249
