id,min,q1,median,q3,max
System.Integumentary System.Skin.MELANOCYTE,6.08193,9.86664,11.671,12.4007,14.0486
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,10.5644,11.067,11.5595,11.9656,12.3458
System.Cardiovascular System.Heart.VALVE,3.13633,6.50483,11.0571,11.8078,12.3366
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.81543,9.80233,11.0026,11.7739,12.446
System.Digestive System.Liver.HEPATIC STELLATE CELL,8.87617,10.3098,10.5612,11.0931,12.0181
System.Integumentary System.Skin.FIBROBLAST,1.20968,8.2892,10.4202,11.3898,12.3819
System.Immune System.Myeloid.MACROPHAGE,1.20968,7.4111,10.028,11.1062,11.9071
System.Integumentary System.Skin.SKIN,2.41968,8.20221,9.92677,11.1296,12.2556
System.Connective Tissue.Bone.OSTEOBLAST,6.5612,8.73056,9.75875,10.6541,11.5992
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,6.58866,7.75933,9.75323,11.3273,11.6788
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,7.0808,9.59445,10.7634,11.8384
System.Connective Tissue.Bone.STROMAL CELL,0.113644,7.68061,9.41463,10.5296,11.8293
System.Digestive System.Esophagus.ESOPHAGUS,4.47438,7.04238,9.37413,11.2198,14.0204
System.Connective Tissue.Bone marrow.CHONDROCYTE,3.1737,7.08641,9.26038,10.718,11.1503
System.Integumentary System.Skin.KERATINOCYTE,5.45333,8.09316,9.19823,10.4112,11.9709
System.Cardiovascular System.Heart.ATRIUM,4.04698,7.48085,8.70436,9.27984,9.85843
System.Urogenital/Reproductive System.Kidney.PODOCYTE,2.76005,7.1766,8.64543,9.56548,10.2017
System.Cardiovascular System.Heart.VENTRICLE,6.5953,8.08164,8.63669,9.22144,10.6578
System.Integumentary System.Skin.HAIR FOLLICLE,4.56977,6.79819,8.59536,10.4695,12.4637
System.Immune System.Myeloid.KUPFFER CELL,5.26809,5.5211,8.45269,10.8441,11.6624
System.Connective Tissue.Adipose tissue.ADIPOSE,4.7697,7.40766,8.34337,9.05898,11.0211
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,5.07842,8.33578,10.6175,14.4831
System.Connective Tissue.Adipose tissue.ADIPOCYTE,3.48123,6.07935,8.22586,9.64377,11.7042
System.Respiratory System.Trachea.TRACHEA,0.990474,5.07842,8.10195,10.3487,13.1719
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,4.51527,8.07033,9.68332,10.463
System.Cardiovascular System.Heart.HEART,2.92457,6.58321,7.90918,8.97262,10.8927
System.Digestive System.Liver.LIVER,0.113644,4.59911,7.79648,9.23137,10.5678
System.Integumentary System.Skin.BASAL CELL,0.113644,3.81654,7.69186,8.78829,10.3193
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,6.74687,6.88791,7.13506,7.96493,9.57682
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,1.20968,5.34282,6.77744,7.78955,10.5975
System.Nervous System.PNS.SENSORY NEURON,4.51736,5.20789,6.35023,7.41835,8.41726
System.Nervous System.CNS.ASTROCYTE,2.41968,4.31312,6.16133,7.98584,10.0374
System.Digestive System.Intestine.COLON,0.113644,4.43111,6.09783,7.81989,10.1515
System.Digestive System.Intestine.COLON MUCOSA,2.68688,4.43111,6.08354,7.65365,9.14732
System.Nervous System.CNS.MEDULLA,0.113644,3.22806,5.7177,9.11935,11.6804
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,3.72331,5.64397,7.61966,9.71955
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,4.47438,5.59231,6.40358,7.41969
System.Respiratory System.Lung.LUNG,0.113644,3.48123,5.5514,8.33964,11.4752
