id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,9.98413,11.782,12.589,13.177,14.1286
System.Digestive System.Liver.HEPATIC STELLATE CELL,5.64499,11.8042,12.3272,13.0046,14.038
System.Connective Tissue.Bone marrow.CHONDROCYTE,5.95588,10.6256,11.8956,12.4246,13.0088
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,5.52931,8.66182,11.8165,12.4555,13.3151
System.Connective Tissue.Bone.OSTEOBLAST,7.60812,10.9264,11.7016,12.2853,13.5782
System.Cardiovascular System.Heart.VALVE,5.20402,7.0365,11.6212,12.0607,12.4882
System.Muscular System.Smooth muscle.MYOFIBROBLAST,8.38944,9.58504,11.2576,11.9574,13.5852
System.Connective Tissue.Bone.STROMAL CELL,0.113644,4.25688,10.5093,12.3175,13.1515
System.Integumentary System.Skin.FIBROBLAST,0.113644,6.03426,10.3578,11.9345,12.8465
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.10985,8.79012,10.276,11.5416,12.2756
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,5.70332,7.61774,8.78347,9.89805,11.9603
System.Nervous System.CNS.SPINAL CORD,4.41131,7.75317,8.71085,9.37413,10.4953
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,4.13876,8.59108,9.84943,11.7558
System.Immune System.Myeloid.KUPFFER CELL,3.91204,4.37811,8.52072,11.7945,11.9305
System.Cardiovascular System.Heart.VENTRICLE,4.92186,6.72979,7.99738,8.96477,11.4091
System.Integumentary System.Skin.MELANOCYTE,2.4515,5.76006,7.81365,9.68159,11.8089
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,2.27835,4.50556,7.76099,9.29792,9.83661
System.Immune System.Myeloid.MACROPHAGE,0.113644,4.89983,7.69006,9.18625,10.9231
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,7.61504,9.86685,11.2424
System.Cardiovascular System.Heart.HEART,1.81287,5.5514,7.61504,9.38365,12.2828
System.Integumentary System.Skin.SKIN,0.113644,4.67269,7.44713,9.8949,12.4071
System.Nervous System.CNS.HYPOTHALAMUS,4.92079,6.2249,7.29406,8.55418,10.7232
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,5.65482,7.28786,8.28293,10.9817
System.Digestive System.Liver.LIVER,0.113644,4.11061,7.23213,8.93279,11.0243
System.Cardiovascular System.Heart.ATRIUM,0.113644,2.56764,7.18525,9.393,11.9122
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,3.39116,6.98284,10.2452,12.1652
System.Nervous System.CNS.THALAMUS,4.97705,6.24261,6.91696,8.37055,10.6546
System.Immune System.Myeloid.MICROGLIA,0.113644,4.05534,6.41035,7.9057,9.54526
System.Connective Tissue.Adipose tissue.ADIPOSE,2.61696,3.76961,6.17424,9.1223,11.7063
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,3.82263,6.07396,11.7993,13.0478
System.Digestive System.Intestine.COLON,0.113644,3.64478,5.8662,9.60826,11.4572
System.Digestive System.Intestine.COLON MUCOSA,3.05618,4.26947,5.81313,8.44047,9.92484
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,4.31312,5.72615,7.10033,9.24956
System.Nervous System.PNS.SENSORY NEURON,4.49297,4.96226,5.72615,6.57326,8.89808
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,3.58738,5.12981,6.13438,8.53845
System.Nervous System.CNS.ASTROCYTE,0.113644,3.56825,5.10633,7.84148,12.9668
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,4.99416,8.46647,13.5255
