id,min,q1,median,q3,max
System.Connective Tissue.Adipose tissue.ADIPOSE,9.51043,12.5844,13.2097,13.4987,13.9413
System.Integumentary System.Skin.MELANOCYTE,9.70583,11.536,12.4977,13.1344,14.1927
System.Integumentary System.Skin.SKIN,4.78074,11.1256,12.2952,12.9668,13.9026
System.Cardiovascular System.Heart.VALVE,10.6725,11.3724,12.1748,12.5371,13.2369
System.Integumentary System.Skin.KERATINOCYTE,9.09671,11.3671,12.1256,12.8465,14.3618
System.Connective Tissue.Bone.OSTEOBLAST,9.18443,11.6869,12.0498,12.5082,13.4053
System.Connective Tissue.Bone marrow.CHONDROCYTE,4.72847,11.3839,12.0395,12.6041,13.2898
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.89409,10.7478,12.0091,12.9937,14.1538
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,8.60768,11.1248,11.9975,12.6138,13.381
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,11.2932,11.652,11.9132,12.2504,13.0257
System.Immune System.Myeloid.MACROPHAGE,7.01533,10.1594,11.7515,12.7034,13.516
System.Integumentary System.Skin.FIBROBLAST,3.1737,10.0073,11.4883,12.4622,13.5422
System.Digestive System.Liver.HEPATIC STELLATE CELL,10.0484,10.9421,11.4197,11.9215,12.425
System.Integumentary System.Skin.HAIR FOLLICLE,9.40387,10.1842,11.3856,12.1319,12.946
System.Muscular System.Smooth muscle.MYOFIBROBLAST,9.04272,10.741,11.3351,11.6467,12.2826
System.Connective Tissue.Bone.STROMAL CELL,2.86898,9.96084,11.2899,12.0772,13.211
System.Respiratory System.Trachea.TRACHEA,7.36783,9.6281,11.0973,12.059,13.9627
System.Cardiovascular System.Heart.VENTRICLE,9.35318,10.4377,10.9493,11.4218,12.4652
System.Integumentary System.Skin.BASAL CELL,6.96849,9.21987,10.908,11.7684,12.9685
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,4.11061,6.09783,10.8555,12.0475,13.2084
System.Cardiovascular System.Heart.ATRIUM,7.05615,9.29823,10.7068,11.5163,12.2222
System.Immune System.Myeloid.DENDRITIC CELL,5.85026,8.671,10.4364,11.3681,12.7319
System.Muscular System.Skeletal muscle.MYOBLAST,5.75033,8.94132,10.4095,12.0575,13.2185
System.Nervous System.CNS.MEDULLA,2.41968,7.97453,10.1509,11.3514,12.1201
System.Nervous System.CNS.SPINAL CORD,6.36132,9.19293,10.0823,10.8295,11.5863
System.Digestive System.Esophagus.ESOPHAGUS,5.08689,8.9585,10.0303,11.2977,15.5308
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,8.17978,9.51641,9.9875,10.2106,10.4945
System.Digestive System.Intestine.COLON,2.77595,7.60901,9.98036,11.5524,12.9403
System.Cardiovascular System.Heart.HEART,4.37984,9.16713,9.87578,10.9021,12.6475
System.Digestive System.Intestine.COLON MUCOSA,3.60389,7.99459,9.76553,11.6709,12.2992
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,7.48806,8.92875,9.75532,10.6573,11.91
System.Urogenital/Reproductive System.Breast.BREAST,3.01011,5.49388,9.6997,11.7621,13.1641
