id,min,q1,median,q3,max
System.Cardiovascular System.Heart.VALVE,12.1054,12.677,12.9153,13.272,14.179
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.28941,10.838,11.8674,12.4343,13.423
System.Cardiovascular System.Heart.ATRIUM,6.99782,10.1409,11.667,12.8042,13.2275
System.Connective Tissue.Bone.OSTEOBLAST,8.70979,11.0953,11.6644,12.1349,13.2207
System.Digestive System.Liver.HEPATIC STELLATE CELL,10.5294,11.2038,11.6406,12.1406,13.1912
System.Cardiovascular System.Heart.VENTRICLE,9.72489,11.0451,11.6291,12.1238,12.7636
System.Immune System.Myeloid.MACROPHAGE,5.37355,9.52562,11.4678,12.4789,13.7952
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,9.30323,10.8967,11.4602,11.7987,12.1884
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,5.89409,7.10033,11.1328,12.1916,12.8976
System.Connective Tissue.Bone.STROMAL CELL,6.91657,9.23572,10.5475,12.0544,13.3226
System.Connective Tissue.Bone marrow.CHONDROCYTE,6.38099,9.13491,10.5381,12.1393,12.8633
System.Integumentary System.Skin.FIBROBLAST,2.41968,8.06014,10.4844,11.7162,12.7486
System.Integumentary System.Skin.MELANOCYTE,5.53489,9.75531,10.4706,10.9173,12.0627
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.06312,9.83273,10.4663,11.1254,11.7588
System.Immune System.Myeloid.KUPFFER CELL,7.21519,7.5716,10.2985,12.4055,12.8388
System.Immune System.Myeloid.DENDRITIC CELL,5.48275,8.78561,10.2509,11.1285,12.2206
System.Connective Tissue.Adipose tissue.ADIPOCYTE,6.04059,8.27953,10.0208,11.1886,13.0269
System.Digestive System.Liver.LIVER,2.77595,7.66804,9.92677,10.7044,11.8202
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,3.89584,7.88005,9.77837,10.4978,11.4003
System.Cardiovascular System.Heart.HEART,3.81966,8.35063,9.74278,11.8287,13.199
System.Connective Tissue.Adipose tissue.ADIPOSE,7.24729,8.765,9.73525,11.2192,12.4697
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,7.48852,9.55663,11.2038,12.2995
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,6.42405,9.51165,11.0314,12.3215
System.Integumentary System.Skin.SKIN,3.28517,7.18296,9.33518,10.8306,12.2179
System.Nervous System.CNS.MEDULLA,3.90179,6.85419,9.02579,9.88961,12.7418
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,5.70917,9.00801,10.8299,12.3785
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,4.8017,8.97842,11.1202,12.1892
System.Nervous System.CNS.SPINAL CORD,4.71851,7.76824,8.86308,9.81035,10.9113
System.Digestive System.Intestine.SMALL INTESTINE,3.1737,5.19622,8.77715,9.8572,11.0291
System.Immune System.Granulocytic.NEUTROPHIL,2.92457,7.08846,8.66182,9.11944,10.0747
System.Integumentary System.Skin.HAIR FOLLICLE,2.16272,5.6554,8.20863,11.0522,11.7725
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,4.53051,5.65638,8.08526,8.48499,9.08378
System.Immune System.Myeloid.MICROGLIA,3.1737,5.34282,8.06804,10.4835,13.4144
System.Immune System.Thymus.THYMUS,5.36008,7.25743,7.97891,8.60299,9.55179
System.Nervous System.CNS.PONS,0.113644,4.26947,7.9722,9.1636,11.4584
System.Nervous System.CNS.THALAMUS,4.11061,6.58678,7.96808,9.35501,9.85808
