id,min,q1,median,q3,max
System.Connective Tissue.Adipose tissue.ADIPOSE,1.20968,14.4832,15.5435,15.9328,16.5074
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,6.8903,14.3778,15.7616,16.7873
System.Cardiovascular System.Heart.VENTRICLE,5.56141,9.92173,10.9281,11.8087,12.8179
System.Cardiovascular System.Heart.ATRIUM,3.50201,6.8512,9.47231,11.602,12.7103
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,7.58896,9.17601,9.89148,13.7716
System.Cardiovascular System.Heart.HEART,0.113644,1.81287,7.95029,9.89148,11.622
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,1.20968,7.92253,11.0404,13.9374
System.Cardiovascular System.Heart.VALVE,0.113644,4.2317,6.19937,8.45262,10.2177
System.Immune System.Myeloid.KUPFFER CELL,1.86535,3.43221,5.96084,8.47768,9.08007
System.Immune System.Myeloid.MACROPHAGE,0.113644,1.20968,5.93591,8.75978,12.7671
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,0.113644,4.36936,5.51459,9.20734
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,2.16272,3.76961,4.80976,6.09475
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,3.70787,5.82839,8.13761
System.Digestive System.Liver.LIVER,0.113644,0.113644,3.64478,5.70924,14.1126
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,0.113644,3.05618,4.96278,8.22292
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,1.20968,2.61696,3.64478,6.36804
System.Integumentary System.Skin.BASAL CELL,0.113644,1.20968,2.61696,4.21911,9.62122
System.Nervous System.Eye.RETINA,0.113644,0.113644,2.41968,4.11061,6.5799
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,1.20968,2.41968,3.39116,4.95643
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,1.20968,2.2912,3.48123,4.81573
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,0.113644,2.16272,3.81654,6.89912
System.Integumentary System.Skin.SKIN,0.113644,0.113644,1.81287,6.58321,10.8871
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,1.20968,2.92457,6.11096
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,1.20968,4.67269,9.50943
System.Nervous System.CNS.HYPOTHALAMUS,0.113644,0.113644,1.20968,2.61696,8.84143
System.Nervous System.CNS.THALAMUS,0.113644,0.113644,1.20968,1.81287,6.69577
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,1.20968,2.56764,4.55388
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,1.20968,2.92457,7.0142
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,1.20968,3.43221,6.32579
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,1.20968,6.11658,12.4896
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,1.20968,6.3224
System.Digestive System.Intestine.COLON,0.113644,0.113644,0.113644,3.1737,7.5362
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,0.113644,2.77595,6.9793
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,0.113644,1.20968,3.22792
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,0.113644,4.13876,9.10707
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,5.64419
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,0.113644,3.18907
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,0.113644,1.20968,3.1737
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,2.16272
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,0.113644,1.72239
System.Nervous System.CNS.SPINAL CORD,0.113644,0.113644,0.113644,1.20968,2.41968
