id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.30322,9.26885,10.4015,11.1392,11.8909
System.Immune System.Myeloid.MACROPHAGE,4.51527,8.51888,10.3636,11.4029,12.4675
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.42633,9.45816,10.2662,10.796,11.9354
System.Nervous System.PNS.SENSORY NEURON,7.08306,9.57583,10.1124,10.4771,10.9514
System.Connective Tissue.Bone marrow.CHONDROCYTE,5.0917,9.45877,10.0527,11.3289,12.85
System.Connective Tissue.Bone.OSTEOBLAST,8.11799,8.80644,9.85318,10.4882,11.8647
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.56909,8.93702,9.66068,10.5047,11.6203
System.Nervous System.CNS.SPINAL CORD,7.90802,8.90532,9.50407,10.1252,11.138
System.Urogenital/Reproductive System.Kidney.PODOCYTE,4.92161,8.14172,9.48878,10.4678,12.2488
System.Nervous System.CNS.HYPOTHALAMUS,8.59651,8.9635,9.37075,9.72488,10.3804
System.Nervous System.CNS.THALAMUS,8.31119,8.86148,9.34152,9.70539,10.27
System.Cardiovascular System.Heart.VALVE,6.47783,7.17199,9.331,10.1261,10.725
System.Nervous System.CNS.CEREBRAL CORTEX,7.56996,8.22443,9.217,9.38181,9.59574
System.Integumentary System.Skin.FIBROBLAST,0.113644,7.45722,9.1625,10.4476,11.4874
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.42719,5.88569,9.15573,9.90792,10.7312
System.Digestive System.Liver.HEPATOCYTE,6.98033,8.47114,9.11453,9.7665,10.7918
System.Connective Tissue.Adipose tissue.ADIPOSE,6.93288,8.27078,9.05898,9.59939,10.44
System.Immune System.Myeloid.KUPFFER CELL,7.83101,8.14939,9.0467,9.59883,9.89123
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.99665,7.98143,9.03285,9.74849,10.7661
System.Connective Tissue.Bone.STROMAL CELL,0.113644,7.23823,9.00523,9.98694,11.1838
System.Immune System.Myeloid.DENDRITIC CELL,2.92457,7.69723,8.98773,9.99482,11.0421
System.Digestive System.Liver.LIVER,1.20968,7.03085,8.98773,10.0829,10.7564
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,5.76863,8.9635,9.77814,10.4396
System.Nervous System.CNS.ASTROCYTE,3.83218,6.67736,8.71416,10.049,11.5224
System.Muscular System.Smooth muscle.MYOFIBROBLAST,6.30791,7.88034,8.64981,9.3261,12.0622
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,7.89336,8.62357,9.23281,9.98972
System.Immune System.Myeloid.MICROGLIA,0.113644,6.6642,8.27014,9.13466,11.8959
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,5.17082,7.3791,8.24099,9.22555,10.4759
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,8.13314,9.21084,10.0009
System.Nervous System.CNS.NEURON,0.113644,5.99799,8.09635,9.08301,10.1316
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,5.76088,8.04956,9.29877,10.6787
System.Cardiovascular System.Heart.VENTRICLE,6.0398,7.05316,7.89585,8.43178,9.36894
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,6.19819,7.10574,7.89565,8.68138,9.11245
System.Integumentary System.Skin.SKIN,0.113644,6.41035,7.85098,9.41788,11.1586
System.Integumentary System.Skin.HAIR FOLLICLE,2.81986,6.23734,7.8247,10.0734,11.045
System.Integumentary System.Skin.MELANOCYTE,5.8424,7.12273,7.76126,8.91719,10.4509
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,6.06605,7.74633,8.88637,10.517
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,6.98284,7.73525,8.81307,10.4156
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,7.67905,8.28656,11.924
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,7.66054,9.71495,10.0103
System.Nervous System.CNS.CEREBELLUM,4.52728,6.9657,7.53683,8.19266,9.37849
System.Nervous System.CNS.OLIGODENDROCYTE,4.34675,6.05806,7.52411,8.16323,9.11398
System.Respiratory System.Lung.LUNG,0.113644,3.70787,7.51341,8.93279,10.7573
System.Integumentary System.Skin.KERATINOCYTE,5.07249,6.74061,7.49889,8.19468,9.35482
System.Cardiovascular System.Heart.ATRIUM,1.4208,4.70226,7.47244,8.70819,9.6682
System.Cardiovascular System.Heart.HEART,3.05618,6.24863,7.42671,8.26448,10.5385
System.Digestive System.Intestine.COLON,0.113644,5.24152,7.31657,8.38924,10.1963
System.Urogenital/Reproductive System.Kidney.KIDNEY,2.41968,5.67402,7.00003,8.9213,11.3556
System.Nervous System.CNS.MEDULLA,0.113644,3.99338,6.95595,8.63305,10.4608
System.Nervous System.Eye.RETINA,0.113644,5.37031,6.89949,8.26352,10.2368
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,4.55546,6.13485,6.85833,8.28459,9.45089
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,4.11061,6.78634,9.1484,10.9679
System.Digestive System.Intestine.COLON MUCOSA,4.26249,6.15323,6.6958,8.131,9.87623
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,5.10633,6.56004,7.31657,8.79258
System.Nervous System.CNS.PONS,0.113644,2.92457,6.38743,8.19063,9.87737
System.Integumentary System.Skin.BASAL CELL,0.113644,4.92273,6.33632,7.45283,9.70711
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,2.16272,3.89584,6.13896,7.06188,7.94615
System.Digestive System.Pancreas.BETA CELL,0.113644,2.41968,5.83491,7.59088,9.585
System.Respiratory System.Trachea.TRACHEA,0.113644,4.00388,5.78326,7.03818,9.31338
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,1.81287,4.87131,7.83048,10.0785
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,4.72917,6.56004,9.22574
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,1.20968,3.47971,6.62004,8.47775
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,2.92457,6.66154,8.83183
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,1.20968,2.41968,3.56825,5.70977
System.Immune System.Thymus.THYMUS,0.113644,0.113644,2.16272,4.87731,8.53089
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,1.81287,5.53299,8.94175
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,1.20968,3.48123,7.38198
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,5.5514,9.59646
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,4.97434
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,1.20968,4.75624
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,6.60849,9.28624
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,1.20968,4.25363
