id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.6241,7.60281,11.1232,11.9508,12.4776
System.Connective Tissue.Bone.STROMAL CELL,1.78271,10.0915,11.0143,11.7639,12.6838
System.Connective Tissue.Bone.OSTEOBLAST,6.08027,9.77038,10.9663,11.6054,12.6586
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,10.32,10.6435,10.9651,11.2261,11.55
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.3467,10.1097,10.9454,11.5253,11.8793
System.Digestive System.Pancreas.ALPHA CELL,4.51978,8.49515,10.6052,12.1878,13.4943
System.Connective Tissue.Bone marrow.CHONDROCYTE,4.25855,9.4509,10.3103,11.5259,12.8099
System.Integumentary System.Skin.FIBROBLAST,0.113644,7.69006,10.2838,11.3674,12.3777
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,9.09881,10.0603,11.1555,12.334
System.Muscular System.Smooth muscle.MYOFIBROBLAST,6.31999,8.84367,9.89772,10.9428,11.7434
System.Connective Tissue.Adipose tissue.ADIPOCYTE,2.97721,6.27464,9.37075,11.7639,12.7286
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,1.20968,8.54244,11.1808,13.6811
System.Integumentary System.Skin.SKIN,0.113644,5.5331,7.90088,10.4306,12.1253
System.Immune System.Myeloid.KUPFFER CELL,0.27805,1.81287,7.43491,12.2181,12.4464
System.Integumentary System.Skin.HAIR FOLLICLE,1.60175,4.53382,7.43175,11.1311,11.7277
System.Cardiovascular System.Heart.VALVE,1.04528,3.50298,7.14836,8.75828,10.51
System.Cardiovascular System.Heart.HEART,0.113644,3.28517,7.11933,11.5165,11.9746
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,3.35936,6.27464,6.9657,7.94783,11.8315
System.Nervous System.Eye.RETINA,0.113644,3.28517,6.9657,8.08543,10.5123
System.Integumentary System.Skin.MELANOCYTE,1.85307,5.7983,6.92768,8.40642,11.643
System.Cardiovascular System.Heart.VENTRICLE,3.1737,4.51527,6.05806,7.4111,8.98106
System.Integumentary System.Skin.KERATINOCYTE,0.113644,3.89584,5.8662,7.96015,10.082
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,4.00388,5.65482,7.38198,11.759
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,0.661663,3.64478,5.34282,7.6933
System.Nervous System.CNS.ASTROCYTE,0.113644,1.20968,3.56825,6.50485,11.0248
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,3.48123,6.31418,9.9808
System.Cardiovascular System.Heart.ATRIUM,0.113644,1.81287,3.39116,4.01675,6.71125
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,3.39116,6.77744,10.9017
System.Nervous System.CNS.THALAMUS,0.88087,2.51832,3.28517,4.13876,6.15471
System.Nervous System.CNS.HYPOTHALAMUS,0.332852,2.61696,3.28517,4.11061,6.2495
System.Nervous System.CNS.MEDULLA,0.113644,1.20968,3.28243,6.35921,11.6626
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.113644,3.11494,8.11703,12.193
System.Nervous System.CNS.SPINAL CORD,1.20968,2.16272,3.11494,4.05534,5.81493
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,3.05618,4.56034,8.93542
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,2.77595,4.51527,7.05184
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,2.61696,7.3839,8.82257
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,1.20968,2.41968,5.16327,7.34698
System.Digestive System.Liver.LIVER,0.113644,0.113644,2.16272,4.31312,8.80141
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,1.20968,2.16272,2.98685,4.15621
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,1.81287,6.33362,9.43101
System.Respiratory System.Lung.LUNG,0.113644,0.113644,1.81287,5.99799,10.6665
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,1.81287,3.39116,7.51466
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,1.81287,4.21911,7.84833
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,1.81287,3.39116,7.97521
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,1.81287,3.39116,7.15104
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,1.20968,5.47412,10.327
System.Digestive System.Intestine.COLON,0.113644,0.113644,1.20968,3.56825,9.07549
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,1.20968,4.3783,6.65754
System.Nervous System.CNS.NEURON,0.113644,0.113644,1.20968,3.28517,7.66804
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,1.20968,3.05618,5.04875
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,1.20968,1.81287,4.47319
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,1.20968,3.05618,7.32153
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,11.1457
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,0.113644,1.81287,5.35497
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,0.113644,1.81287
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,0.113644,4.61015
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.113644,1.20968,6.01765
System.Nervous System.CNS.CEREBELLUM,0.113644,0.113644,0.113644,1.20968,3.81975
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,1.20968,2.74
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,0.113644,2.77595,6.42816
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,0.113644,3.9543,6.20187
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,1.20968,4.93037
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,1.20968,2.77595
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,1.61256
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,3.28517
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,1.81287,4.765
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,0.113644,2.16272,6.60724
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,7.00978,10.1244
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,1.81287,4.43544
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,0.113644,2.95747,5.09746
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,4.47438,7.22829
System.Nervous System.CNS.PONS,0.113644,0.113644,0.113644,3.70787,9.04241
