id,min,q1,median,q3,max
System.Immune System.Myeloid.DENDRITIC CELL,2.16272,6.91306,11.7266,12.8322,13.8864
System.Immune System.Myeloid.MACROPHAGE,0.113644,8.75978,11.0036,12.3726,13.4144
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,4.63537,7.75625,8.84983,9.96159
System.Cardiovascular System.Heart.VALVE,2.38113,4.28038,6.54466,8.02931,9.6828
System.Immune System.Myeloid.KUPFFER CELL,3.35783,4.3684,5.84806,7.52432,8.21861
System.Digestive System.Liver.LIVER,0.113644,1.20968,5.82639,7.56464,9.0288
System.Cardiovascular System.Heart.VENTRICLE,2.41968,4.93037,5.82639,6.66152,8.20696
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,3.39116,5.02256,6.88558,9.88582
System.Cardiovascular System.Heart.ATRIUM,1.81287,3.75418,5.00836,5.99155,6.90654
System.Nervous System.CNS.SPINAL CORD,0.113644,3.1737,4.76187,6.46719,8.13449
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,1.20968,3.08556,4.65561,6.01316,8.45882
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.20968,4.31312,6.24977,7.51401
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,1.81287,3.83218,5.07842,7.29915
System.Nervous System.CNS.PONS,0.113644,0.113644,3.64478,5.98306,8.60987
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,1.81287,3.43619,4.99416,6.22562
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,1.81287,2.77595,4.26947,9.29036
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,2.61696,3.64478,5.19333
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,1.81287,2.41968,3.05618,4.16486
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,2.41968,4.47438,7.59396
System.Integumentary System.Skin.SKIN,0.113644,0.113644,2.41968,6.30103,8.88637
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,2.41968,6.1983,8.8243
System.Digestive System.Intestine.COLON,0.113644,0.113644,2.16272,7.26685,9.04481
System.Nervous System.CNS.CEREBELLUM,0.113644,1.81287,2.16272,2.41968,3.39116
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,2.16272,4.99416,7.43257
System.Cardiovascular System.Heart.HEART,0.113644,0.113644,2.16272,4.51527,6.96764
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,0.113644,2.16272,3.76961,4.79052
System.Digestive System.Intestine.COLON MUCOSA,0.113644,1.20968,2.16272,2.65671,7.26828
System.Immune System.Thymus.THYMUS,0.113644,1.20968,2.16272,3.05618,6.05447
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,1.20968,2.16272,4.88745,6.74339
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,1.81287,3.39116,8.09615
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,0.113644,1.81287,3.05618,4.37844
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,1.81287,2.77595,6.22456
