id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,7.33877,9.43823,10.0629,10.4259,10.8716
System.Cardiovascular System.Heart.VALVE,3.64478,6.2639,9.93761,11.1864,11.6291
System.Connective Tissue.Bone marrow.CHONDROCYTE,5.43598,8.80377,9.67695,10.9451,12.3696
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,7.09092,8.17773,8.84201,9.80277,10.8285
System.Nervous System.Eye.RETINA,0.113644,6.67736,8.83661,10.0235,11.6692
System.Cardiovascular System.Heart.HEART,3.05618,6.35023,8.73712,10.5354,11.6952
System.Muscular System.Smooth muscle.MYOFIBROBLAST,3.91156,7.11264,8.32825,9.05969,10.6142
System.Digestive System.Liver.HEPATIC STELLATE CELL,6.80002,7.51341,8.30029,9.36848,10.6315
System.Urogenital/Reproductive System.Ovary.OOCYTE,2.12774,6.23134,8.23044,9.74889,11.1884
System.Cardiovascular System.Heart.VENTRICLE,5.80432,7.1793,8.05707,8.94543,10.2992
System.Urogenital/Reproductive System.Ovary.GRANULOSA,3.12081,6.07935,7.77005,8.84238,11.3463
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.6418,6.79623,7.74633,8.91634,10.7964
System.Digestive System.Intestine.SMALL INTESTINE,1.20968,6.18093,7.71533,8.99778,10.4301
System.Integumentary System.Skin.FIBROBLAST,0.113644,5.62833,7.60281,8.82966,10.5878
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,5.761,7.54411,9.16955,10.0466
System.Integumentary System.Skin.HAIR FOLLICLE,1.21814,5.0127,7.47145,8.58937,10.0208
System.Connective Tissue.Bone.OSTEOBLAST,5.18601,6.71195,7.45757,8.17424,9.20923
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,3.14829,4.43111,7.32343,10.2182,11.7587
System.Immune System.Myeloid.MACROPHAGE,0.113644,5.47412,7.29945,8.64827,10.5906
System.Cardiovascular System.Heart.ATRIUM,4.68649,6.08218,7.03871,8.85432,10.2218
System.Nervous System.CNS.MEDULLA,3.20156,4.87982,7.03003,9.69815,12.2748
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,5.67642,6.29378,6.96109,7.86386,9.34784
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,6.93534,8.00148,9.28936
System.Immune System.Myeloid.KUPFFER CELL,3.05618,3.48123,6.87051,9.48281,9.72229
System.Nervous System.CNS.ASTROCYTE,0.113644,5.59303,6.83834,7.78223,9.72761
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,4.83123,6.04221,6.79614,7.56476,9.23021
System.Respiratory System.Lung.LUNG,0.113644,4.11061,6.59685,8.30694,10.3387
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,4.40871,6.56825,8.51173,11.199
System.Immune System.Myeloid.DENDRITIC CELL,1.81287,4.47438,6.42264,8.62278,10.6715
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,3.56825,6.39847,7.75933,9.7895
