id,min,q1,median,q3,max
System.Integumentary System.Skin.MELANOCYTE,9.10774,12.2808,14.553,15.2339,15.6852
System.Immune System.Myeloid.MACROPHAGE,6.4358,10.041,13.8901,15.0373,16.3707
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,11.9059,12.8274,13.719,14.3189,15.0614
System.Integumentary System.Skin.HAIR FOLLICLE,10.7959,11.6303,12.5168,13.4463,14.7359
System.Cardiovascular System.Heart.VENTRICLE,10.3548,11.5158,12.0834,12.5238,13.1431
System.Immune System.Myeloid.KUPFFER CELL,6.40588,10.1633,11.7129,12.3674,12.8498
System.Integumentary System.Skin.SKIN,4.11061,9.42075,11.6561,13.0268,14.0521
System.Cardiovascular System.Heart.VALVE,5.0129,7.41507,11.6502,12.0671,12.807
System.Immune System.Myeloid.DENDRITIC CELL,4.67269,6.72289,11.6375,13.6769,15.6852
System.Cardiovascular System.Heart.HEART,3.56825,8.26793,10.8927,11.8546,12.7905
System.Connective Tissue.Adipose tissue.ADIPOSE,8.59824,9.92253,10.8574,11.9031,13.1706
System.Nervous System.CNS.SPINAL CORD,2.41968,8.89184,10.7276,12.5722,13.948
System.Muscular System.Smooth muscle.MYOFIBROBLAST,6.85914,8.63767,10.6464,11.8755,13.0725
System.Connective Tissue.Bone.OSTEOBLAST,6.22977,8.00674,10.5733,11.8454,13.3591
System.Connective Tissue.Adipose tissue.ADIPOCYTE,4.85493,8.23902,10.4681,12.0361,13.5986
System.Integumentary System.Skin.FIBROBLAST,2.92457,7.41835,10.3981,11.8624,13.516
System.Cardiovascular System.Heart.ATRIUM,8.51715,9.73205,10.3969,10.8731,11.8206
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,2.41968,7.70909,10.0805,11.1808,13.1108
System.Integumentary System.Skin.KERATINOCYTE,5.07249,8.28634,9.84671,11.598,13.7319
System.Respiratory System.Trachea.TRACHEA,5.14128,7.61504,9.77414,11.6216,12.8
System.Connective Tissue.Bone marrow.CHONDROCYTE,2.81311,4.82927,9.71426,11.3792,12.5427
System.Connective Tissue.Bone.STROMAL CELL,0.113644,7.3806,9.37912,11.2252,13.0106
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,7.52504,9.1361,10.558,11.882
System.Immune System.Myeloid.MICROGLIA,2.61696,7.62734,8.87049,10.4166,15.0775
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,3.76961,8.23252,8.8032,9.44204,11.2485
System.Nervous System.CNS.MEDULLA,4.72064,7.31332,8.52956,11.4248,14.8264
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,5.94379,8.24342,10.0953,11.9223
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,5.4302,8.02123,8.9635,10.8429
System.Digestive System.Liver.LIVER,1.20968,5.59303,8.01158,9.4297,11.9529
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,4.83359,7.16556,7.96088,8.56311,9.59297
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,5.18857,7.53672,10.3357,12.2387
System.Urogenital/Reproductive System.Breast.BREAST,3.1737,5.10633,7.4407,10.2977,12.7785
System.Digestive System.Liver.HEPATIC STELLATE CELL,3.21828,5.31558,7.30561,9.90663,13.2004
System.Nervous System.CNS.HYPOTHALAMUS,3.67672,5.40837,7.24729,8.98432,11.5005
System.Nervous System.CNS.THALAMUS,3.25172,5.21546,7.24729,8.79247,11.2213
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,7.23213,8.52306,10.2951
System.Respiratory System.Lung.LUNG,2.41968,4.71212,7.19727,9.87999,13.177
System.Integumentary System.Skin.BASAL CELL,3.53847,6.01703,7.10186,10.4005,13.1366
System.Digestive System.Intestine.SMALL INTESTINE,1.10008,3.97909,6.9462,8.80184,10.3344
System.Nervous System.Eye.RETINA,0.113644,4.56034,6.86236,11.116,14.9608
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,3.39116,4.77752,6.80554,9.32058,11.9867
System.Digestive System.Pancreas.ALPHA CELL,0.113644,3.47971,6.35023,7.64908,8.72664
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,3.05618,6.30103,8.64827,10.6851
System.Digestive System.Intestine.COLON MUCOSA,3.02327,3.85779,6.01703,10.1141,12.2153
System.Nervous System.CNS.ASTROCYTE,2.16272,4.21911,6.01703,8.18352,11.4029
System.Immune System.Lymphoid.BLYMPHOCYTE,3.06205,5.20789,5.98306,7.07156,8.50216
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,2.22696,4.32281,5.97647,7.74981,12.4352
System.Urogenital/Reproductive System.Testis.TESTIS,1.20968,4.11061,5.93506,8.44624,11.3316
System.Digestive System.Intestine.COLON,0.113644,4.11061,5.91042,9.87403,11.873
System.Digestive System.Liver.HEPATOCYTE,3.1737,4.74622,5.88569,8.14304,11.3864
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,4.73437,5.5514,5.87595,6.44796,8.52354
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,3.86401,5.78326,6.74922,9.2876
System.Digestive System.Pancreas.BETA CELL,0.113644,3.48123,5.67402,7.8708,9.78414
System.Nervous System.CNS.PONS,0.113644,3.64478,5.61397,9.5331,13.2382
System.Nervous System.CNS.MIDBRAIN,0.113644,2.41968,5.61307,7.98911,9.09926
System.Nervous System.PNS.SENSORY NEURON,4.0854,4.93037,5.5331,6.2249,8.85353
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,3.24615,4.51527,5.28658,6.11189,8.39159
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,3.1737,5.18213,6.69105,10.0732
System.Urogenital/Reproductive System.Kidney.KIDNEY,2.41968,3.70787,5.10633,8.81277,11.7175
System.Urogenital/Reproductive System.Kidney.PODOCYTE,3.04301,3.97909,4.93037,5.8231,9.35779
System.Nervous System.PNS.MOTOR NEURON,0.113644,2.61696,4.80976,7.12679,8.85257
System.Immune System.Granulocytic.NEUTROPHIL,2.76005,3.89584,4.77752,7.808,10.1547
System.Immune System.Spleen.SPLEEN,0.113644,3.05618,4.71212,6.80572,9.83619
System.Immune System.Granulocytic.GRANULOCYTE,2.38933,3.56825,4.51527,5.60305,11.176
System.Nervous System.CNS.CEREBELLUM,2.63286,3.64478,4.51527,5.62355,8.78199
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.708372,2.26797,4.43812,6.01998,6.25723
System.Nervous System.CNS.NEURON,0.113644,2.92457,4.3519,6.70196,9.62186
System.Immune System.Lymphoid.TLYMPHOCYTE,2.16272,3.48123,4.21911,5.12981,7.65911
System.Immune System.Thymus.THYMOCYTE,2.80568,3.28517,4.11061,5.34282,7.28085
System.Immune System.Thymus.THYMUS,2.41968,3.39116,3.97909,5.12394,9.64324
System.Nervous System.CNS.CEREBRAL CORTEX,2.14523,2.56764,3.17067,4.00295,10.7356
System.Nervous System.CNS.OLIGODENDROCYTE,1.81287,2.16272,2.92457,4.19301,10.8744
