id,min,q1,median,q3,max
System.Connective Tissue.Bone marrow.CHONDROCYTE,2.65671,8.84607,9.47615,9.956,10.7632
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.2438,8.51095,8.86148,9.48224,10.2502
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,6.56004,7.89585,8.62357,9.18212,9.71409
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,6.29354,7.51942,8.48665,9.16299,10.1581
System.Digestive System.Liver.HEPATIC STELLATE CELL,6.55496,7.75933,8.25328,8.64543,9.18167
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.28517,5.74381,8.19063,8.84482,9.6118
System.Connective Tissue.Bone.OSTEOBLAST,6.80658,7.62877,8.10812,8.64324,9.51651
System.Immune System.Myeloid.DENDRITIC CELL,1.81287,3.76961,7.82916,9.52529,11.3275
System.Integumentary System.Skin.KERATINOCYTE,5.66201,7.17515,7.76936,8.18742,8.97037
System.Cardiovascular System.Heart.VALVE,4.63645,7.33029,7.76713,8.18644,8.68169
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,6.58919,7.09037,7.69174,8.34746,8.41486
System.Connective Tissue.Bone.STROMAL CELL,0.113644,6.78488,7.68261,8.38486,9.68263
System.Integumentary System.Skin.FIBROBLAST,0.113644,6.18762,7.67462,8.57341,9.76782
System.Urogenital/Reproductive System.Kidney.PODOCYTE,2.90971,7.1528,7.66804,8.3521,9.05978
System.Respiratory System.Trachea.TRACHEA,5.22479,6.99029,7.60901,8.18352,9.37111
System.Connective Tissue.Adipose tissue.ADIPOSE,4.43111,6.23741,7.57981,8.42013,9.0969
System.Integumentary System.Skin.SKIN,2.16272,6.35023,7.46426,8.39493,9.72643
System.Immune System.Myeloid.MACROPHAGE,3.56825,6.36501,7.33029,8.16697,9.35141
System.Connective Tissue.Adipose tissue.ADIPOCYTE,3.05618,5.40837,7.23213,8.13314,8.97562
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,5.82727,7.00003,7.97682,9.25493
System.Nervous System.CNS.ASTROCYTE,2.41968,5.12981,6.93534,7.94538,9.46332
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,2.9581,6.2639,6.89018,7.41654,8.03677
System.Integumentary System.Skin.BASAL CELL,2.97063,5.99799,6.86236,7.78955,9.04016
System.Immune System.Myeloid.MICROGLIA,2.61696,5.78326,6.86236,8.24012,9.98651
System.Digestive System.Intestine.COLON,0.113644,4.93037,6.79623,7.54934,8.72073
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,5.65482,6.78736,7.65605,9.14854
System.Respiratory System.Lung.LUNG,0.113644,5.31558,6.68963,7.81395,9.3039
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,3.05618,6.66685,8.40573,9.85278
System.Digestive System.Intestine.COLON MUCOSA,2.41968,3.52701,6.36637,7.85842,9.65252
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,4.00388,6.20187,7.85576,9.79423
System.Nervous System.CNS.MEDULLA,1.20968,3.76961,6.02403,8.57412,9.61321
System.Integumentary System.Skin.HAIR FOLLICLE,2.41968,4.53623,5.98509,6.82877,7.73792
System.Cardiovascular System.Heart.HEART,2.61696,4.47438,5.95167,7.48062,8.59882
System.Immune System.Myeloid.KUPFFER CELL,2.44927,2.77595,5.46096,7.63113,7.77748
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,4.16691,5.12981,6.58427,8.52437
System.Digestive System.Intestine.SMALL INTESTINE,2.41968,3.64478,5.02256,6.99629,8.75796
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,3.5465,4.11061,4.97847,6.05843,7.85181
System.Nervous System.CNS.SPINAL CORD,3.05618,4.05534,4.94657,6.09783,8.17111
System.Cardiovascular System.Heart.ATRIUM,3.81379,4.43111,4.82627,5.88757,7.74245
System.Cardiovascular System.Heart.VENTRICLE,3.56825,4.26947,4.79364,5.38652,7.59665
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,2.16272,4.6924,7.42671,9.29362
System.Nervous System.CNS.CEREBRAL CORTEX,2.57675,4.04248,4.62044,5.17098,7.78339
System.Nervous System.PNS.MOTOR NEURON,0.113644,2.41968,4.26947,6.51705,8.40602
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,1.81287,4.21911,7.04677,9.44831
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,1.81287,2.61696,4.00388,7.00594,8.99199
System.Nervous System.CNS.HYPOTHALAMUS,2.45913,3.39116,4.00388,5.15699,7.2397
System.Nervous System.CNS.THALAMUS,2.23763,3.43619,3.9543,4.29129,6.57379
System.Urogenital/Reproductive System.Kidney.KIDNEY,1.20968,2.92457,3.89584,6.06605,8.90214
System.Nervous System.CNS.NEURON,0.113644,2.41968,3.70787,5.63312,7.94538
System.Immune System.Thymus.THYMOCYTE,1.40029,2.92457,3.64478,5.12981,6.47945
System.Nervous System.CNS.PONS,0.113644,2.41968,3.64478,6.76675,9.03909
System.Digestive System.Liver.LIVER,0.113644,2.41968,3.56825,4.80976,8.27579
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,2.61696,3.56825,5.88569,7.88757
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,3.39116,6.94559,8.23061
System.Immune System.Spleen.SPLEEN,0.113644,2.16272,3.39116,4.63537,8.61868
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,2.61696,3.39116,4.68255,6.00298
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,2.16272,3.28517,5.7726,8.13637
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,3.28517,7.12833,9.11166
System.Nervous System.Eye.RETINA,0.113644,2.41968,3.28517,5.76006,8.1557
System.Immune System.Lymphoid.TLYMPHOCYTE,1.57159,2.61696,3.28517,4.11061,6.42053
System.Nervous System.PNS.SENSORY NEURON,1.20968,1.81287,3.1737,4.31312,5.45055
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,2.99037,5.83967,8.9565
System.Immune System.Thymus.THYMUS,1.20968,2.41968,2.92457,3.56825,4.93523
System.Digestive System.Liver.HEPATOCYTE,0.113644,1.81287,2.77595,4.38682,8.13747
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,2.77595,7.06629,8.76018
System.Nervous System.CNS.CEREBELLUM,1.81287,2.41968,2.77595,3.05618,6.9754
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,1.81287,2.77595,4.04248,6.06112
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,1.90033,2.61696,3.14432,4.19798
System.Nervous System.CNS.OLIGODENDROCYTE,1.81287,2.41968,2.61696,3.9543,6.6302
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,2.41968,6.9754,8.79012
System.Digestive System.Pancreas.BETA CELL,0.113644,1.20968,2.41968,3.41368,7.63374
System.Integumentary System.Skin.MELANOCYTE,0.113644,1.20968,2.16272,4.68849,8.15911
