id,min,q1,median,q3,max
System.Immune System.Myeloid.KUPFFER CELL,5.46804,6.99098,10.4971,12.2464,12.3996
System.Digestive System.Liver.LIVER,0.113644,1.20968,9.38595,12.4086,13.0612
System.Digestive System.Liver.HEPATOCYTE,0.113644,1.20968,8.76542,11.1544,13.0371
System.Connective Tissue.Adipose tissue.ADIPOSE,1.81287,5.91845,7.72768,9.0288,10.3526
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,1.20968,7.66804,9.83453,11.2132
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,5.61453,6.56004,7.56734,8.72465,10.4796
System.Connective Tissue.Adipose tissue.ADIPOCYTE,1.81287,4.80976,6.89949,9.14036,12.2648
System.Digestive System.Liver.HEPATIC STELLATE CELL,3.64478,5.15699,6.75783,8.24738,10.169
System.Cardiovascular System.Heart.VALVE,0.113644,5.04875,6.52121,7.28609,8.18368
System.Immune System.Myeloid.MACROPHAGE,0.113644,2.92457,6.18762,8.11086,10.5798
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,2.469,6.1521,9.2327,11.1179
System.Nervous System.CNS.CEREBELLUM,1.20968,3.92507,6.14657,7.47713,8.8446
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,2.16272,5.6831,7.46181,9.73427
System.Integumentary System.Skin.BASAL CELL,0.113644,1.20968,5.31231,7.20772,9.00125
System.Cardiovascular System.Heart.VENTRICLE,2.77595,4.31312,4.88649,5.59303,7.04658
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,0.113644,4.80976,7.53683,11.3148
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,3.1737,4.51527,5.3649,7.37806
System.Cardiovascular System.Heart.HEART,0.113644,1.81287,4.51527,6.39847,9.24055
System.Cardiovascular System.Heart.ATRIUM,0.113644,1.66207,3.89324,4.94631,6.11455
System.Respiratory System.Trachea.TRACHEA,0.113644,1.81287,3.76961,6.38743,9.92377
System.Integumentary System.Skin.KERATINOCYTE,0.113644,1.81287,3.56825,4.80976,7.69104
System.Integumentary System.Skin.SKIN,0.113644,0.113644,3.1737,6.18762,8.76939
System.Nervous System.CNS.SPINAL CORD,0.113644,2.16272,2.92457,3.48123,4.57003
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,2.61696,5.32239,10.2774
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,1.20968,2.61696,4.96766,8.50836
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,2.41968,5.17585,11.5857
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,0.113644,2.16272,3.76961,7.03234
System.Nervous System.CNS.THALAMUS,0.113644,0.113644,1.81287,3.76961,5.99131
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,1.81287,3.48123,7.44191
System.Nervous System.CNS.HYPOTHALAMUS,0.113644,0.113644,1.81287,3.05618,6.11275
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,1.81287,11.4531,14.2332
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,1.20968,4.51527,7.78699
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,0.113644,1.20968,2.41968,3.28071
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,1.20968,3.05618,6.22353
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,0.963256,1.96457,3.55538
System.Digestive System.Intestine.COLON,0.113644,0.113644,0.113644,2.77595,5.96664
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,2.41968
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,4.47438
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,0.113644,1.81287,7.32996
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,4.59911,9.92168
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,0.113644,0.113644,2.13293
System.Nervous System.CNS.NEURON,0.113644,0.113644,0.113644,0.113644,2.16272
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.113644,0.113644,4.74629
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.113644,0.113644,0.113644,2.19338
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,0.113644,3.04913,5.89387
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,0.113644,2.16272,5.6811
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,0.113644,1.20968,4.31312
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,2.39398
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,3.05618
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,1.20968,3.56825
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,2.41968,5.24516
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,0.113644,1.20968,4.11061
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,0.113644,0.113644,4.74111
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,2.16272,5.02256
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,0.113644,0.990474
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,1.20968,2.77595
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,1.81287,4.5345
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,0.113644,3.1737
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,0.113644,2.16272,6.21406
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,0.113644,2.16272,4.98631
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,0.113644,0.113644,1.81287
System.Respiratory System.Lung.LUNG,0.113644,0.113644,0.113644,4.21911,7.73975
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,2.77595,5.93591
