id,min,q1,median,q3,max
System.Cardiovascular System.Heart.VALVE,5.20402,7.24428,10.6913,11.3362,12.2222
System.Cardiovascular System.Heart.VENTRICLE,7.05715,9.14505,9.91591,10.571,11.2477
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,6.35615,8.09873,9.37661,10.1263,11.1298
System.Cardiovascular System.Heart.ATRIUM,3.01176,7.36573,9.0227,10.4825,11.0931
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,7.23277,8.60063,9.23839,10.0298
System.Connective Tissue.Bone marrow.CHONDROCYTE,5.11079,6.74982,8.55041,10.131,11.3517
System.Digestive System.Liver.HEPATIC STELLATE CELL,5.73321,7.08465,8.12393,8.97262,11.3904
System.Connective Tissue.Adipose tissue.ADIPOCYTE,4.86561,6.49365,7.78223,8.98432,10.4397
System.Connective Tissue.Adipose tissue.ADIPOSE,4.58942,6.63774,7.7375,8.95685,10.8522
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,1.20968,7.51341,9.08173,10.9039
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.7452,5.3649,7.10985,8.78698,10.4618
System.Muscular System.Smooth muscle.MYOFIBROBLAST,4.81994,6.0574,6.92122,7.77722,9.49246
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,3.28517,6.56568,9.1045,11.6475
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,3.76961,6.48238,8.00799,9.959
System.Connective Tissue.Bone.OSTEOBLAST,4.12074,5.51459,6.42922,8.26245,9.91143
System.Integumentary System.Skin.SKIN,0.113644,1.81287,5.90239,8.19063,10.2209
System.Integumentary System.Skin.FIBROBLAST,0.113644,2.77595,5.8662,7.69006,9.93988
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.81287,5.18213,7.31132,10.2364
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,5.12981,7.3023,9.39483
System.Immune System.Myeloid.MACROPHAGE,0.113644,2.41968,4.89983,6.39847,8.15951
System.Cardiovascular System.Heart.HEART,0.113644,1.20968,4.84279,9.03285,10.9545
System.Digestive System.Intestine.COLON MUCOSA,0.113644,3.39116,4.82627,5.75367,6.6544
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,1.81287,4.71212,10.2338,12.32
System.Immune System.Myeloid.KUPFFER CELL,1.81287,2.41968,4.51214,6.22803,7.12557
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,1.20968,4.43111,8.70772,12.1832
System.Urogenital/Reproductive System.Kidney.PODOCYTE,1.75255,2.92457,4.26947,5.00836,7.06311
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,2.16272,4.26947,5.59303,7.27416
