id,min,q1,median,q3,max
System.Cardiovascular System.Heart.VALVE,12.1425,13.3061,13.9751,14.5356,15.1641
System.Connective Tissue.Bone.OSTEOBLAST,12.0102,12.5143,13.6118,14.1893,14.9964
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,7.5423,12.7997,13.4553,13.8901,14.4612
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,9.56963,12.2499,13.2896,13.5267,14.0377
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.88117,9.75081,13.2064,14.2019,14.9876
System.Urogenital/Reproductive System.Kidney.PODOCYTE,8.92487,11.8827,13.1266,14.3778,14.8264
System.Digestive System.Liver.HEPATIC STELLATE CELL,10.9905,12.1967,13.0382,13.719,14.3304
System.Cardiovascular System.Heart.HEART,4.67269,11.3613,12.8803,13.6565,14.766
System.Cardiovascular System.Heart.VENTRICLE,11.6908,12.4415,12.7591,13.0785,14.2395
System.Integumentary System.Skin.MELANOCYTE,8.19019,11.34,12.5273,13.2719,14.3694
System.Connective Tissue.Bone.STROMAL CELL,6.69486,11.1648,12.3527,13.5716,14.5294
System.Connective Tissue.Adipose tissue.ADIPOCYTE,9.32085,11.0258,12.2587,13.4726,14.3304
System.Cardiovascular System.Heart.ATRIUM,7.00051,8.82475,11.8702,12.6887,13.3799
System.Connective Tissue.Bone marrow.CHONDROCYTE,4.25231,10.2849,11.7532,12.7882,13.5467
System.Connective Tissue.Adipose tissue.ADIPOSE,9.831,11.4116,11.724,12.1838,13.5716
System.Integumentary System.Skin.HAIR FOLLICLE,8.84293,10.2513,11.6619,13.258,14.0189
System.Digestive System.Intestine.SMALL INTESTINE,1.20968,9.1195,11.6239,13.2647,14.7959
System.Respiratory System.Trachea.TRACHEA,7.50679,10.0971,11.4883,12.1331,14.0319
System.Integumentary System.Skin.FIBROBLAST,2.16272,8.8289,11.0965,12.6507,14.2816
System.Urogenital/Reproductive System.Ovary.GRANULOSA,1.54143,5.49349,11.0277,13.7756,14.7055
System.Nervous System.CNS.SPINAL CORD,6.31888,10.3098,10.9988,11.5283,12.23
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.86398,10.1399,10.9388,11.7684,13.247
System.Digestive System.Liver.LIVER,1.20968,8.23044,10.8678,11.7747,13.3006
System.Integumentary System.Skin.SKIN,2.93773,9.255,10.7337,11.7931,13.2506
System.Integumentary System.Skin.KERATINOCYTE,7.94446,9.59131,10.7216,11.4602,12.3881
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,9.44318,10.61,12.2315,13.353
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,7.01059,10.0751,10.5565,11.3131,12.4555
System.Nervous System.CNS.MEDULLA,1.20968,5.22084,10.3256,11.7611,14.9926
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,8.69555,10.242,11.4933,12.9766
System.Nervous System.CNS.HYPOTHALAMUS,6.85561,9.62186,10.2086,10.9808,13.0079
System.Integumentary System.Skin.BASAL CELL,7.42791,9.14993,10.1926,10.9751,12.2283
System.Nervous System.CNS.THALAMUS,2.16272,7.38194,10.0073,10.8079,13.0025
System.Digestive System.Intestine.COLON MUCOSA,2.35544,5.11696,9.9529,12.054,14.1764
System.Digestive System.Pancreas.ALPHA CELL,0.113644,8.89356,9.93459,11.2005,13.9934
System.Urogenital/Reproductive System.Ovary.OVARY,0.826068,7.02939,9.92688,12.3842,14.2341
System.Nervous System.CNS.ASTROCYTE,1.20968,5.04875,9.72661,12.202,14.4612
System.Immune System.Myeloid.KUPFFER CELL,4.21911,4.58942,9.70824,14.5114,14.654
System.Urogenital/Reproductive System.Kidney.KIDNEY,3.05618,4.81802,9.20348,12.7939,14.736
System.Respiratory System.Lung.LUNG,0.113644,5.91845,9.10164,11.2469,13.0036
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,6.02134,9.00189,10.9257,13.9007
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,7.1583,8.9972,10.9905,13.5643
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,8.53541,10.3669,12.5596
System.Digestive System.Pancreas.BETA CELL,2.64081,5.0422,8.1195,9.73335,12.4292
System.Nervous System.Eye.RETINA,0.113644,6.65889,7.93315,12.0763,14.1434
System.Nervous System.CNS.PONS,0.113644,5.4302,7.89087,10.0208,12.7396
System.Digestive System.Intestine.COLON,0.113644,2.41968,7.70672,10.8003,12.956
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,2.92457,7.54934,11.1998,13.5104
System.Immune System.Myeloid.MACROPHAGE,3.05618,6.66685,7.53071,8.3629,9.70561
System.Immune System.Granulocytic.GRANULOCYTE,3.89584,6.61686,7.41203,8.72587,11.7973
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,5.4511,6.4995,7.28315,9.13545,11.4409
System.Immune System.Myeloid.MICROGLIA,0.113644,3.9543,7.28076,8.70389,10.2307
System.Immune System.Granulocytic.NEUTROPHIL,3.76961,6.54466,7.23213,7.75625,8.91212
System.Digestive System.Liver.HEPATOCYTE,2.61696,4.71212,6.9754,10.4202,12.1062
System.Immune System.Myeloid.DENDRITIC CELL,3.53029,5.65482,6.71195,8.28081,10.0251
System.Nervous System.CNS.CEREBRAL CORTEX,1.15488,3.05618,6.25393,9.08084,11.2215
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,2.67261,2.98612,6.0121,8.70819,8.82317
System.Nervous System.PNS.SENSORY NEURON,3.1737,4.00388,5.98306,7.27337,10.0048
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,1.20968,5.84343,11.9651,14.3819
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,3.86082,4.93706,5.80336,8.40577,9.64249
System.Nervous System.CNS.MIDBRAIN,0.113644,1.81287,5.64397,9.41491,12.0711
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,5.63312,8.75978,11.2223
System.Immune System.Spleen.SPLEEN,0.113644,2.61696,5.45333,9.91936,12.3542
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,1.90033,5.34024,6.80113,14.5598
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,2.41968,5.30108,9.7875,11.8266
System.Nervous System.CNS.CEREBELLUM,2.16272,4.56034,5.28658,6.61965,9.93169
System.Nervous System.CNS.NEURON,0.113644,2.77595,5.18213,8.10195,11.2469
System.Nervous System.CNS.OLIGODENDROCYTE,2.41968,3.33816,5.04875,7.5787,10.6302
System.Immune System.Thymus.THYMUS,1.04528,2.77595,4.29129,7.60312,11.0637
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,2.16272,3.39116,4.87314,8.20387
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,1.20968,3.05618,8.76498,10.1829
System.Immune System.Thymus.THYMOCYTE,2.16272,2.41968,3.05618,9.58938,10.7252
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,8.11366,9.94867
