id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,10.0058,11.842,12.6003,12.983,13.4274
System.Connective Tissue.Bone marrow.CHONDROCYTE,2.92457,10.362,11.5364,12.3658,13.4127
System.Cardiovascular System.Heart.VALVE,9.47931,10.7072,11.4421,12.1068,12.821
System.Connective Tissue.Adipose tissue.ADIPOCYTE,8.36176,9.98841,11.1975,12.0395,13.2761
System.Immune System.Myeloid.KUPFFER CELL,10.4615,10.6476,11.0065,13.4942,13.8349
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.35909,9.14581,10.9708,12.3633,14.0118
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.61186,8.39143,10.8387,11.8608,12.3869
System.Digestive System.Liver.LIVER,5.31558,9.15998,10.7868,11.3924,12.3227
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,6.71003,9.28129,10.5678,11.4643,13.0338
System.Connective Tissue.Bone.OSTEOBLAST,6.4358,8.43749,10.5423,11.5992,13.0145
System.Connective Tissue.Adipose tissue.ADIPOSE,8.08888,8.93279,10.2776,11.1966,12.4773
System.Integumentary System.Skin.SKIN,3.28517,8.36131,10.2739,11.1168,12.4359
System.Connective Tissue.Bone.STROMAL CELL,0.113644,8.84192,10.1628,11.2382,13.0725
System.Immune System.Myeloid.DENDRITIC CELL,3.05618,7.67133,10.077,11.1232,12.0194
System.Digestive System.Liver.HEPATOCYTE,6.48464,9.32468,10.07,10.7252,11.6986
System.Integumentary System.Skin.FIBROBLAST,1.81287,7.87338,9.93001,11.3983,12.7725
System.Cardiovascular System.Heart.VENTRICLE,8.2771,9.27441,9.78303,10.3565,11.613
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,4.96278,8.9053,9.65903,10.6452,11.4352
System.Integumentary System.Skin.HAIR FOLLICLE,7.01109,8.61605,9.56489,10.2575,10.9399
System.Immune System.Granulocytic.GRANULOCYTE,2.16272,5.65995,9.31691,10.2207,10.5863
System.Cardiovascular System.Heart.ATRIUM,7.79333,8.68549,9.27815,10.0287,11.5772
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,8.24186,9.27797,10.6475,11.8875
System.Immune System.Granulocytic.NEUTROPHIL,4.80654,7.14364,8.97562,10.5881,11.5783
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,5.64335,8.97186,10.375,11.9084
System.Nervous System.CNS.MEDULLA,2.50874,7.87474,8.8275,9.78666,11.1541
System.Cardiovascular System.Heart.HEART,3.83218,7.81395,8.79012,9.68003,12.1823
System.Digestive System.Intestine.SMALL INTESTINE,3.38056,5.67006,8.57032,9.92221,11.4928
System.Respiratory System.Lung.LUNG,1.20968,6.58321,8.56328,10.0971,12.1988
System.Digestive System.Pancreas.ALPHA CELL,0.113644,7.28101,8.51328,9.75323,11.9495
System.Immune System.Myeloid.MACROPHAGE,4.40454,7.03085,8.4916,10.1517,11.5824
System.Respiratory System.Trachea.TRACHEA,6.62013,7.64512,8.46608,9.63172,11.616
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,5.42238,7.56115,8.44788,8.99483,9.51006
System.Integumentary System.Skin.BASAL CELL,6.70545,7.63609,8.37164,9.45371,10.7719
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,4.14825,7.86549,8.33012,9.03441,11.223
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,5.23639,6.66685,8.19528,9.29253,10.8011
System.Urogenital/Reproductive System.Kidney.PODOCYTE,6.21854,7.33108,8.13314,8.80021,9.65056
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,8.08888,10.0208,11.5686
System.Nervous System.CNS.SPINAL CORD,3.05618,6.27106,7.66284,8.66681,9.5235
System.Urogenital/Reproductive System.Breast.BREAST,3.1737,6.33362,7.58896,9.21486,11.6947
System.Urogenital/Reproductive System.Kidney.KIDNEY,1.81287,3.76961,7.38969,9.28798,10.8869
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,3.52362,4.44692,7.25252,9.76085,9.98893
System.Integumentary System.Skin.KERATINOCYTE,4.68952,6.59685,7.24729,8.22586,10.5724
System.Digestive System.Intestine.COLON,0.113644,4.89983,7.19727,9.29886,11.1457
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,2.88741,7.1316,10.1579,12.4534
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,4.97847,6.9828,9.09773,11.1744
System.Nervous System.CNS.PONS,0.113644,3.83218,6.90917,9.41696,11.0246
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,4.05534,6.87612,8.49318,10.828
System.Nervous System.CNS.ASTROCYTE,2.16272,4.3519,6.68963,9.04527,11.6487
