id,min,q1,median,q3,max
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,6.82203,9.91484,11.3967,12.8241
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,2.61696,8.55124,11.5121,13.1528
System.Muscular System.Smooth muscle.MYOFIBROBLAST,3.15896,6.73422,7.77393,9.18182,12.9928
System.Digestive System.Liver.HEPATIC STELLATE CELL,3.10318,5.57065,7.47443,8.69932,12.208
System.Connective Tissue.Bone.STROMAL CELL,0.113644,2.16272,6.8949,9.41061,11.8316
System.Connective Tissue.Bone.OSTEOBLAST,3.1737,4.85038,6.8949,8.76476,11.0586
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,3.64478,6.70196,9.16516,11.5206
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,3.70787,5.20789,6.62962,8.00587,9.22437
System.Cardiovascular System.Heart.VALVE,2.58736,4.33154,5.99052,7.86102,9.75377
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,2.61696,5.91845,10.5318,14.654
System.Integumentary System.Skin.FIBROBLAST,0.113644,1.20968,5.66442,8.41736,11.3304
System.Immune System.Myeloid.KUPFFER CELL,0.113644,1.81287,5.6234,12.2388,13.5045
System.Immune System.Myeloid.MACROPHAGE,0.113644,1.81287,5.45333,9.31551,12.8134
System.Cardiovascular System.Heart.HEART,0.113644,2.16272,5.23546,8.17054,10.3338
System.Respiratory System.Trachea.TRACHEA,0.113644,1.81287,4.51527,6.86236,10.418
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,4.47438,7.2636,10.2677
System.Respiratory System.Lung.LUNG,0.113644,0.113644,4.11061,6.93534,10.8773
System.Cardiovascular System.Heart.VENTRICLE,1.20968,2.77595,3.9543,5.35375,8.35194
System.Integumentary System.Skin.MELANOCYTE,0.113644,2.77595,3.92507,5.47796,9.10272
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,3.80089,6.68317,13.0226
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,1.65045,3.77366,5.00781,5.10144
System.Cardiovascular System.Heart.ATRIUM,0.113644,2.16272,3.56825,7.0895,9.77565
System.Integumentary System.Skin.KERATINOCYTE,0.113644,1.20968,3.1737,5.10633,8.79393
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,3.05618,4.90746,9.89232
System.Integumentary System.Skin.SKIN,0.113644,0.113644,3.05618,6.9754,10.9312
System.Nervous System.CNS.MEDULLA,0.113644,1.20968,2.69645,7.03371,9.66916
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,1.20968,2.61696,5.45216,9.3693
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,1.20968,2.41968,4.65429,11.0545
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,2.16272,6.16133,10.6541
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,0.113644,2.16272,4.38682,10.965
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,1.81287,4.43111,8.32484
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,1.81287,4.59911,9.19149
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,1.81287,4.72917,8.06937
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,1.6862,5.10033,7.6867
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,0.113644,1.20968,3.05618,8.06575
System.Nervous System.CNS.HYPOTHALAMUS,0.113644,0.113644,1.20968,1.81287,3.02289
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,0.113644,1.20968,2.61696,5.87938
System.Digestive System.Intestine.COLON,0.113644,0.113644,1.20968,2.92457,8.34774
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,1.20968,2.77595,7.26034
System.Digestive System.Liver.LIVER,0.113644,0.113644,1.20968,3.64478,9.14959
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,0.113644,1.20968,6.5167,10.4714
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,1.20968,3.87992,8.23907
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,1.20968,6.01703,11.6886
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.113644,1.20968,5.2822,9.01759
System.Nervous System.CNS.PONS,0.113644,0.113644,1.20968,3.56825,9.48081
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,1.20968,4.17996,7.93494
System.Nervous System.Eye.RETINA,0.113644,0.113644,1.20968,3.70787,7.5885
System.Nervous System.CNS.THALAMUS,0.113644,0.113644,1.20968,2.16272,3.1737
System.Nervous System.CNS.SPINAL CORD,0.113644,0.113644,1.20968,1.81287,3.20156
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,1.81287,8.94335
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,0.113644,2.16272,6.14266
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,0.113644,4.57732
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,3.28517,6.0056
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,1.81287,7.21197
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,0.113644,1.69223
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,0.113644,7.86193
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,0.113644,1.20968,3.5834
System.Nervous System.CNS.NEURON,0.113644,0.113644,0.113644,0.113644,3.05618
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.113644,0.113644,9.53349
System.Nervous System.CNS.CEREBELLUM,0.113644,0.113644,0.113644,0.113644,3.28517
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.113644,0.113644,1.20968,4.60964
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,0.113644,3.56825,7.87812
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,0.113644,3.93598
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,1.81287
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,2.92457,9.83434
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,2.77595,6.85952
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,0.113644,3.11141,10.4387
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,0.113644,0.771267
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,0.113644,0.113644,1.81287
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,2.41968,6.86607
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,0.113644,2.77595,8.74497
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,0.113644,3.69163,7.0269
