id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,4.17416,10.286,11.8061,13.0046,14.0922
System.Connective Tissue.Bone.OSTEOBLAST,8.1396,10.655,11.7802,13.1485,13.8767
System.Connective Tissue.Bone.STROMAL CELL,6.82078,10.3336,11.6303,12.608,13.7206
System.Urogenital/Reproductive System.Kidney.PODOCYTE,3.28517,9.06522,11.3613,12.2755,12.7175
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.15299,9.46332,10.8164,11.9256,13.6208
System.Integumentary System.Skin.KERATINOCYTE,5.20274,8.90451,10.7044,11.7283,12.8378
System.Connective Tissue.Bone marrow.CHONDROCYTE,3.33418,8.37679,10.4804,13.3511,16.5074
System.Integumentary System.Skin.HAIR FOLLICLE,4.12643,6.63635,9.84932,11.4323,12.8267
System.Integumentary System.Skin.FIBROBLAST,0.113644,7.18296,9.84878,11.8353,13.9947
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.15083,8.42433,9.70115,12.0003,13.8241
System.Urogenital/Reproductive System.Ovary.GRANULOSA,4.35837,6.67568,9.48244,11.0296,12.1798
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,7.49526,9.43203,10.8192,12.0687
System.Cardiovascular System.Heart.HEART,2.41968,5.70924,9.32737,12.1812,13.1746
System.Connective Tissue.Adipose tissue.ADIPOCYTE,2.68055,5.82639,8.97262,11.2146,13.0617
System.Immune System.Myeloid.DENDRITIC CELL,1.20968,4.79364,8.78132,11.9808,14.6025
System.Immune System.Myeloid.KUPFFER CELL,4.4505,5.11696,8.74294,12.0898,13.8742
System.Cardiovascular System.Heart.VALVE,4.28274,6.41671,8.68576,10.4236,11.482
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,7.47796,8.08543,8.56752,9.35141,10.4235
System.Integumentary System.Skin.BASAL CELL,3.09731,6.04903,8.56232,9.97939,11.8472
System.Immune System.Myeloid.MACROPHAGE,2.2655,5.63312,8.47383,10.628,12.8666
System.Digestive System.Pancreas.ALPHA CELL,0.113644,6.44179,8.43178,9.94293,11.861
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,8.19468,10.2534,12.7458
System.Integumentary System.Skin.SKIN,2.41968,5.40837,8.03109,10.5967,13.8536
System.Respiratory System.Trachea.TRACHEA,2.77595,5.49388,7.83293,10.5591,12.3543
System.Digestive System.Pancreas.BETA CELL,1.20968,3.64478,7.66158,9.87403,12.0295
System.Urogenital/Reproductive System.Ovary.OVARY,2.04027,5.29383,7.61169,9.81409,12.0801
System.Digestive System.Liver.LIVER,1.20968,5.45333,7.25523,8.57341,10.6301
System.Nervous System.CNS.MEDULLA,1.81287,4.45215,7.1681,9.58278,12.9227
System.Digestive System.Liver.HEPATOCYTE,3.56825,5.63312,7.00003,8.43746,10.2482
System.Nervous System.CNS.SPINAL CORD,2.41968,5.91845,6.73635,7.31657,8.03713
System.Respiratory System.Lung.LUNG,0.113644,3.05618,6.65623,9.9103,12.3844
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,3.83218,6.52685,8.80701,10.787
System.Nervous System.CNS.ASTROCYTE,1.81287,3.83218,6.26032,9.60298,12.8559
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,3.1737,6.21406,7.83252,9.9176
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,3.1737,6.20187,9.9264,11.9469
System.Immune System.Myeloid.MICROGLIA,2.41968,4.38682,6.13094,7.74139,9.47784
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,3.97909,6.11658,8.29638,9.66553
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,3.05618,6.01703,8.85863,11.837
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,4.19301,5.99799,7.95221,11.4062
System.Cardiovascular System.Heart.VENTRICLE,3.83218,4.93037,5.83491,6.84726,9.69985
System.Nervous System.CNS.CEREBRAL CORTEX,3.02435,3.71927,5.55467,7.63398,8.80442
System.Nervous System.Eye.RETINA,0.113644,3.39116,5.46373,7.67462,11.8574
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,2.16272,3.93968,5.17089,7.1969,10.0411
System.Cardiovascular System.Heart.ATRIUM,3.09731,3.99148,5.12901,7.66112,9.82926
System.Nervous System.PNS.MOTOR NEURON,0.113644,3.1737,5.10633,6.52893,8.85693
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,1.81287,4.11061,5.07842,7.35435,10.9486
System.Nervous System.CNS.OLIGODENDROCYTE,1.81287,3.11494,4.89983,6.82866,9.46397
System.Connective Tissue.Adipose tissue.ADIPOSE,2.41968,3.48123,4.84279,6.42264,11.3239
System.Nervous System.CNS.HYPOTHALAMUS,2.25357,3.39116,4.77752,5.81111,7.95592
System.Nervous System.CNS.THALAMUS,2.48069,3.52474,4.77752,5.91042,8.15691
System.Integumentary System.Skin.MELANOCYTE,0.113644,2.16272,4.57973,7.66923,11.7168
System.Urogenital/Reproductive System.Kidney.KIDNEY,1.20968,3.05618,4.40897,6.53965,10.2184
System.Nervous System.CNS.NEURON,0.113644,2.61696,4.31312,6.31418,9.37075
System.Nervous System.CNS.CEREBELLUM,2.77595,3.48123,3.9543,4.56034,6.62751
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,2.61696,3.89324,5.24162,7.63686
System.Digestive System.Intestine.COLON MUCOSA,1.20968,2.41968,3.85588,9.67616,12.1542
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,2.77595,3.80089,5.77684,11.2278
System.Nervous System.CNS.PONS,0.113644,1.81287,3.76961,8.06575,11.729
System.Immune System.Thymus.THYMOCYTE,0.113644,2.92457,3.48123,4.11061,5.6225
System.Nervous System.CNS.MIDBRAIN,0.113644,1.36048,3.39116,6.64302,10.1775
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,1.20968,3.1737,8.09102,10.0876
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,3.1737,7.53071,11.8108
System.Digestive System.Intestine.COLON,0.113644,1.81287,3.05618,5.40837,10.3418
System.Nervous System.PNS.SENSORY NEURON,0.113644,1.9878,2.77595,4.03137,7.4633
System.Immune System.Spleen.SPLEEN,0.113644,1.20968,2.61696,4.05534,7.69953
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,1.20968,2.61696,4.84279,7.21003
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,1.20968,2.61696,3.6921,5.75516
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.708372,1.81287,2.29441,3.71792,4.66316
System.Immune System.Thymus.THYMUS,0.113644,1.20968,2.16272,3.83218,6.9399
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,1.81287,3.02327,5.40727
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,1.20968,1.81287,3.1737,6.55788
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,6.28067,8.75978
