id,min,q1,median,q3,max
System.Cardiovascular System.Heart.VALVE,0.113644,5.90822,12.0918,12.516,12.8288
System.Connective Tissue.Bone marrow.CHONDROCYTE,3.60316,10.7265,11.5966,12.7371,13.4125
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,9.88473,10.6835,11.5506,12.0024,12.5422
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,6.12232,8.42438,11.0463,12.5816,14.6503
System.Connective Tissue.Bone.STROMAL CELL,0.113644,8.11585,10.105,11.5457,13.0737
System.Connective Tissue.Adipose tissue.ADIPOSE,7.17067,9.148,9.7182,10.2287,11.6668
System.Connective Tissue.Adipose tissue.ADIPOCYTE,2.16272,7.86326,9.34648,10.8215,12.098
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,4.17042,8.441,9.87418,11.8634
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,7.2636,8.12696,8.92409,10.3074
System.Cardiovascular System.Heart.VENTRICLE,5.26912,6.71195,8.09951,9.07548,10.9111
System.Cardiovascular System.Heart.ATRIUM,2.97063,6.19782,8.04335,8.65644,9.56403
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,4.32318,7.928,10.4816,11.9465
System.Cardiovascular System.Heart.HEART,0.113644,4.56034,7.58896,9.15338,11.13
System.Integumentary System.Skin.SKIN,0.113644,2.16272,7.57242,9.91936,12.2782
System.Integumentary System.Skin.FIBROBLAST,0.113644,2.16272,7.14836,10.36,12.5134
System.Muscular System.Smooth muscle.MYOFIBROBLAST,3.64478,4.87279,6.89305,9.48508,10.9614
System.Digestive System.Liver.HEPATIC STELLATE CELL,1.20968,4.63537,6.63774,9.50579,11.1402
System.Nervous System.CNS.SPINAL CORD,2.41968,5.01546,6.4358,8.0669,9.89424
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,2.16272,6.38743,7.82763,10.0944
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,1.20968,6.11658,9.1625,10.9657
System.Nervous System.CNS.HYPOTHALAMUS,2.54698,4.56034,5.72615,8.72108,11.642
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,5.57221,9.78183,11.8077
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,2.77595,4.15284,5.54345,8.61956,10.3755
System.Digestive System.Intestine.COLON MUCOSA,0.935672,3.11141,5.27627,8.34573,10.5479
System.Nervous System.CNS.THALAMUS,2.41968,3.47165,5.04875,7.70798,10.76
System.Digestive System.Liver.LIVER,0.113644,0.113644,4.67269,6.26032,8.72704
System.Nervous System.CNS.MEDULLA,0.113644,2.469,4.29129,7.58169,10.1733
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,3.92746,7.09442,8.11372
System.Nervous System.CNS.ASTROCYTE,0.113644,1.20968,3.39116,5.4302,8.45606
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,3.1737,6.93534,10.813
System.Digestive System.Intestine.COLON,0.113644,0.113644,2.77595,6.6642,9.58474
System.Nervous System.Eye.RETINA,0.113644,0.113644,2.77595,4.00388,9.13346
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,1.20968,2.51832,4.03056,5.19235
System.Respiratory System.Lung.LUNG,0.113644,0.113644,2.16272,4.89983,9.66068
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,2.16272,6.1983,12.4222
System.Nervous System.CNS.NEURON,0.113644,0.113644,2.16272,4.11061,8.05298
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,2.16272,3.75418,4.88248
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,1.9878,5.13771,9.50444
System.Nervous System.CNS.CEREBELLUM,0.113644,1.20968,1.81287,3.05618,7.48094
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,1.20968,3.83218,7.74435
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,1.20968,5.74381,9.36237
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,1.20968,3.83943,7.93686
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,1.20968,8.26994,10.6037
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,1.20968,2.41968,5.00439
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,3.11141
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,10.4806
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,0.113644,2.41968,7.68408
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,6.6642
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,2.99471
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,1.81287
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,2.61696
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,0.113644,1.81287,4.861
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,0.113644,3.83218,6.17231
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,0.113644,7.38969
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,0.113644,3.70158
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,2.16272,9.21148
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,4.12718
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,2.41968,5.45333
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,4.26947,8.83147
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,0.113644
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,0.113644,5.25829
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,0.113644,0.113644,1.20968
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,2.16272,5.31558
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,0.113644,4.31312,9.65144
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,0.113644,3.11494,11.4373
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,1.20968,3.48123
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,3.1737,9.91108
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,2.41968,8.04127
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,2.61696,5.25001
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,0.113644,2.61696,4.82462
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,0.113644,3.94531,7.80665
System.Nervous System.CNS.PONS,0.113644,0.113644,0.113644,4.56034,9.87916
