id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,5.75089,9.1919,10.449,11.0772,11.4883
System.Cardiovascular System.Heart.VALVE,8.20345,9.2583,9.94961,10.5917,10.8996
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,7.21726,9.19637,9.65925,10.3509,11.0751
System.Cardiovascular System.Heart.VENTRICLE,7.24687,8.75756,9.31063,9.79598,10.4934
System.Connective Tissue.Bone.OSTEOBLAST,4.97503,8.01086,9.26752,10.2265,11.262
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,5.89303,8.0758,9.16713,10.1517,11.1031
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.18838,7.31085,9.14581,10.451,11.6965
System.Muscular System.Smooth muscle.MYOFIBROBLAST,6.25766,7.91144,9.09888,10.627,12.1147
System.Digestive System.Liver.HEPATIC STELLATE CELL,3.73257,7.557,8.92409,10.8797,11.9899
System.Cardiovascular System.Heart.ATRIUM,3.18837,6.71137,8.84983,10.4643,10.8435
System.Cardiovascular System.Heart.HEART,0.990474,6.38743,8.29646,9.45919,11.0934
System.Connective Tissue.Adipose tissue.ADIPOSE,5.02256,7.07696,8.29013,9.67599,11.1102
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,6.42307,8.06575,8.8703,9.76954
System.Connective Tissue.Bone.STROMAL CELL,0.113644,3.5465,7.64908,9.3178,10.9144
System.Digestive System.Liver.LIVER,0.113644,2.16272,7.34635,8.46608,10.4276
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,3.70719,7.09227,9.09526,10.5612
System.Immune System.Myeloid.KUPFFER CELL,3.48123,3.90813,7.02922,11.2719,11.7419
System.Integumentary System.Skin.FIBROBLAST,0.113644,3.1737,6.89949,9.20348,11.2653
System.Integumentary System.Skin.SKIN,0.113644,3.05618,6.8903,8.9198,10.9198
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,3.39116,6.86501,9.09312,10.9877
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,1.81287,6.65149,8.80285,10.7503
System.Nervous System.CNS.SPINAL CORD,2.61696,4.25688,6.10721,7.97325,9.59004
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,4.02961,6.01703,8.1064,9.87769
System.Urogenital/Reproductive System.Kidney.PODOCYTE,1.75255,3.64478,5.47412,6.47941,7.65675
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,2.16272,5.09238,7.68326,10.0995
System.Immune System.Myeloid.MACROPHAGE,0.113644,2.92457,5.04875,6.78736,8.93279
System.Nervous System.CNS.THALAMUS,0.113644,3.03056,4.77752,7.59578,9.50145
System.Nervous System.CNS.HYPOTHALAMUS,2.16272,3.39116,4.77752,8.22586,10.029
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,2.92457,4.71212,5.76006,6.99029
System.Digestive System.Liver.HEPATOCYTE,0.113644,3.05618,4.63537,6.79623,10.486
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,4.3915,6.61395,8.71862
System.Digestive System.Intestine.COLON,0.113644,1.81287,4.31312,7.07516,9.38874
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,1.20968,4.21911,6.07935,8.00263
System.Digestive System.Intestine.COLON MUCOSA,0.113644,2.35544,3.96826,6.74123,8.5973
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,2.16272,3.83218,7.7752,10.6847
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,3.80089,5.88082,9.40874
System.Nervous System.Eye.RETINA,0.113644,0.113644,3.56825,5.20789,9.51074
System.Nervous System.CNS.CEREBELLUM,0.113644,2.41968,3.48123,4.77752,7.91548
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,3.42671,7.68456,9.02305
System.Nervous System.CNS.PONS,0.113644,0.113644,3.39116,5.8662,9.90822
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,1.99113,3.33816,3.70384,4.26745
System.Immune System.Thymus.THYMUS,0.113644,0.113644,3.11494,5.30162,7.78181
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,1.20968,3.05618,4.67269,6.13276
System.Integumentary System.Skin.MELANOCYTE,0.113644,1.20968,2.99037,4.83453,7.62407
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,2.92457,5.23546,9.05898
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,2.85026,4.47438,7.62442
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,2.77595,5.40837,7.89107
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,2.77595,5.91845,8.84983
System.Nervous System.PNS.SENSORY NEURON,1.20968,1.9878,2.77595,4.11113,6.26774
System.Respiratory System.Lung.LUNG,0.113644,0.113644,2.61696,6.86236,10.6979
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,1.20968,2.60945,3.70787,4.28481
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,2.51832,5.25971,8.21265
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,2.41968,5.7726,9.11965
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,2.16272,6.91306,10.5578
System.Nervous System.CNS.NEURON,0.113644,0.113644,1.81287,3.48123,6.49365
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,1.81287,3.56825,7.16288
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,1.20968,2.61696,8.86887
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,1.20968,3.28517,4.77752
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,1.20968,3.56825,6.61623
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,1.20968,3.1737,7.80467
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,1.20968,2.51832,4.45105
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,3.05618,8.69398
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,0.113644,2.77595,7.98521
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,2.22696,6.40386
