id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,12.693,13.6873,14.0088,14.4187,15.1692
System.Cardiovascular System.Heart.VALVE,9.68318,11.2666,13.7953,14.2771,14.9076
System.Connective Tissue.Bone.OSTEOBLAST,7.58065,11.5618,13.3486,14.0232,14.6792
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.9954,12.2423,13.2165,14.1286,14.7959
System.Connective Tissue.Bone marrow.CHONDROCYTE,5.5618,10.6427,12.5861,14.2592,15.2096
System.Connective Tissue.Bone.STROMAL CELL,3.68116,11.1638,12.536,13.7407,14.736
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,5.76013,9.68221,12.3665,14.3579,15.0775
System.Integumentary System.Skin.HAIR FOLLICLE,7.24429,10.8011,12.3081,13.0047,13.9532
System.Muscular System.Smooth muscle.MYOFIBROBLAST,9.853,10.5195,12.021,13.2063,14.4399
System.Muscular System.Skeletal muscle.MYOBLAST,7.74323,10.317,11.598,12.8828,14.0566
System.Integumentary System.Skin.FIBROBLAST,2.61696,8.74044,11.4612,12.9456,14.3981
System.Connective Tissue.Adipose tissue.ADIPOCYTE,7.83689,9.74849,11.3417,13.177,14.2105
System.Urogenital/Reproductive System.Kidney.PODOCYTE,6.87247,10.0809,10.813,12.0493,13.4318
System.Cardiovascular System.Heart.VENTRICLE,8.11588,9.79901,10.79,11.8797,13.4388
System.Cardiovascular System.Heart.HEART,3.28517,8.01158,10.7784,11.8061,14.6277
System.Integumentary System.Skin.KERATINOCYTE,6.8179,9.64134,10.7651,11.7407,12.4988
System.Cardiovascular System.Heart.ATRIUM,7.5857,9.32436,10.2712,11.0892,12.1925
System.Integumentary System.Skin.SKIN,4.16691,8.35063,9.88286,11.6192,13.5976
System.Urogenital/Reproductive System.Ovary.OVARY,4.16179,7.27759,9.68321,12.0407,17.8606
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,7.70115,9.08571,9.66068,10.6913,13.0629
System.Connective Tissue.Adipose tissue.ADIPOSE,7.64512,8.79364,9.54912,10.7367,13.1406
System.Immune System.Myeloid.KUPFFER CELL,5.79561,6.12644,9.20665,12.8501,12.9281
System.Integumentary System.Skin.BASAL CELL,3.21271,6.97408,8.84038,10.158,11.4808
System.Respiratory System.Trachea.TRACHEA,3.36996,5.45333,8.64333,11.1349,13.0474
System.Nervous System.CNS.SPINAL CORD,4.3422,7.36331,8.43816,9.4979,10.8303
System.Respiratory System.Lung.LUNG,0.113644,5.3649,8.40087,10.9189,13.4226
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,5.14316,8.19063,9.42895,13.087
System.Nervous System.CNS.ASTROCYTE,2.61696,5.57065,7.83293,11.4692,13.7084
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,4.58887,6.4416,7.74646,8.2959,9.77652
System.Immune System.Myeloid.MACROPHAGE,0.113644,5.99799,7.73975,9.4297,11.1283
System.Nervous System.CNS.MEDULLA,3.56825,4.95341,7.55088,10.28,13.011
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,4.36936,7.49889,9.27704,10.5936
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,5.5514,7.49889,8.49133,9.43255
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,4.54457,6.33866,7.32559,8.38486,9.93368
System.Nervous System.Eye.RETINA,0.113644,5.40837,7.14836,9.51498,12.7368
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,5.39744,6.99029,8.10479,9.0522
System.Immune System.Granulocytic.GRANULOCYTE,3.03421,5.07842,6.96122,7.98694,8.58369
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,4.29348,5.79561,6.93584,8.87463,12.5666
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,6.59685,8.01669,9.80745
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,5.12981,6.51705,8.61788,11.9098
System.Digestive System.Intestine.COLON MUCOSA,4.49854,5.02256,6.51689,8.62251,11.1739
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,4.3717,6.50535,7.9985,10.7719
System.Nervous System.CNS.HYPOTHALAMUS,4.48256,5.28658,6.35023,8.07033,10.6477
System.Urogenital/Reproductive System.Kidney.KIDNEY,3.08556,5.34282,6.34193,8.14827,11.151
System.Immune System.Granulocytic.NEUTROPHIL,3.89584,5.65482,6.33362,7.57612,8.49652
System.Integumentary System.Skin.MELANOCYTE,4.38904,5.1122,6.20279,8.2726,11.4283
System.Nervous System.CNS.CEREBELLUM,4.56034,5.76006,6.17424,6.57131,7.51878
System.Digestive System.Intestine.COLON,0.113644,4.87314,6.14657,7.99361,10.9529
System.Digestive System.Liver.HEPATOCYTE,3.1737,4.63537,5.93591,7.46884,10.8485
System.Digestive System.Liver.LIVER,1.20968,4.67269,5.93591,7.71863,11.4578
System.Nervous System.CNS.PONS,0.113644,4.80976,5.8662,7.65305,11.3811
System.Nervous System.CNS.THALAMUS,4.18656,4.94409,5.81111,7.72332,10.4771
System.Nervous System.PNS.SENSORY NEURON,3.86401,5.07842,5.45333,5.79561,7.31078
System.Nervous System.CNS.OLIGODENDROCYTE,3.80089,4.87314,5.40837,6.07396,7.59448
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,1.81287,3.78525,5.30108,5.91845,6.87513
System.Nervous System.CNS.NEURON,0.113644,4.21911,5.18213,6.07935,9.35141
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,5.02256,5.63312,9.21181
