id,min,q1,median,q3,max
System.Connective Tissue.Bone marrow.CHONDROCYTE,8.94275,12.4249,14.419,15.308,17.1051
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,11.534,12.6272,13.139,13.6465,14.5294
System.Connective Tissue.Bone.OSTEOBLAST,6.20302,10.6375,12.185,13.2633,14.0514
System.Connective Tissue.Bone.STROMAL CELL,0.113644,9.96973,12.1512,13.4489,15.2572
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,6.77432,10.1842,12.0002,13.9282,15.611
System.Connective Tissue.Adipose tissue.ADIPOCYTE,6.42541,9.9103,11.9071,13.1328,14.4612
System.Cardiovascular System.Heart.VENTRICLE,8.12324,10.5057,11.763,12.6933,13.7583
System.Connective Tissue.Adipose tissue.ADIPOSE,8.70585,10.9633,11.6886,12.5038,13.7621
System.Integumentary System.Skin.FIBROBLAST,0.113644,8.27173,11.6701,13.4812,15.308
System.Cardiovascular System.Heart.HEART,0.113644,7.66804,11.5121,12.8322,13.8536
System.Muscular System.Smooth muscle.MYOFIBROBLAST,8.95757,10.6482,11.352,12.0951,13.9209
System.Digestive System.Liver.HEPATIC STELLATE CELL,5.62688,10.5875,11.2886,12.1967,14.4544
System.Integumentary System.Skin.SKIN,0.113644,7.71551,11.2754,13.0612,15.1641
System.Cardiovascular System.Heart.VALVE,1.04528,6.56051,11.0842,12.5117,15.1781
System.Integumentary System.Skin.HAIR FOLLICLE,4.55546,8.72317,10.3947,13.0143,14.0818
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,8.47107,10.041,11.3922,12.7828
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,6.02339,9.63365,11.3396,12.7979
System.Cardiovascular System.Heart.ATRIUM,4.80842,7.82234,9.40364,10.6551,12.3178
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,5.54225,9.14276,11.5217,13.1727
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,8.18063,9.1244,10.028,12.4925
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,1.84317,7.28675,8.35451,9.85749,11.2032
System.Digestive System.Intestine.COLON MUCOSA,0.113644,3.60389,8.00784,12.3444,15.0922
System.Digestive System.Liver.LIVER,0.113644,1.81287,7.87338,9.56879,11.934
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,1.20968,6.89227,10.4299,12.9221
System.Nervous System.CNS.HYPOTHALAMUS,0.453489,2.61696,6.49365,10.7535,12.9078
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,6.11068,10.8263,11.0798
System.Nervous System.Eye.RETINA,0.113644,0.113644,5.92718,7.6619,10.8604
System.Nervous System.CNS.ASTROCYTE,0.113644,1.20968,5.84343,8.93702,11.8382
System.Nervous System.CNS.MEDULLA,0.113644,3.70787,5.77783,7.98949,11.3928
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,3.59455,5.76006,7.71401,10.3878
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,1.20968,5.19501,6.61686,8.57275
System.Digestive System.Intestine.COLON,0.113644,0.113644,4.84279,10.5897,12.9614
