id,min,q1,median,q3,max
System.Connective Tissue.Adipose tissue.ADIPOCYTE,4.49074,8.09873,9.65078,11.0218,12.2153
System.Connective Tissue.Bone.OSTEOBLAST,4.87919,8.08164,9.6316,10.4994,11.543
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,5.58798,7.11933,9.46706,10.3594,11.258
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,5.64335,9.11725,10.8124,12.0663
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.552059,3.39116,9.06234,10.449,11.8562
System.Cardiovascular System.Heart.VALVE,5.63657,6.69271,8.86384,9.50311,10.1608
System.Connective Tissue.Adipose tissue.ADIPOSE,4.83453,7.01742,8.32293,9.77596,11.6351
System.Connective Tissue.Bone.STROMAL CELL,0.113644,3.6921,8.05911,9.35348,11.209
System.Muscular System.Smooth muscle.MYOFIBROBLAST,3.41261,4.75405,7.99672,9.0787,10.501
System.Cardiovascular System.Heart.VENTRICLE,4.63537,6.14657,7.04658,7.9278,9.48243
System.Digestive System.Liver.HEPATIC STELLATE CELL,3.89584,5.81111,6.90917,8.55681,11.593
System.Cardiovascular System.Heart.ATRIUM,1.20968,3.52398,6.64163,8.20216,9.80865
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,5.49388,6.60849,7.66095,9.52201
System.Cardiovascular System.Heart.HEART,0.113644,3.39116,6.28742,8.08543,9.87099
System.Integumentary System.Skin.SKIN,0.113644,2.41968,6.11658,8.45606,10.8357
System.Integumentary System.Skin.FIBROBLAST,0.113644,2.16272,6.11658,8.69932,11.0885
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,1.20968,5.82639,8.09375,10.4344
System.Nervous System.PNS.SENSORY NEURON,0.113644,3.93739,5.15699,5.69219,6.91437
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,4.81552,8.87143,9.38583
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.387653,4.05725,6.24214,8.17773
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,1.81287,2.77595,3.73895,7.23895
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.113644,2.69645,5.99485,10.7828
System.Nervous System.CNS.HYPOTHALAMUS,1.20968,1.81287,2.61696,2.92457,4.87269
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,0.113644,2.41968,3.86401,6.67514
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,1.20968,2.2912,2.61696,3.84076
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,2.16272,4.59911,7.50112
System.Nervous System.CNS.SPINAL CORD,0.113644,1.20968,2.16272,3.28517,5.66843
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,2.16272,4.08393,6.8512
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,1.81287,2.99037,5.27734
System.Digestive System.Liver.LIVER,0.113644,0.113644,1.81287,3.48123,6.9754
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,1.81287,4.16691,8.13426
System.Nervous System.CNS.THALAMUS,0.113644,1.20968,1.81287,2.77595,4.56902
System.Nervous System.Eye.RETINA,0.113644,0.113644,1.20968,2.16272,7.3027
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,1.20968,2.92457,8.48901
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,1.20968,3.56825,8.50016
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,1.20968,3.28517,6.49139
System.Digestive System.Intestine.COLON,0.113644,0.113644,1.20968,3.64478,7.21
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,1.20968,1.81287,3.65319
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,1.20968,4.80976,7.95551
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,8.26957
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,0.113644,0.935672,5.01546
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,0.113644,4.40911,8.56645
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.113644,1.20968,2.77595
System.Nervous System.CNS.CEREBELLUM,0.113644,0.113644,0.113644,0.113644,2.77595
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,0.113644,1.20968,3.05618
System.Nervous System.CNS.NEURON,0.113644,0.113644,0.113644,1.81287,4.87314
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,1.81287
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,1.84414
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,1.20968
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,1.20968,2.49859
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,2.77595
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,0.113644,1.81287,3.56825
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,0.113644,1.81287,3.76961
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,1.20968,3.89584
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,0.113644,2.16272
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,0.113644,3.49428
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,1.81287,6.8967
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,0.113644,8.86692
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,7.06873
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,1.81287,3.85816
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,0.113644,2.92457,7.7932
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,0.113644,1.81287,3.29577
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,2.16272,4.92692
System.Respiratory System.Lung.LUNG,0.113644,0.113644,0.113644,4.05534,8.22132
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,0.113644,2.16272,5.25971
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,2.51832,6.2249
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,1.20968,6.82306
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,0.113644,5.41659
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,3.53847
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,0.113644,2.92457,6.65936
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,0.113644,3.72331,5.98118
System.Nervous System.CNS.PONS,0.113644,0.113644,0.113644,1.81287,8.02899
