id,min,q1,median,q3,max
System.Immune System.Myeloid.MACROPHAGE,1.81287,8.56752,10.5486,12.0918,13.8655
System.Connective Tissue.Adipose tissue.ADIPOSE,4.16691,8.57341,9.46332,9.94799,10.802
System.Cardiovascular System.Heart.VALVE,5.14437,6.74492,9.44318,9.98948,10.8497
System.Connective Tissue.Adipose tissue.ADIPOCYTE,6.59332,7.91821,8.7545,9.60747,11.1338
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,5.3649,8.75087,10.7304,12.4349
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,7.58705,7.92253,8.40872,8.81909,9.21102
System.Muscular System.Smooth muscle.MYOFIBROBLAST,5.87028,7.62877,8.36372,9.07904,9.60255
System.Connective Tissue.Bone.STROMAL CELL,0.113644,6.83643,8.08929,9.0089,10.2356
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.1427,7.62734,8.06575,8.77715,9.62404
System.Connective Tissue.Bone.OSTEOBLAST,5.16347,7.55958,8.00002,8.4504,9.18866
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,1.81287,7.86771,8.60695,9.93516
System.Integumentary System.Skin.FIBROBLAST,0.113644,5.38652,7.82356,8.65434,9.89863
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,5.31791,6.31418,7.69953,8.52925,9.28301
System.Integumentary System.Skin.HAIR FOLLICLE,2.45797,5.24824,7.61817,8.45156,9.59746
System.Immune System.Myeloid.KUPFFER CELL,6.42813,6.96346,7.57325,7.78489,8.38426
System.Cardiovascular System.Heart.ATRIUM,3.20494,5.27986,6.84192,7.49674,9.20479
System.Cardiovascular System.Heart.HEART,1.20968,4.59911,6.81484,8.02123,9.25669
System.Integumentary System.Skin.SKIN,0.113644,4.84279,6.79623,8.29312,9.61646
System.Cardiovascular System.Heart.VENTRICLE,3.89584,5.23546,6.09783,7.07696,9.26095
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,3.31166,5.61307,7.54036,9.02671
System.Integumentary System.Skin.KERATINOCYTE,2.16272,4.56034,5.51459,6.26032,7.85255
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,2.77595,5.51459,7.86326,10.6844
System.Digestive System.Liver.LIVER,0.113644,3.48123,5.51459,7.29676,10.0692
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,2.92457,5.47412,8.12533,9.5682
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,3.97909,5.40837,6.36501,7.70489
System.Nervous System.CNS.ASTROCYTE,0.113644,2.92457,5.23546,7.26685,8.71085
System.Digestive System.Liver.HEPATOCYTE,1.81287,4.11061,5.18213,6.35023,7.86147
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,1.81287,4.99267,9.19087,10.9125
System.Digestive System.Intestine.COLON MUCOSA,1.20968,3.2573,4.75774,6.76313,7.55097
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,3.1737,4.67269,6.66685,8.99853
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,2.41968,4.57973,5.93985,8.51864
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,1.93532,2.5034,4.32561,6.28791,6.76673
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,3.39116,4.31312,5.82727,8.97815
System.Digestive System.Intestine.COLON,0.113644,2.61696,4.26947,6.16133,8.91599
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,1.20968,4.05534,5.84343,8.25034
System.Respiratory System.Lung.LUNG,0.113644,1.20968,4.05534,7.63847,10.5479
System.Integumentary System.Skin.BASAL CELL,1.20968,2.77595,3.73874,6.03822,8.53595
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,1.81287,3.70787,6.74036,9.62226
System.Respiratory System.Trachea.TRACHEA,0.113644,2.61696,3.64478,4.96278,7.5588
System.Nervous System.CNS.MEDULLA,0.113644,1.81287,3.60651,5.86051,8.43957
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,2.7362,3.47971,6.26032,7.74601
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,3.39116,6.54525,10.783
System.Nervous System.CNS.PONS,0.113644,0.113644,3.28517,5.40837,9.94521
System.Nervous System.CNS.OLIGODENDROCYTE,1.81287,2.61696,3.1737,3.9543,5.33404
System.Integumentary System.Skin.MELANOCYTE,0.113644,2.16272,2.92457,4.78535,8.38001
System.Immune System.Thymus.THYMOCYTE,0.332852,1.81287,2.92457,7.90918,8.17472
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,1.81287,2.77595,3.70787,5.93924
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,1.20968,2.77595,4.21911,7.22075
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,2.77595,4.51527,8.74595
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,1.20968,2.61696,4.63537,7.20933
System.Immune System.Spleen.SPLEEN,0.113644,1.20968,2.61696,5.79561,10.0303
System.Nervous System.CNS.NEURON,0.113644,1.20968,2.41968,3.48123,6.46517
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,1.20968,2.41968,4.86556,8.30624
System.Nervous System.CNS.THALAMUS,0.88087,1.20968,2.16272,3.49652,5.50009
System.Nervous System.Eye.RETINA,0.113644,1.20968,2.16272,4.05534,7.87338
System.Nervous System.CNS.CEREBELLUM,1.20968,1.81287,2.16272,2.61696,3.56825
System.Nervous System.CNS.HYPOTHALAMUS,1.20968,1.20968,2.16272,3.05618,5.51044
System.Nervous System.CNS.SPINAL CORD,1.20968,1.81287,2.16272,2.61696,3.83218
System.Immune System.Thymus.THYMUS,0.113644,1.20968,1.9878,3.14432,5.93591
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,1.81287,4.26249,7.72632
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,1.81287,2.92457,5.13665
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,1.81287,4.54907,7.05843
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,1.20968,2.2912,4.05725
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,1.20968,3.70787,5.57065
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,1.20968,2.77595,6.34321
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.113644,1.20968,3.63423,5.81708
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.661663,2.61696,9.05852
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,5.37031,9.01458
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,1.81287,7.37993
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,1.20968,4.03303
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,2.16272,4.34608
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,1.81287,7.52675
