id,min,q1,median,q3,max
System.Cardiovascular System.Heart.ATRIUM,10.0512,11.3572,11.6853,11.8646,12.2619
System.Cardiovascular System.Heart.VENTRICLE,9.84285,11.4069,11.6836,11.9061,12.2098
System.Connective Tissue.Adipose tissue.ADIPOSE,8.1832,10.5088,11.2038,11.8891,12.4934
System.Nervous System.CNS.SPINAL CORD,8.70052,10.7098,11.1296,11.4003,12.0367
System.Muscular System.Skeletal muscle.MYOBLAST,7.25904,9.58952,10.9799,11.9667,14.0391
System.Connective Tissue.Adipose tissue.ADIPOCYTE,7.68938,9.91484,10.813,11.9455,12.6811
System.Nervous System.CNS.THALAMUS,6.57291,8.60855,10.2371,11.9277,12.4007
System.Nervous System.CNS.HYPOTHALAMUS,8.40251,8.88994,10.2371,11.8624,12.326
System.Immune System.Myeloid.MACROPHAGE,5.73321,8.91634,10.1493,10.9272,11.837
System.Integumentary System.Skin.MELANOCYTE,5.81272,9.00941,9.91074,10.1402,10.5641
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,7.90787,9.33926,9.90663,10.4354,11.1373
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,8.15567,9.56277,9.90193,10.3602,12.029
System.Nervous System.CNS.CEREBELLUM,8.92581,9.48878,9.79901,10.2116,11.2987
System.Nervous System.CNS.CEREBRAL CORTEX,9.21973,9.42045,9.75319,10.2905,10.8382
System.Immune System.Myeloid.DENDRITIC CELL,4.07193,7.93885,9.70667,10.6955,11.7889
System.Connective Tissue.Bone.OSTEOBLAST,7.26777,8.79151,9.69787,10.2497,10.8137
System.Connective Tissue.Bone.STROMAL CELL,3.53607,8.6419,9.65935,10.2515,10.9937
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.76156,8.88232,9.58247,10.4118,11.0593
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.95723,9.36558,9.52771,9.71181,9.96908
System.Cardiovascular System.Heart.VALVE,7.63766,8.66021,9.51045,9.83619,11.5679
System.Integumentary System.Skin.FIBROBLAST,5.7726,8.24342,9.4944,10.1263,11.0609
System.Nervous System.CNS.MIDBRAIN,0.113644,7.57467,9.37788,10.3523,10.5962
System.Cardiovascular System.Heart.HEART,3.62947,8.38486,9.36086,11.0099,11.9575
System.Integumentary System.Skin.HAIR FOLLICLE,4.44374,6.20491,9.10198,9.76093,10.2199
System.Nervous System.CNS.NEURON,6.06605,7.9722,9.06946,9.86719,10.622
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.77442,8.17111,9.0576,9.7776,10.6652
System.Urogenital/Reproductive System.Ovary.OOCYTE,4.75129,8.0009,9.00294,9.52678,10.817
