id,min,q1,median,q3,max
System.Immune System.Myeloid.DENDRITIC CELL,3.28517,7.43037,13.1143,14.8264,16.0295
System.Immune System.Myeloid.MACROPHAGE,0.113644,7.88005,11.4834,12.8902,14.553
System.Cardiovascular System.Heart.VALVE,5.38847,8.66314,10.6712,11.3372,12.689
System.Cardiovascular System.Heart.VENTRICLE,3.81379,8.02862,9.08173,10.0215,11.3198
System.Digestive System.Pancreas.ALPHA CELL,0.113644,7.43559,8.85952,10.2509,12.8717
System.Cardiovascular System.Heart.ATRIUM,3.65865,7.57001,8.72005,9.31967,9.95779
System.Digestive System.Liver.LIVER,0.113644,2.16272,8.64333,10.5445,11.4421
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,7.16147,8.60355,9.55705,11.3628
System.Immune System.Myeloid.MICROGLIA,0.113644,5.59303,8.19723,10.4453,12.9123
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,1.38806,6.57232,8.0369,8.59639,9.5914
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,3.33816,7.16288,10.572,11.5256
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,2.69645,6.62962,8.09102,9.80098
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.387653,3.39116,6.30103,6.94485,8.34123
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,2.65671,5.93591,8.52909,10.3377
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,3.39116,5.90239,7.58439,10.0411
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,1.9703,4.6447,5.84629,6.86911,10.5963
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,5.70924,8.5761,11.9035
System.Immune System.Myeloid.KUPFFER CELL,0.27805,4.19199,5.61152,6.56214,7.18702
System.Nervous System.CNS.SPINAL CORD,1.20968,4.20606,5.54225,6.80572,8.42119
System.Digestive System.Liver.HEPATOCYTE,0.113644,2.41968,5.07842,7.16833,9.86661
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,1.81287,4.98956,7.4322,9.75307
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,4.93268,8.09014,9.73633
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,2.41968,4.21911,6.17424,9.25527
System.Nervous System.CNS.PONS,0.113644,0.113644,3.89584,6.35023,9.86724
System.Integumentary System.Skin.BASAL CELL,0.113644,1.20968,3.43619,5.67402,8.99243
System.Nervous System.CNS.MEDULLA,0.113644,1.20968,2.85026,6.11189,10.1953
System.Digestive System.Intestine.COLON,0.113644,0.113644,2.77595,7.62057,10.001
System.Nervous System.CNS.THALAMUS,0.113644,1.20968,2.61696,4.37212,5.94236
System.Nervous System.CNS.HYPOTHALAMUS,0.113644,1.20968,2.61696,4.26947,5.75551
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,2.51832,5.61397,8.34024
System.Integumentary System.Skin.SKIN,0.113644,0.113644,2.41968,8.46107,11.003
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,2.41968,5.8662,10.9818
System.Immune System.Thymus.THYMUS,0.113644,1.20968,2.2912,3.6921,7.87601
