id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.99915,9.82466,10.8678,11.2382,11.6096
System.Digestive System.Liver.HEPATIC STELLATE CELL,5.87355,8.02123,8.90936,9.66068,10.8301
System.Muscular System.Smooth muscle.MYOFIBROBLAST,3.93384,7.56563,8.76298,9.97285,11.1668
System.Cardiovascular System.Heart.VALVE,0.113644,0.113644,8.37664,9.21294,10.0001
System.Integumentary System.Skin.FIBROBLAST,0.113644,5.63312,8.37638,9.67781,10.908
System.Connective Tissue.Bone.OSTEOBLAST,1.83036,7.04434,8.15772,9.0654,9.69528
System.Connective Tissue.Adipose tissue.ADIPOCYTE,3.10318,6.51705,7.80811,8.62357,9.87659
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,7.74633,8.91296,10.1428
System.Connective Tissue.Bone marrow.CHONDROCYTE,1.81287,5.95143,7.73755,9.03393,9.91549
System.Immune System.Myeloid.KUPFFER CELL,6.02915,6.51965,7.16794,8.00419,8.72947
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,2.2655,4.26947,7.08465,8.37638,9.33809
System.Connective Tissue.Adipose tissue.ADIPOSE,3.39116,5.88569,7.03818,8.0669,9.55486
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,1.81287,6.84472,9.92682,11.6929
System.Integumentary System.Skin.SKIN,0.113644,2.92457,6.50485,8.53541,10.6016
System.Nervous System.CNS.CEREBELLUM,0.113644,4.71212,5.82639,6.74061,7.7426
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,4.24383,5.45112,6.58675,7.64407
System.Cardiovascular System.Heart.ATRIUM,0.113644,1.81287,5.24758,7.04247,8.65284
System.Cardiovascular System.Heart.VENTRICLE,3.09731,4.42004,5.07842,5.83065,7.61875
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,3.05618,4.93037,5.97524,7.52278
System.Cardiovascular System.Heart.HEART,0.113644,1.81287,4.67269,6.11658,8.52925
System.Digestive System.Intestine.COLON MUCOSA,0.113644,2.88741,4.49573,7.22667,10.1223
System.Digestive System.Liver.HEPATOCYTE,0.113644,3.05618,4.38682,5.45333,6.73488
System.Digestive System.Liver.LIVER,0.113644,1.20968,4.16691,5.59303,7.72691
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.81287,3.76961,6.53843,9.37428
System.Digestive System.Intestine.COLON,0.113644,0.113644,3.70787,5.74381,8.53703
System.Nervous System.CNS.SPINAL CORD,1.20968,2.77595,3.56825,4.59911,6.51087
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,3.28517,7.60584,10.8499
System.Nervous System.CNS.HYPOTHALAMUS,1.88284,2.61696,3.28517,4.93037,6.83394
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,3.28517,6.16133,7.94433
System.Integumentary System.Skin.MELANOCYTE,0.113644,2.16272,3.1737,4.15284,7.1364
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,2.92457,5.17585,7.82295
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,2.92457,5.92461,8.68163
System.Nervous System.CNS.THALAMUS,0.113644,2.16272,2.77595,3.99436,6.69303
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,2.51832,3.45245,3.98653
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,2.41968,4.80976,7.57981
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,1.20968,2.16272,3.43619,8.18272
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,2.16272,3.05618,6.08769
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,1.81287,4.00388,7.20144
System.Nervous System.Eye.RETINA,0.113644,0.113644,1.20968,2.61696,5.3638
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,1.20968,2.41968,9.61123
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,1.20968,2.16272,5.34282
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,1.20968,4.93037,7.64592
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,1.20968,2.16272,4.66302
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.113644,1.20968,2.16272,3.71096
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,7.46577
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,0.113644,2.16272,4.21187
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.113644,1.20968,9.40286
System.Nervous System.CNS.NEURON,0.113644,0.113644,0.113644,2.16272,6.17424
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,0.113644
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,1.81287
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,3.56825
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,0.113644,1.20968,4.503
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,0.113644,2.92457,5.10633
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,0.113644,5.18213
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,0.113644,1.95847
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,0.113644,4.52964
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,1.10008
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,0.113644,4.31312
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,0.113644,3.48123
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,0.113644,2.07526,3.87992
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,0.113644,2.77595,6.56892
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,0.113644,0.113644,1.81287
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,0.113644,3.48123
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,0.113644,3.9543,7.69185
System.Respiratory System.Lung.LUNG,0.113644,0.113644,0.113644,4.47438,9.81655
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,0.113644,1.20968,7.84906
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,1.81287,3.64478
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,1.81287,4.78435
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,0.113644,2.22696,7.06507
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,1.20968,4.35442
System.Nervous System.CNS.PONS,0.113644,0.113644,0.113644,1.81287,6.64674
