id,min,q1,median,q3,max
System.Integumentary System.Skin.MELANOCYTE,0.216098,7.78406,10.1989,10.8441,12.0526
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,6.83068,9.50235,11.0002,12.2803
System.Muscular System.Smooth muscle.MYOFIBROBLAST,6.40175,7.65758,9.40765,10.2807,11.2372
System.Nervous System.PNS.SENSORY NEURON,3.63806,7.73561,9.23137,9.80104,10.3849
System.Digestive System.Liver.HEPATIC STELLATE CELL,5.76952,7.98143,9.06713,9.93271,11.2274
System.Immune System.Myeloid.MACROPHAGE,0.113644,5.10633,8.98773,11.2347,12.5307
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,7.43403,8.29015,8.956,9.74625,10.3345
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,1.81287,6.35023,8.81277,10.3227,10.8759
System.Cardiovascular System.Heart.VALVE,0.113644,6.27398,8.54192,9.84594,10.5597
System.Connective Tissue.Bone.OSTEOBLAST,3.18907,6.29411,7.64769,9.02325,10.2507
System.Connective Tissue.Adipose tissue.ADIPOCYTE,2.16272,5.74381,7.63847,8.84983,10.2701
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,6.22573,7.557,9.07887,10.777
System.Immune System.Myeloid.KUPFFER CELL,4.11061,4.51527,7.34842,10.2798,10.6942
System.Cardiovascular System.Heart.HEART,0.113644,4.05534,7.23213,9.2492,10.6322
System.Urogenital/Reproductive System.Kidney.PODOCYTE,1.10008,5.57221,6.75783,7.70513,8.65197
System.Connective Tissue.Bone.STROMAL CELL,0.113644,2.98612,6.75375,8.30332,9.88911
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,4.86559,6.60267,7.31657,9.5333
System.Integumentary System.Skin.FIBROBLAST,0.113644,3.05618,6.58321,8.24342,10.2165
System.Connective Tissue.Adipose tissue.ADIPOSE,2.61696,5.18213,6.41035,7.62226,9.75913
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,6.05016,7.01307,8.8254
System.Cardiovascular System.Heart.VENTRICLE,3.28517,4.59911,5.34282,6.09783,7.91261
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,4.11061,5.31558,6.23115,9.95567
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,5.3147,8.25081,9.80039
System.Cardiovascular System.Heart.ATRIUM,0.113644,2.16272,5.15597,6.5452,7.96725
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,3.89584,5.04875,6.01703,7.80323
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,5.02256,6.83068,9.42727
System.Integumentary System.Skin.SKIN,0.113644,2.41968,4.84279,6.9754,9.45065
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,1.36048,4.51527,7.1989,9.13669
System.Respiratory System.Lung.LUNG,0.113644,0.113644,4.21911,7.26034,9.26507
System.Integumentary System.Skin.BASAL CELL,0.113644,1.20968,3.70787,5.18213,9.35018
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,2.41968,3.64478,4.87314,7.60127
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,0.113644,3.56825,4.74622,7.33623
System.Integumentary System.Skin.KERATINOCYTE,0.113644,1.20968,3.56825,5.18213,7.80442
System.Digestive System.Liver.LIVER,0.113644,1.20968,3.56825,4.77752,8.18742
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,3.28517,5.02256,7.88609
System.Nervous System.CNS.PONS,0.113644,0.113644,3.28517,5.47412,8.43025
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,2.07526,3.1737,4.15033,5.87926
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,3.11494,5.83917,8.65847
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.113644,2.85026,6.17346,8.28887
System.Digestive System.Intestine.COLON,0.113644,0.113644,2.77595,5.02256,8.00002
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,2.77595,6.06605,9.14276
