id,min,q1,median,q3,max
System.Digestive System.Liver.LIVER,0.113644,2.92457,7.46426,10.3628,13.0932
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,5.70068,7.46147,9.21077,11.1084
System.Nervous System.CNS.THALAMUS,0.113644,1.20968,6.93534,7.91849,10.5555
System.Nervous System.CNS.SPINAL CORD,0.113644,3.5465,4.99416,6.52002,8.3458
System.Cardiovascular System.Heart.VALVE,1.72239,3.58738,4.97847,8.47383,10.0676
System.Immune System.Myeloid.KUPFFER CELL,3.97774,4.3519,4.96278,7.13695,9.43298
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,3.56825,4.93037,6.30103,10.1349
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,1.20968,2.41968,4.81015,8.5765,10.4482
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,3.28517,4.05534,4.80976,5.51459,6.69795
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,3.76961,4.67269,5.7726,9.25065
System.Digestive System.Liver.HEPATOCYTE,0.113644,1.81287,4.47438,8.01669,12.2015
System.Cardiovascular System.Heart.VENTRICLE,1.20968,3.28517,4.38682,5.67402,7.73164
System.Cardiovascular System.Heart.ATRIUM,0.113644,1.66207,4.31312,6.15349,8.88481
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,4.05725,7.98608,12.2572
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,1.81287,3.97909,6.33362,7.96584
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,1.20968,3.70787,4.72917,7.95642
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,1.81287,3.64478,5.23546,7.09669
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,3.56825,6.15026,9.23466
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,3.56825,5.64397,9.24978
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,3.56825,6.36501,11.4547
System.Cardiovascular System.Heart.HEART,0.113644,0.113644,3.39116,5.93591,8.53273
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,1.20968,3.39116,4.3519,8.28576
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,0.113644,3.28517,4.90278,9.09714
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,3.22367,5.45222,6.96138
System.Respiratory System.Trachea.TRACHEA,0.113644,1.81287,2.92457,5.15699,8.00518
