id,min,q1,median,q3,max
System.Connective Tissue.Bone.OSTEOBLAST,8.73011,11.2424,12.034,12.7951,13.7834
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,9.93452,11.1998,11.8773,12.4456,13.3992
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,10.8489,11.3057,11.7657,12.4262,13.5512
System.Muscular System.Smooth muscle.MYOFIBROBLAST,10.7662,11.2298,11.747,12.331,12.704
System.Digestive System.Liver.HEPATIC STELLATE CELL,10.348,11.3493,11.6734,12.768,14.9982
System.Connective Tissue.Adipose tissue.ADIPOCYTE,9.32048,10.6858,11.3658,12.5099,14.2386
System.Immune System.Myeloid.KUPFFER CELL,10.4493,10.5366,11.3444,11.9444,12.4993
System.Cardiovascular System.Heart.VENTRICLE,9.58798,10.5041,11.0255,11.6031,12.2503
System.Cardiovascular System.Heart.ATRIUM,9.11868,10.3868,11.0184,11.8059,12.9345
System.Integumentary System.Skin.FIBROBLAST,5.89154,9.49853,10.9886,11.8624,12.8416
System.Digestive System.Liver.LIVER,1.20968,9.17362,10.9189,11.5886,12.675
System.Integumentary System.Skin.HAIR FOLLICLE,3.8954,8.66778,10.8269,12.6158,13.258
System.Cardiovascular System.Heart.VALVE,9.02622,10.1104,10.7936,11.5723,13.3033
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,9.24278,10.084,10.7851,11.5249,12.838
System.Connective Tissue.Adipose tissue.ADIPOSE,8.2346,9.03184,10.6745,11.733,13.1006
System.Connective Tissue.Bone.STROMAL CELL,3.64346,9.30322,10.5481,11.4538,14.654
System.Digestive System.Liver.HEPATOCYTE,8.07187,9.84671,10.4844,11.0267,11.9231
System.Integumentary System.Skin.MELANOCYTE,7.79018,9.57773,10.4033,10.8627,12.2058
System.Cardiovascular System.Heart.HEART,4.50709,9.35141,10.1422,11.4103,12.9011
System.Urogenital/Reproductive System.Kidney.KIDNEY,4.21911,8.35306,10.1352,11.4218,12.4489
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,4.6359,10.034,10.972,13.4799
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,8.9099,9.96349,10.8079,12.032
System.Urogenital/Reproductive System.Kidney.PODOCYTE,5.9501,8.31906,9.85085,11.1819,11.6479
System.Digestive System.Intestine.SMALL INTESTINE,2.89381,6.88052,9.65632,11.1433,12.8649
System.Integumentary System.Skin.SKIN,4.00388,8.29838,9.54065,11.2364,12.5025
System.Nervous System.CNS.ASTROCYTE,1.20968,7.16288,9.42566,10.9689,12.1812
System.Connective Tissue.Bone marrow.CHONDROCYTE,1.20968,7.15335,9.35274,11.216,13.2283
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,6.63177,8.6369,9.24262,10.0817,12.2357
System.Digestive System.Intestine.COLON MUCOSA,4.89434,8.14319,9.00229,9.37432,10.906
System.Nervous System.CNS.MEDULLA,3.94953,6.72342,8.97561,10.5437,11.7859
System.Nervous System.CNS.OLIGODENDROCYTE,4.57532,7.48612,8.64543,9.52949,10.8694
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,5.45853,8.3635,10.1074,11.9201
System.Digestive System.Intestine.COLON,0.113644,2.41968,8.2346,9.91698,11.6502
System.Nervous System.CNS.SPINAL CORD,6.21839,7.2981,8.23044,9.2907,11.0636
System.Nervous System.CNS.CEREBRAL CORTEX,2.16272,7.75667,8.1156,9.10302,12.216
System.Integumentary System.Skin.KERATINOCYTE,4.24896,7.03818,8.00587,8.90451,10.43
System.Immune System.Myeloid.MACROPHAGE,0.113644,5.69219,7.51938,8.72465,10.2861
System.Nervous System.CNS.HYPOTHALAMUS,3.78212,4.56034,7.37048,9.51089,11.8853
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,3.96101,4.52803,7.21382,9.84356,10.4073
System.Nervous System.CNS.THALAMUS,3.75109,4.47358,7.18296,9.54025,11.3512
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,1.60175,5.69147,6.95675,8.14056,10.0571
System.Respiratory System.Lung.LUNG,0.113644,1.81287,6.8453,9.76423,11.7835
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,3.33679,6.8199,8.23571,11.2234
System.Nervous System.CNS.PONS,0.113644,1.20968,6.72289,8.90451,11.234
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,1.20968,6.67824,9.94377,12.2539
System.Nervous System.Eye.RETINA,0.113644,5.49388,6.62463,8.93178,11.2079
System.Nervous System.CNS.NEURON,0.113644,4.00388,6.45202,8.53994,11.1339
