id,min,q1,median,q3,max
System.Muscular System.Skeletal muscle.MYOBLAST,9.0064,11.0574,12.1838,12.9102,13.6565
System.Connective Tissue.Bone marrow.CHONDROCYTE,1.90033,11.1166,12.0637,12.6638,13.3211
System.Connective Tissue.Bone.OSTEOBLAST,9.9104,10.9117,11.5078,12.1838,13.114
System.Urogenital/Reproductive System.Kidney.PODOCYTE,1.10008,10.7274,11.4735,12.2559,12.8215
System.Cardiovascular System.Heart.VALVE,8.2668,9.43235,11.4253,12.5134,12.9509
System.Digestive System.Liver.LIVER,0.113644,7.22538,11.3918,13.2683,14.2636
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,4.46478,10.4279,11.3801,12.0636,12.754
System.Connective Tissue.Adipose tissue.ADIPOCYTE,6.92688,10.2198,11.3582,12.545,13.7255
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,9.90758,10.908,11.3273,11.7783,12.6929
System.Muscular System.Smooth muscle.MYOFIBROBLAST,9.48048,10.8015,11.323,11.8539,13.6414
System.Connective Tissue.Bone.STROMAL CELL,4.99259,9.97239,11.2469,12.2,13.588
System.Digestive System.Liver.HEPATIC STELLATE CELL,8.08759,10.0028,11.2038,12.0204,13.0214
System.Connective Tissue.Adipose tissue.ADIPOSE,7.81691,9.91484,11.0944,11.7205,13.1851
System.Digestive System.Liver.HEPATOCYTE,4.2782,8.68596,10.8555,12.2286,13.9155
System.Immune System.Myeloid.KUPFFER CELL,9.257,9.84751,10.7442,11.8521,12.1874
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,1.20968,9.29935,10.3661,10.8326,12.2783
System.Integumentary System.Skin.FIBROBLAST,0.113644,8.05298,10.3159,11.5871,12.6994
System.Cardiovascular System.Heart.HEART,0.113644,6.26032,9.9314,12.2614,13.2382
System.Integumentary System.Skin.SKIN,0.113644,6.72289,9.35141,10.9405,12.2254
System.Cardiovascular System.Heart.ATRIUM,4.17433,8.11653,9.16631,10.0469,11.0575
System.Cardiovascular System.Heart.VENTRICLE,5.52858,7.72192,8.67387,9.65138,11.512
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,2.41968,8.35063,10.5408,11.7123
System.Respiratory System.Lung.LUNG,0.113644,1.81287,7.79648,10.2241,12.0493
System.Integumentary System.Skin.HAIR FOLLICLE,2.53547,4.70696,7.78873,11.3605,12.0601
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,4.25237,6.16779,7.78223,10.2165,13.1744
