id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,9.77734,11.4029,12.2698,12.8227,13.7578
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,7.30561,10.6394,12.162,12.8369,13.3104
System.Digestive System.Liver.HEPATIC STELLATE CELL,10.5745,11.3684,12.0226,12.4456,13.088
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,10.9155,11.4924,11.9641,12.345,13.1854
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,11.2334,11.5933,11.934,12.1941,12.662
System.Connective Tissue.Adipose tissue.ADIPOCYTE,9.77887,10.9374,11.8773,12.8465,13.5298
System.Immune System.Myeloid.MACROPHAGE,6.93534,10.2287,11.7639,12.4391,13.3908
System.Connective Tissue.Bone.OSTEOBLAST,9.85157,10.8272,11.7514,12.2294,12.5661
System.Immune System.Myeloid.DENDRITIC CELL,6.49365,10.0125,11.6635,12.6567,13.6013
System.Integumentary System.Skin.FIBROBLAST,6.61965,10.2791,11.643,12.4007,13.2234
System.Cardiovascular System.Heart.VENTRICLE,10.6391,11.2193,11.6239,11.9298,12.4231
System.Connective Tissue.Bone.STROMAL CELL,7.87944,10.5254,11.5298,12.1431,13.103
System.Cardiovascular System.Heart.VALVE,9.88345,10.8975,11.5006,13.1204,13.6408
System.Muscular System.Smooth muscle.MYOFIBROBLAST,6.5507,10.9468,11.4574,12.0692,13.0299
System.Connective Tissue.Adipose tissue.ADIPOSE,9.49626,9.97843,11.3869,12.536,13.1964
System.Urogenital/Reproductive System.Kidney.PODOCYTE,9.28798,10.7938,11.3311,11.8472,12.9992
System.Immune System.Myeloid.MICROGLIA,8.02584,9.92571,11.2563,12.0292,12.8951
System.Muscular System.Skeletal muscle.MYOBLAST,7.30247,10.3677,11.2423,12.1658,13.3853
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,7.56038,8.88232,11.1612,11.6415,12.2093
System.Cardiovascular System.Heart.ATRIUM,9.83443,10.4175,10.9214,11.3243,11.9051
System.Immune System.Myeloid.KUPFFER CELL,8.63102,9.30732,10.7845,12.1026,13.0162
System.Cardiovascular System.Heart.HEART,5.84343,9.79901,10.7593,11.6137,12.6157
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,8.80814,10.1926,10.716,11.2318,13.11
System.Nervous System.CNS.MEDULLA,7.46007,9.64661,10.6939,11.5641,12.6184
System.Integumentary System.Skin.SKIN,6.46689,9.41579,10.6799,11.8136,12.956
System.Integumentary System.Skin.HAIR FOLLICLE,7.94034,9.13725,10.6017,11.6518,12.6329
System.Nervous System.CNS.ASTROCYTE,7.89087,9.31551,10.4633,11.6504,12.6118
System.Nervous System.PNS.SENSORY NEURON,8.99055,9.98229,10.4592,11.1457,12.9539
System.Connective Tissue.Bone marrow.CHONDROCYTE,7.72803,9.34646,10.4356,11.1526,12.226
System.Digestive System.Liver.LIVER,7.17515,9.5331,10.3793,11.1094,12.2179
System.Respiratory System.Lung.LUNG,5.65482,8.35972,10.3304,11.8042,12.768
System.Digestive System.Intestine.SMALL INTESTINE,6.43096,8.63873,10.3304,11.2739,12.3086
System.Nervous System.PNS.MOTOR NEURON,5.6839,8.84201,10.2838,11.2634,12.6928
System.Digestive System.Esophagus.ESOPHAGUS,7.5068,9.02184,10.1791,10.6874,12.095
System.Integumentary System.Skin.BASAL CELL,6.25379,8.61868,10.1679,10.8071,11.472
System.Nervous System.CNS.CEREBRAL CORTEX,5.78749,8.41753,10.1127,11.2649,11.8906
System.Urogenital/Reproductive System.Kidney.KIDNEY,6.89502,8.44538,10.0981,11.4437,12.5909
System.Urogenital/Reproductive System.Breast.BREAST,4.63537,8.01782,10.0514,11.1094,12.6055
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,4.4774,8.17773,10.0357,11.1204,13.0811
System.Urogenital/Reproductive System.Ovary.OVARY,5.45333,8.22245,9.80028,10.9061,12.7622
System.Digestive System.Pancreas.ALPHA CELL,7.72938,8.80133,9.59891,10.5432,11.7814
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,8.23902,9.56961,10.9346,12.4391
System.Digestive System.Intestine.COLON MUCOSA,6.76123,7.94109,9.4516,10.9528,11.8592
System.Nervous System.CNS.NEURON,5.74381,8.24738,9.44814,10.5612,12.3039
System.Digestive System.Liver.HEPATOCYTE,7.05923,8.61868,9.40874,10.296,12.002
System.Nervous System.CNS.MIDBRAIN,0.113644,8.84676,9.35443,10.6367,12.6582
System.Integumentary System.Skin.KERATINOCYTE,6.40797,8.32102,9.24262,10.0877,11.2328
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,7.93601,8.85353,9.23752,9.31665,9.44952
System.Urogenital/Reproductive System.Ovary.GRANULOSA,4.69437,6.9144,9.16862,11.3618,12.9119
System.Nervous System.CNS.HYPOTHALAMUS,6.57396,7.81395,9.02325,10.3288,11.478
System.Nervous System.CNS.SPINAL CORD,8.11086,8.59516,9.0002,9.53922,10.7882
System.Respiratory System.Trachea.TRACHEA,6.37999,7.84657,8.97815,10.1639,12.3858
System.Digestive System.Pancreas.BETA CELL,5.5514,7.73529,8.70774,9.88548,11.1385
System.Nervous System.CNS.OLIGODENDROCYTE,6.96934,8.03428,8.64827,9.62955,11.1668
System.Nervous System.CNS.THALAMUS,4.35162,7.19708,8.57799,9.91694,11.2401
System.Nervous System.Eye.RETINA,4.00645,7.7319,8.52491,10.5651,12.8416
System.Digestive System.Intestine.COLON,4.87314,6.91696,8.47702,9.56212,11.3269
System.Urogenital/Reproductive System.Testis.TESTIS,4.6989,7.1848,8.41459,10.3432,12.0078
