id,min,q1,median,q3,max
System.Cardiovascular System.Heart.VALVE,0.113644,5.02911,10.116,11.4384,11.9135
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,7.10033,9.84827,11.5202,13.3915
System.Immune System.Myeloid.MACROPHAGE,0.113644,6.30103,9.17908,10.7284,12.0113
System.Connective Tissue.Bone.OSTEOBLAST,4.51527,6.37631,8.92655,9.99821,11.1201
System.Connective Tissue.Bone marrow.CHONDROCYTE,5.10149,7.01688,8.75325,9.66169,11.0826
System.Immune System.Myeloid.MICROGLIA,0.113644,5.12981,8.51653,10.5254,11.3267
System.Integumentary System.Skin.HAIR FOLLICLE,2.77595,6.39759,8.09288,10.0889,11.187
System.Connective Tissue.Adipose tissue.ADIPOSE,4.3519,6.33362,7.50248,8.50708,10.054
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,6.14657,7.37048,8.20656,10.4207
System.Muscular System.Smooth muscle.MYOFIBROBLAST,3.0865,5.40842,7.10353,8.60735,9.43312
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,7.0808,9.1136,10.8503
System.Connective Tissue.Adipose tissue.ADIPOCYTE,2.41968,5.28658,7.04658,8.51018,10.045
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,5.80252,6.38743,6.95675,7.60901,8.62948
System.Integumentary System.Skin.SKIN,0.113644,3.89584,6.83834,8.37948,10.2223
System.Integumentary System.Skin.FIBROBLAST,0.113644,4.31312,6.38743,8.37638,10.3064
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,5.15423,6.3224,7.1303,7.86028
System.Nervous System.CNS.ASTROCYTE,0.113644,4.00388,6.28742,8.12035,10.183
System.Integumentary System.Skin.MELANOCYTE,1.83036,5.23546,6.21338,7.52455,9.32541
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,3.76961,6.13094,8.35806,9.60322
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.80644,5.20789,6.09783,6.85317,8.59898
System.Nervous System.PNS.SENSORY NEURON,4.4929,5.28658,5.76006,6.81051,8.88239
System.Digestive System.Liver.HEPATIC STELLATE CELL,3.85764,4.93037,5.74381,7.04658,8.41339
System.Nervous System.CNS.OLIGODENDROCYTE,3.66893,4.71212,5.72615,7.30397,8.61212
System.Cardiovascular System.Heart.HEART,0.113644,3.9543,5.5514,7.70909,9.56017
System.Nervous System.CNS.HYPOTHALAMUS,2.54698,3.48123,5.47412,9.11166,11.0876
System.Cardiovascular System.Heart.ATRIUM,3.42268,4.88557,5.44176,6.45202,7.07445
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,2.77595,5.38651,8.56328,10.6959
System.Cardiovascular System.Heart.VENTRICLE,3.76961,4.67269,5.31558,6.2639,9.08735
System.Immune System.Myeloid.KUPFFER CELL,3.85793,4.19199,5.22264,6.17424,6.54478
System.Nervous System.CNS.SPINAL CORD,3.1737,4.21911,5.10633,6.08397,7.69243
System.Nervous System.CNS.MEDULLA,0.113644,2.95747,4.94699,7.42462,8.81669
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,1.81287,4.91796,8.6904,10.5491
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,1.20968,4.80976,6.85383,9.13175
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.81287,4.67269,7.05535,9.11928
System.Digestive System.Intestine.COLON,0.113644,2.61696,4.56034,5.88569,8.59781
System.Digestive System.Intestine.COLON MUCOSA,0.935672,2.62264,4.55719,5.84912,6.88789
