id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,10.6831,11.1126,11.3167,11.4883,11.7557
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,9.51841,10.9732,11.8703,13.0167
System.Digestive System.Liver.HEPATIC STELLATE CELL,6.4279,9.37661,10.8766,11.7249,12.456
System.Cardiovascular System.Heart.VALVE,0.113644,4.96278,10.7464,11.2391,11.6529
System.Connective Tissue.Bone.OSTEOBLAST,4.17616,8.83776,10.6497,11.6574,12.488
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.84108,9.39519,10.5594,11.1533,11.6181
System.Connective Tissue.Bone.STROMAL CELL,0.113644,9.20749,10.5459,11.7244,12.7817
System.Integumentary System.Skin.FIBROBLAST,0.113644,8.45606,10.1032,11.2486,12.2314
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,7.25077,8.9972,10.0123,10.8904,11.7228
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.99665,8.68093,10.0053,11.4735,12.8893
System.Immune System.Myeloid.MICROGLIA,1.81287,6.01703,9.64377,12.5658,14.6277
System.Connective Tissue.Bone marrow.CHONDROCYTE,3.45456,7.82567,9.42884,10.8413,12.5918
System.Integumentary System.Skin.SKIN,1.20968,6.39847,8.94859,10.5709,12.0763
System.Integumentary System.Skin.HAIR FOLLICLE,2.04027,5.19664,8.91033,11.1907,12.1813
System.Cardiovascular System.Heart.HEART,0.113644,6.90917,8.87813,10.0073,10.8467
System.Connective Tissue.Adipose tissue.ADIPOSE,5.87513,7.4111,8.71085,9.82853,12.1312
System.Digestive System.Intestine.COLON MUCOSA,1.20968,5.68723,8.59194,10.085,11.3308
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,3.28517,8.18352,9.50525,11.3348
System.Cardiovascular System.Heart.VENTRICLE,6.38822,7.58896,8.16537,8.81157,10.0126
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,3.52474,7.78955,9.83739,11.4186
