id,min,q1,median,q3,max
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,3.64478,8.98773,10.1291,11.2917
System.Connective Tissue.Bone.OSTEOBLAST,5.66426,6.9828,7.97777,8.87724,9.70219
System.Connective Tissue.Bone.STROMAL CELL,0.113644,5.3975,7.90215,9.48369,11.0642
System.Digestive System.Liver.HEPATIC STELLATE CELL,5.37789,7.14836,7.85883,8.72942,9.70595
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,6.09999,7.03085,7.82186,8.34337,8.93371
System.Integumentary System.Skin.FIBROBLAST,0.113644,3.39116,7.55317,8.87813,10.2454
System.Immune System.Myeloid.MACROPHAGE,0.113644,5.63312,7.54934,8.82663,10.0714
System.Cardiovascular System.Heart.VALVE,4.59911,6.61128,7.48852,8.51186,9.09521
System.Muscular System.Smooth muscle.MYOFIBROBLAST,4.76178,6.66158,7.38198,9.26074,9.78765
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,2.16272,5.18213,6.9754,8.46608,9.22989
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,5.90207,6.89949,7.89532,9.20824
System.Integumentary System.Skin.KERATINOCYTE,1.20968,5.04875,6.68963,7.83709,9.44925
System.Immune System.Myeloid.KUPFFER CELL,4.56034,5.80693,6.67586,8.49157,9.01617
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,4.16486,6.53965,8.21281,9.81959
System.Connective Tissue.Adipose tissue.ADIPOCYTE,1.81287,4.16691,5.65482,7.19727,8.80247
System.Integumentary System.Skin.SKIN,0.113644,3.70787,5.51459,8.08888,10.1288
System.Cardiovascular System.Heart.HEART,0.113644,3.28517,5.20789,7.16288,9.01049
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,4.02961,4.84279,5.76006,8.67809
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,1.81287,4.71212,5.7734,7.7636
System.Cardiovascular System.Heart.VENTRICLE,2.61696,4.16691,4.63537,5.12981,6.67948
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,3.28517,4.63537,5.88569,7.55823
System.Nervous System.CNS.ASTROCYTE,0.113644,2.16272,4.56034,6.60849,9.12937
System.Integumentary System.Skin.BASAL CELL,0.113644,2.77595,4.56034,6.17146,7.30561
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,1.20968,4.49832,8.1262,8.69862
System.Cardiovascular System.Heart.ATRIUM,1.20968,2.77595,4.21911,4.63537,5.92716
System.Respiratory System.Trachea.TRACHEA,0.113644,1.81287,4.11061,6.65623,8.48169
System.Integumentary System.Skin.MELANOCYTE,0.113644,2.469,3.92507,5.07842,7.25824
System.Digestive System.Liver.LIVER,0.113644,1.20968,3.70787,5.25971,6.84182
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,1.20968,3.64478,5.07842,6.49077
