id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,12.5016,13.0156,13.4726,13.8901,14.3423
System.Connective Tissue.Bone marrow.CHONDROCYTE,8.37831,10.7693,12.4705,13.2267,14.4194
System.Digestive System.Liver.HEPATIC STELLATE CELL,6.7795,11.4539,12.1812,13.1328,14.3381
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,8.62144,10.5722,11.8595,12.8416,13.4558
System.Connective Tissue.Bone.STROMAL CELL,3.87946,10.6617,11.8033,12.6887,13.9554
System.Connective Tissue.Bone.OSTEOBLAST,4.75257,8.97251,11.5626,12.526,14.0818
System.Muscular System.Smooth muscle.MYOFIBROBLAST,8.61852,9.27121,11.5446,12.365,13.307
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.35166,9.79901,11.3556,12.7591,13.8608
System.Integumentary System.Skin.FIBROBLAST,2.92457,9.33875,11.3373,12.5485,13.9026
System.Cardiovascular System.Heart.VALVE,3.56825,7.69745,10.6549,11.7173,12.6586
System.Cardiovascular System.Heart.HEART,2.41968,8.70389,10.3869,11.1285,12.5245
System.Connective Tissue.Adipose tissue.ADIPOSE,6.67474,8.06575,10.164,11.2183,12.7086
System.Integumentary System.Skin.HAIR FOLLICLE,5.1,7.81095,10.1274,11.7936,12.7041
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.08195,9.22687,10.0601,11.2252,12.8669
System.Integumentary System.Skin.SKIN,2.16272,7.37922,10.041,11.5423,13.0838
System.Nervous System.CNS.SPINAL CORD,6.21914,9.31706,9.96254,10.5346,11.4795
System.Cardiovascular System.Heart.VENTRICLE,8.12829,9.33635,9.86693,10.3722,11.7489
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,8.3521,9.14581,9.93365,11.4698
System.Digestive System.Intestine.SMALL INTESTINE,1.20968,5.38651,9.11166,10.5457,12.9092
System.Immune System.Myeloid.KUPFFER CELL,4.01989,5.20697,9.02953,12.402,12.7169
System.Cardiovascular System.Heart.ATRIUM,5.86535,8.42599,9.00656,10.045,11.173
System.Digestive System.Intestine.COLON MUCOSA,1.81287,5.38517,8.89467,11.7298,13.2188
System.Nervous System.CNS.THALAMUS,2.86523,7.53384,8.87207,9.71497,13.6339
System.Nervous System.CNS.HYPOTHALAMUS,2.54698,6.2249,8.61253,9.63365,10.3648
System.Digestive System.Liver.LIVER,0.113644,3.83218,8.4817,9.73525,11.162
System.Nervous System.CNS.CEREBELLUM,4.67663,6.8453,7.88609,8.50395,10.0807
System.Nervous System.CNS.CEREBRAL CORTEX,3.73982,5.69219,7.83795,10.633,13.0657
System.Nervous System.CNS.ASTROCYTE,1.81287,4.3519,7.51341,10.3922,13.0785
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,3.72331,7.49885,9.75307,12.9868
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,4.03056,7.37922,9.25557,13.1515
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,4.42004,7.01425,8.63502,12.2619
System.Nervous System.Eye.RETINA,0.113644,4.47438,6.9462,8.15151,10.6058
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,4.29129,5.99799,8.41828,11.5844
System.Immune System.Myeloid.MACROPHAGE,0.113644,3.76961,5.70924,6.77744,8.18352
System.Digestive System.Liver.HEPATOCYTE,2.16272,4.00388,5.61397,8.09316,11.5721
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,3.11494,5.45333,7.78069,9.71302
System.Digestive System.Intestine.COLON,0.113644,1.81287,5.40837,10.0526,11.8287
System.Nervous System.CNS.MEDULLA,1.20968,2.92457,5.10411,8.37792,9.82325
System.Nervous System.CNS.NEURON,0.113644,3.05618,4.89983,7.14836,11.0741
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,1.20968,4.84279,10.4827,12.8392
System.Urogenital/Reproductive System.Kidney.KIDNEY,1.20968,3.48123,4.63537,8.46988,11.7567
System.Immune System.Myeloid.MICROGLIA,0.113644,2.61696,4.56034,5.5331,8.51137
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,2.41968,4.05534,5.81111,7.80443
System.Respiratory System.Lung.LUNG,0.113644,2.16272,4.00388,8.9635,12.5057
System.Nervous System.PNS.SENSORY NEURON,1.81287,2.2912,3.89584,5.66121,9.04766
System.Integumentary System.Skin.MELANOCYTE,2.16272,3.1737,3.80089,5.83535,10.447
System.Nervous System.CNS.OLIGODENDROCYTE,2.41968,3.05618,3.76961,6.43776,14.1049
System.Nervous System.PNS.MOTOR NEURON,0.113644,1.20968,3.76961,6.28742,8.55274
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,2.41968,3.63806,4.97772,9.02693
System.Nervous System.CNS.MIDBRAIN,0.113644,1.81287,3.52474,7.99872,11.478
System.Immune System.Thymus.THYMUS,1.20968,2.16272,3.39116,4.31312,8.70832
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,2.16272,3.39116,5.51835,11.917
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,2.14995,2.88741,3.33816,3.59949,4.87119
System.Respiratory System.Trachea.TRACHEA,0.113644,2.41968,3.1737,4.05534,12.1377
System.Digestive System.Pancreas.BETA CELL,0.113644,1.66207,3.05618,7.05484,10.4721
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,3.05618,6.62503,8.39111
System.Nervous System.CNS.PONS,0.113644,1.20968,3.05618,6.16133,10.761
System.Integumentary System.Skin.KERATINOCYTE,0.113644,1.81287,2.92457,4.38682,9.59984
System.Integumentary System.Skin.BASAL CELL,0.113644,2.16272,2.92457,5.15699,9.99498
System.Immune System.Spleen.SPLEEN,0.113644,1.81287,2.77595,4.63537,9.97435
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,2.77595,3.89584,5.48071
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,1.20968,2.61696,6.79401,11.3286
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,1.81287,2.61696,4.27687,6.9673
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,2.41968,5.26643,11.5205
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,1.20968,2.41968,3.76961,10.5037
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,1.81287,2.41968,3.28517,4.51527
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,2.41968,3.2573,4.25202
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,2.16272,3.28517,5.45108
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,1.20968,2.16272,3.02327,6.70726
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,1.20968,2.16272,3.1737,5.65675
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,5.31904,8.9999
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,7.74633,9.48758
