id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,12.3351,12.9883,13.2165,13.4226,13.7729
System.Digestive System.Liver.HEPATIC STELLATE CELL,9.37637,11.9455,12.5307,13.2097,13.8661
System.Connective Tissue.Bone.OSTEOBLAST,7.90354,11.3342,12.3378,13.0553,13.6661
System.Cardiovascular System.Heart.VALVE,1.20968,5.52864,12.193,12.5667,12.9413
System.Connective Tissue.Adipose tissue.ADIPOCYTE,7.95238,10.7507,12.0918,12.8416,13.6322
System.Muscular System.Smooth muscle.MYOFIBROBLAST,9.03029,11.1737,11.9372,12.6861,13.922
System.Connective Tissue.Bone marrow.CHONDROCYTE,4.71212,9.69238,11.3192,12.1275,12.6004
System.Connective Tissue.Bone.STROMAL CELL,0.113644,9.14417,11.2751,12.6157,13.7084
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,8.59138,10.2269,11.1631,11.7657,12.4187
System.Connective Tissue.Adipose tissue.ADIPOSE,9.3091,10.2636,10.9543,12.1074,13.1626
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.96535,10.2291,10.9346,11.2725,11.7699
System.Integumentary System.Skin.FIBROBLAST,4.64843,8.87207,10.8979,12.3212,13.5847
System.Cardiovascular System.Heart.VENTRICLE,9.47734,10.4339,10.7803,11.1264,12.1255
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,7.39155,10.6606,13.8839,14.7724
System.Integumentary System.Skin.SKIN,0.113644,7.69494,10.2707,11.8991,13.264
System.Cardiovascular System.Heart.ATRIUM,4.93461,7.56308,10.2659,10.886,11.5345
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,8.86925,10.1773,10.7755,12.1786
System.Nervous System.CNS.HYPOTHALAMUS,7.15306,7.72768,10.0208,10.6937,12.5275
System.Cardiovascular System.Heart.HEART,1.20968,7.9143,9.84363,10.8284,13.2234
System.Digestive System.Intestine.SMALL INTESTINE,1.10008,4.99416,9.58247,10.8286,12.2023
System.Immune System.Myeloid.KUPFFER CELL,5.93338,7.52143,9.54504,11.361,13.3706
