id,min,q1,median,q3,max
System.Integumentary System.Skin.KERATINOCYTE,7.16209,10.8306,12.3452,13.1964,14.1634
System.Urogenital/Reproductive System.Kidney.PODOCYTE,6.28471,10.2627,11.9981,12.7997,14.5126
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,8.41274,11.0327,12.1786,13.552
System.Respiratory System.Trachea.TRACHEA,6.94403,9.68003,10.9505,13.1143,14.4656
System.Immune System.Myeloid.MACROPHAGE,4.65796,8.69269,10.2673,11.507,13.1365
System.Integumentary System.Skin.BASAL CELL,2.41968,7.34233,10.1519,11.7913,13.0318
System.Connective Tissue.Bone.OSTEOBLAST,7.02402,8.91735,10.0817,11.0111,12.0006
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,4.3746,9.26587,10.0547,11.3391,12.1307
System.Immune System.Myeloid.DENDRITIC CELL,4.40011,7.64576,9.88733,11.5187,12.9309
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.58857,8.6717,9.88391,10.5727,13.5201
System.Respiratory System.Lung.LUNG,0.113644,7.22538,9.84671,11.5824,13.6873
System.Connective Tissue.Bone.STROMAL CELL,0.113644,7.32543,9.73021,10.873,12.7687
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,7.12628,8.45916,9.52227,11.5207,15.233
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.32869,8.67553,9.45371,10.6497,13.0316
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.21892,8.67553,9.31175,9.89648,10.7244
System.Integumentary System.Skin.FIBROBLAST,0.113644,6.9462,8.89763,10.6706,13.1515
System.Integumentary System.Skin.SKIN,0.113644,7.03452,8.74315,10.2577,12.3272
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,4.21911,6.18762,8.66182,9.83286,10.8751
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,3.92838,7.4789,8.46699,9.59948,11.3149
System.Nervous System.CNS.ASTROCYTE,0.113644,3.56825,8.2838,11.6239,13.0725
System.Digestive System.Intestine.COLON MUCOSA,5.00762,6.74476,8.28152,9.66838,11.3384
System.Connective Tissue.Adipose tissue.ADIPOCYTE,3.85764,6.50485,8.19977,9.84186,11.3538
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,4.68255,7.81863,9.60953,10.5406
System.Immune System.Myeloid.MICROGLIA,0.113644,3.89584,7.78223,9.03285,11.2682
System.Digestive System.Intestine.COLON,0.113644,5.93591,7.7319,9.1919,11.5994
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,4.24429,7.68261,9.85085,12.1707
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,3.63988,6.73209,7.59665,9.04913,11.7205
System.Nervous System.CNS.MEDULLA,3.28517,4.36063,7.54303,9.90102,12.2573
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,3.56825,7.50607,11.1015,12.8852
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,5.74043,7.49748,9.46099,11.3368
System.Connective Tissue.Adipose tissue.ADIPOSE,4.54907,6.50485,7.46884,8.20466,10.3732
System.Cardiovascular System.Heart.VALVE,4.83783,6.34707,7.45757,9.84524,10.7693
System.Cardiovascular System.Heart.VENTRICLE,5.67402,6.68963,7.35721,7.97639,9.41408
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,2.92457,7.33108,9.41785,12.2136
System.Immune System.Granulocytic.GRANULOCYTE,1.20968,5.7654,7.22228,8.01797,10.6605
System.Cardiovascular System.Heart.HEART,1.81287,5.65482,7.04658,8.11086,10.7649
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,2.81461,6.17759,6.91742,7.47584,8.85914
System.Immune System.Myeloid.KUPFFER CELL,4.95018,5.53554,6.5455,7.65776,8.50127
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,1.20968,4.00388,6.4358,9.77969,12.3998
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,3.13992,6.202,8.37563,14.7013
