id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,10.8021,12.9102,13.9155,14.3579,14.8142
System.Connective Tissue.Adipose tissue.ADIPOSE,9.46012,11.0538,11.5918,12.1158,13.3226
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.09008,10.9238,11.5009,11.8743,12.2499
System.Cardiovascular System.Heart.VENTRICLE,9.65483,10.9117,11.2622,11.6074,12.1894
System.Connective Tissue.Adipose tissue.ADIPOCYTE,9.64275,10.5548,11.2486,12.0475,13.5626
System.Cardiovascular System.Heart.VALVE,8.50573,9.95761,11.1366,11.8573,12.6588
System.Nervous System.CNS.SPINAL CORD,9.3644,10.6353,11.0757,11.4163,11.883
System.Nervous System.CNS.HYPOTHALAMUS,8.38207,9.58722,10.9053,11.5824,11.8817
System.Nervous System.CNS.THALAMUS,8.56051,9.42737,10.8967,11.5763,11.8841
System.Connective Tissue.Bone.OSTEOBLAST,7.34372,9.03757,10.8139,11.9861,13.0643
System.Immune System.Myeloid.KUPFFER CELL,8.8564,9.25574,10.7646,11.5171,11.6025
System.Connective Tissue.Bone marrow.CHONDROCYTE,8.23216,9.45496,10.7138,12.0533,13.6465
System.Digestive System.Liver.LIVER,1.20968,8.44789,10.4747,11.3813,12.0204
System.Nervous System.CNS.MEDULLA,3.58738,7.57526,10.3978,11.5235,13.4046
System.Cardiovascular System.Heart.ATRIUM,7.9471,9.54573,10.3245,11.0868,11.7358
System.Cardiovascular System.Heart.HEART,3.89584,9.07876,10.2491,11.0367,11.8291
System.Integumentary System.Skin.FIBROBLAST,6.68963,8.79364,10.1549,11.6886,13.3752
System.Integumentary System.Skin.SKIN,4.84279,8.45365,10.0919,11.5335,12.8269
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.02397,9.36807,9.90836,11.6432,12.4688
System.Digestive System.Liver.HEPATOCYTE,7.83509,9.34488,9.90455,10.6512,11.6024
System.Connective Tissue.Bone.STROMAL CELL,0.113644,8.03431,9.89921,11.7175,13.2031
System.Nervous System.CNS.OLIGODENDROCYTE,8.76856,9.33047,9.86537,10.6931,11.4787
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,7.43796,8.84201,9.75152,10.918,12.0091
System.Nervous System.CNS.ASTROCYTE,4.43111,7.60901,9.72045,10.8904,12.2126
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,8.54663,9.66289,10.8968,11.9615
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,7.60834,9.17123,9.57864,10.137,11.5551
System.Nervous System.CNS.CEREBELLUM,5.44232,8.79593,9.5765,10.2234,11.022
System.Integumentary System.Skin.HAIR FOLLICLE,7.76139,8.75099,9.56639,11.7136,12.6703
System.Nervous System.CNS.CEREBRAL CORTEX,3.79338,8.7273,9.46902,11.2991,11.9371
